producer_index=5
producer_count=6
producer_records=16666
producer_throughput=166
1 records sent, 0.1 records/sec (0.01 MB/sec), 8455.0 ms avg latency, 8455.0 ms max latency.
134 records sent, 25.8 records/sec (2.52 MB/sec), 4035.5 ms avg latency, 5388.0 ms max latency.
220 records sent, 43.7 records/sec (4.27 MB/sec), 7140.7 ms avg latency, 8545.0 ms max latency.
270 records sent, 53.1 records/sec (5.18 MB/sec), 7004.4 ms avg latency, 8670.0 ms max latency.
717 records sent, 142.9 records/sec (13.96 MB/sec), 2821.9 ms avg latency, 6653.0 ms max latency.
575 records sent, 114.4 records/sec (11.17 MB/sec), 95.3 ms avg latency, 727.0 ms max latency.
551 records sent, 110.1 records/sec (10.75 MB/sec), 36.4 ms avg latency, 138.0 ms max latency.
613 records sent, 122.1 records/sec (11.92 MB/sec), 26.0 ms avg latency, 101.0 ms max latency.
658 records sent, 131.3 records/sec (12.83 MB/sec), 33.0 ms avg latency, 126.0 ms max latency.
649 records sent, 129.6 records/sec (12.66 MB/sec), 28.3 ms avg latency, 162.0 ms max latency.
677 records sent, 135.1 records/sec (13.20 MB/sec), 24.6 ms avg latency, 115.0 ms max latency.
620 records sent, 124.0 records/sec (12.11 MB/sec), 25.6 ms avg latency, 97.0 ms max latency.
636 records sent, 127.1 records/sec (12.41 MB/sec), 19.7 ms avg latency, 72.0 ms max latency.
677 records sent, 135.1 records/sec (13.19 MB/sec), 30.1 ms avg latency, 107.0 ms max latency.
706 records sent, 140.6 records/sec (13.73 MB/sec), 30.3 ms avg latency, 137.0 ms max latency.
674 records sent, 134.7 records/sec (13.16 MB/sec), 19.5 ms avg latency, 94.0 ms max latency.
741 records sent, 147.8 records/sec (14.44 MB/sec), 20.2 ms avg latency, 86.0 ms max latency.
713 records sent, 141.7 records/sec (13.84 MB/sec), 21.3 ms avg latency, 93.0 ms max latency.
664 records sent, 132.8 records/sec (12.97 MB/sec), 45.3 ms avg latency, 227.0 ms max latency.
726 records sent, 145.1 records/sec (14.17 MB/sec), 23.0 ms avg latency, 125.0 ms max latency.
785 records sent, 156.7 records/sec (15.30 MB/sec), 29.3 ms avg latency, 131.0 ms max latency.
699 records sent, 139.6 records/sec (13.63 MB/sec), 19.0 ms avg latency, 88.0 ms max latency.
661 records sent, 132.1 records/sec (12.90 MB/sec), 23.4 ms avg latency, 92.0 ms max latency.
654 records sent, 130.7 records/sec (12.76 MB/sec), 19.1 ms avg latency, 107.0 ms max latency.
742 records sent, 148.4 records/sec (14.49 MB/sec), 18.1 ms avg latency, 130.0 ms max latency.
752 records sent, 150.1 records/sec (14.66 MB/sec), 17.1 ms avg latency, 73.0 ms max latency.
16666 records sent, 120.472173 records/sec (11.76 MB/sec), 386.78 ms avg latency, 8670.00 ms max latency, 19 ms 50th, 3620 ms 95th, 7494 ms 99th, 8465 ms 99.9th.
