benchmark_type,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,trial_index,comparison_mode,metric,metric_label,pct_change_vs_plaintext,penalty_pct_vs_plaintext
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,81.32619684805233,81.32619684805233
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,-100.0,-100.0
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,7.5033043341026895,7.5033043341026895
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,records_consumed,records consumed,0.0,0.0
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-43.525519877460304,43.525519877460304
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,throughput_mb_per_sec,Throughput MB/s,-43.525516147663744,43.525516147663744
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,data_consumed_mb,Data consumed MB,0.0,0.0
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,rebalance_time_ms,Consumer rebalance time ms,66.77067082683308,66.77067082683308
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,fetch_time_ms,Consumer fetch time ms,80.8461978273299,80.8461978273299
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,-4.393380752227212,-4.393380752227212
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,broker_cpu_percent_mean,Broker CPU mean %,-27.345662374017053,-27.345662374017053
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,-16.709284028324152,-16.709284028324152
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,-0.2083329299742849,-0.2083329299742849
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,broker_memory_used_percent_mean,Broker memory %,55.2082980144792,55.2082980144792
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1.829576232657523,1.829576232657523
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,3.4819429224558665,3.4819429224558665
