run_id,benchmark_type,security_mode,baseline_name,sweep_name,sweep_variable,sweep_value,trial_index,trial_count,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,records_sent,records_consumed,throughput_records_per_sec,throughput_mb_per_sec,data_consumed_mb,avg_latency_ms,max_latency_ms,rebalance_time_ms,fetch_time_ms,producer_count_observed,producer_throughput_records_per_sec_min,producer_throughput_records_per_sec_max,producer_avg_latency_ms_min,producer_avg_latency_ms_max,interval_summary_count,interval_avg_latency_ms_p95,interval_avg_latency_ms_p99,interval_max_latency_ms_p95,interval_max_latency_ms_p99,telemetry_host_count,benchmark_client_cpu_percent_mean,broker_cpu_percent_mean,broker_cpu_percent_max_mean,benchmark_client_memory_used_percent_mean,broker_memory_used_percent_mean,benchmark_client_network_rx_bytes_delta,benchmark_client_network_tx_bytes_delta,broker_network_rx_bytes_delta_mean,broker_network_tx_bytes_delta_mean,broker_network_rx_bytes_delta_total,broker_network_tx_bytes_delta_total,benchmark_client_disk_read_sectors_delta,benchmark_client_disk_write_sectors_delta,broker_disk_read_sectors_delta_mean,broker_disk_write_sectors_delta_mean,broker_disk_read_sectors_delta_total,broker_disk_write_sectors_delta_total,result_set,source_summary_csv,dataset
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acks1-prod6-compnone-trial1,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acks1-prod6-compnone-trial1,1,3,5,6,5,4,100000,1024,10000.0,6,1,16384,5,1,none,100000.0,,5970.554796,5.83,,5492.3429586,8669.0,,,6.0,973.881033,1016.219512,5258.64,5953.86,12.0,8628.85,8660.97,8654.7,8666.14,6,82.13324324324324,13.26064011434361,45.368,12.551891891891891,23.895559320517375,2161168.0,107349103.0,107634027.8,87130808.8,538170139.0,435654044.0,0.0,38152.0,0.0,120329.6,0.0,601648.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acks1-prod6-compnone-trial2,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acks1-prod6-compnone-trial2,2,3,5,6,5,4,100000,1024,10000.0,6,1,16384,5,1,none,100000.0,,5721.050779,5.59,,5993.766819300001,9031.0,,,6.0,919.406443,984.813567,5532.55,6576.85,12.0,8919.9,9008.78,8919.9,9008.78,6,79.21575,13.21052207792208,43.233999999999995,12.468,23.845013665223664,2165973.0,107383164.0,107665483.0,87161715.2,538327415.0,435808576.0,0.0,49240.0,0.0,122051.2,0.0,610256.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acks1-prod6-compnone-trial3,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acks1-prod6-compnone-trial3,3,3,5,6,5,4,100000,1024,10000.0,6,1,16384,5,1,none,100000.0,,6034.331184000001,5.9,,5448.5789074,8976.0,,,6.0,989.080119,1032.907784,4973.21,5909.35,12.0,8897.9,8960.38,8897.9,8960.38,6,80.06615384615384,13.095220591663209,42.304,12.404871794871797,23.827182099388313,2160729.0,107351600.0,107663826.4,87162942.8,538319132.0,435814714.0,0.0,50784.0,0.0,141582.4,0.0,707912.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-complz4-trial1,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-complz4-trial1,1,3,5,6,5,4,100000,1024,10000.0,1,1,16384,5,all,lz4,100000.0,,9973.072704,9.74,,539.56,1721.0,,,1.0,9973.072704,9973.072704,539.56,539.56,1.0,1082.4,1082.4,1721.0,1721.0,6,66.36826086956522,15.934352283382584,45.188,9.98608695652174,23.746064372610043,2009882.0,107489050.0,107975979.2,87432585.8,539879896.0,437162929.0,0.0,27888.0,0.0,89563.2,0.0,447816.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-complz4-trial2,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-complz4-trial2,2,3,5,6,5,4,100000,1024,10000.0,1,1,16384,5,all,lz4,100000.0,,9969.095803,9.74,,416.47,1565.0,,,1.0,9969.095803,9969.095803,416.47,416.47,2.0,788.235,821.247,1488.55,1549.71,6,64.26869565217392,15.489177896825396,47.27,9.969130434782608,23.739438253968252,2012275.0,107507549.0,107999221.2,87453865.8,539996106.0,437269329.0,0.0,33424.0,0.0,131577.6,0.0,657888.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-complz4-trial3,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-complz4-trial3,3,3,5,6,5,4,100000,1024,10000.0,1,1,16384,5,all,lz4,100000.0,,9950.248756,9.72,,494.72,1803.0,,,1.0,9950.248756,9950.248756,494.72,494.72,1.0,985.8,985.8,1803.0,1803.0,6,66.05130434782609,15.479762764550264,48.846,9.925217391304349,23.745601785714285,2008923.0,107506973.0,107995991.2,87450060.8,539979956.0,437250304.0,0.0,27344.0,0.0,98398.4,0.0,491992.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-compnone-trial1,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-compnone-trial1,1,3,5,6,5,4,100000,1024,10000.0,1,1,16384,5,all,none,100000.0,,9948.269001,9.72,,391.26,1693.0,,,1.0,9948.269001,9948.269001,391.26,391.26,2.0,740.26,771.252,1609.85,1676.37,6,63.11913043478261,15.491462353479852,46.286,9.708695652173914,23.78194434981685,2004080.0,107376618.0,107860683.8,87335642.0,539303419.0,436678210.0,0.0,29520.0,0.0,101888.0,0.0,509440.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-compnone-trial2,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-compnone-trial2,2,3,5,6,5,4,100000,1024,10000.0,1,1,16384,5,all,none,100000.0,,9909.820632,9.68,,359.23,1558.0,,,1.0,9909.820632,9909.820632,359.23,359.23,2.0,679.7349999999999,708.1869999999999,1481.55,1542.71,6,54.5974074074074,14.534517198005709,46.494,9.56074074074074,23.84447464726107,2022173.0,107385286.0,107871097.0,87349918.2,539355485.0,436749591.0,0.0,14352.0,0.0,86257.6,0.0,431288.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-compnone-trial3,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod1-compnone-trial3,3,3,5,6,5,4,100000,1024,10000.0,1,1,16384,5,all,none,100000.0,,9937.394415,9.7,,428.03,1732.0,,,1.0,9937.394415,9937.394415,428.03,428.03,1.0,852.7,852.7,1732.0,1732.0,6,57.63038461538462,15.03182684133164,44.452,9.54923076923077,23.771462885348804,2000820.0,107393133.0,107866589.6,87337915.0,539332948.0,436689575.0,0.0,28936.0,0.0,103558.4,0.0,517792.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod12-complz4-trial1,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod12-complz4-trial1,1,3,5,6,5,4,100000,1024,10000.0,12,1,16384,5,all,lz4,100000.0,,3304.801491,3.2300000000000004,,7801.867330399999,20187.0,,,12.0,269.577875,288.568757,7031.05,8584.11,34.0,19172.1,19866.24,19172.1,19866.24,6,88.33786885245901,11.894380976621417,34.82,17.281967213114754,23.882018518368888,2546777.0,107901209.0,108070968.2,87582202.8,540354841.0,437911014.0,0.0,64240.0,0.0,186718.4,0.0,933592.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod12-complz4-trial2,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod12-complz4-trial2,2,3,5,6,5,4,100000,1024,10000.0,12,1,16384,5,all,lz4,100000.0,,3348.425378,3.26,,7767.1497838,20084.0,,,12.0,272.320261,284.140894,7173.14,8596.28,35.0,18646.9,19075.84,19529.9,19991.52,6,89.51983333333332,12.11477033149272,35.769999999999996,17.498333333333335,23.81347090736792,2540474.0,107898535.0,108062611.0,87572218.2,540313055.0,437861091.0,0.0,64056.0,0.0,151380.8,0.0,756904.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod12-complz4-trial3,producer,tls,security-overhead-final-factorial,security-overhead-final-factorial,factorial_config,security-overhead-final-factorial-tls-b5-rf5-isr4-msg1024-tps10000-batch16384-acksall-prod12-complz4-trial3,3,3,5,6,5,4,100000,1024,10000.0,12,1,16384,5,all,lz4,100000.0,,3282.447192,3.21,,7811.4863817,20161.0,,,12.0,263.969843,284.577556,6651.29,8844.35,34.0,19714.9,20025.37,19714.9,20025.37,6,90.2635,12.102620830680758,35.608,17.654833333333332,23.819251169786096,2544322.0,107910305.0,108079704.8,87590002.0,540398524.0,437950010.0,0.0,64776.0,0.0,145331.2,0.0,726656.0,tls_broker5,results/factorial-final/security-overhead-final-tls-broker5/summary.csv,producer
