benchmark_type,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,trial_index,comparison_mode,metric,metric_label,pct_change_vs_plaintext,penalty_pct_vs_plaintext
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,61.342592592592574,61.342592592592574
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,61.342592592592574,61.342592592592574
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,108.31643002028184,108.31643002028184
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,485.40038030847273,485.40038030847273
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,46.788990825687584,46.788990825687584
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,74.64972303681982,74.64972303681982
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,-41.22801130474336,-41.22801130474336
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,broker_cpu_percent_mean,Broker CPU mean %,-64.91069203115045,-64.91069203115045
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,-42.78181392078744,-42.78181392078744
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,-20.722622084863072,-20.722622084863072
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,broker_memory_used_percent_mean,Broker memory %,-3.252406778040388,-3.252406778040388
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,40.059936663763324,40.059936663763324
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,3.550803367170478,3.550803367170478
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,2.5967111214158347,2.5967111214158347
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,3.008083975128407,3.008083975128407
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,2.596711121415844,2.596711121415844
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,3.0080839751284065,3.0080839751284065
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,120.14856081708449,120.14856081708449
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,7.5191627943921455,7.5191627943921455
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,1,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,7.519162794392152,7.519162794392152
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-0.020989965758485093,0.020989965758485093
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,throughput_mb_per_sec,Throughput MB/s,0.0,0.0
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,avg_latency_ms,Average latency ms,99.02439024390246,99.02439024390246
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,max_latency_ms,Maximum latency ms,85.3395061728395,85.3395061728395
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,-0.020989965758485093,0.020989965758485093
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,-0.020989965758485093,0.020989965758485093
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,99.02439024390246,99.02439024390246
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,99.02439024390246,99.02439024390246
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,183.63636363636004,183.63636363636004
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,1072.8767123287673,1072.8767123287673
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,52.97418630751909,52.97418630751909
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,84.26392152474729,84.26392152474729
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,4.6666973705316055,4.6666973705316055
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,broker_cpu_percent_mean,Broker CPU mean %,-38.079282622353276,-38.079282622353276
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,-8.234679665738154,-8.234679665738154
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,-3.586182102666475,-3.586182102666475
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,broker_memory_used_percent_mean,Broker memory %,-7.9658594047767854,-7.9658594047767854
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,33.81255220364014,33.81255220364014
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,3.1892792948587614,3.1892792948587614
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,2.0492164600101552,2.0492164600101552
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,2.200085994309116,2.200085994309116
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,2.0492164600101552,2.0492164600101552
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,2.200085994309113,2.200085994309113
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,28.458976687859522,28.458976687859522
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,-4.056537510463676,-4.056537510463676
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,tls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,-4.056537510463673,-4.056537510463673
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,throughput_records_per_sec,Throughput records/s,0.003999079459522682,-0.003999079459522682
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,throughput_mb_per_sec,Throughput MB/s,0.0,0.0
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,avg_latency_ms,Average latency ms,71.95121951219512,71.95121951219512
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,max_latency_ms,Maximum latency ms,78.85802469135803,78.85802469135803
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,0.003999079459522682,-0.003999079459522682
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,0.003999079459522682,-0.003999079459522682
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,71.95121951219512,71.95121951219512
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,71.95121951219512,71.95121951219512
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,137.2727272727244,137.2727272727244
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,872.7397260273974,872.7397260273974
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,60.38159371492673,60.38159371492673
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,78.24400432658237,78.24400432658237
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,-41.7062663748933,-41.7062663748933
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,broker_cpu_percent_mean,Broker CPU mean %,-64.52223362906891,-64.52223362906891
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,-25.951717734447538,-25.951717734447538
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,-20.809619939579896,-20.809619939579896
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,broker_memory_used_percent_mean,Broker memory %,-3.192601637161822,-3.192601637161822
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,40.4428409344768,40.4428409344768
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,3.5674747351358125,3.5674747351358125
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,2.618272606222642,2.618272606222642
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,3.0383767741573107,3.0383767741573107
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,2.618272606222642,2.618272606222642
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,3.0383767741573076,3.0383767741573076
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,63.76021798365122,63.76021798365122
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,4.951361961301251,4.951361961301251
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,2,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,4.951361961301249,4.951361961301249
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,throughput_records_per_sec,Throughput records/s,-0.017991956514839643,0.017991956514839643
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,throughput_mb_per_sec,Throughput MB/s,0.0,0.0
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,avg_latency_ms,Average latency ms,74.21686746987952,74.21686746987952
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,max_latency_ms,Maximum latency ms,81.59879336349924,81.59879336349924
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,-0.017991956514839643,0.017991956514839643
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,-0.017991956514839643,0.017991956514839643
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,74.21686746987952,74.21686746987952
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,74.21686746987952,74.21686746987952
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,134.0707964601745,134.0707964601745
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,685.9906213364598,685.9906213364598
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,41.085271317828834,41.085271317828834
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,80.08130081300814,80.08130081300814
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,0.37430090070223315,0.37430090070223315
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,broker_cpu_percent_mean,Broker CPU mean %,-37.088673061871944,-37.088673061871944
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,-7.7297297297297245,-7.7297297297297245
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,-4.0298045768808795,-4.0298045768808795
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,broker_memory_used_percent_mean,Broker memory %,-8.04914978394998,-8.04914978394998
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,34.51758103725046,34.51758103725046
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,3.2473084387343794,3.2473084387343794
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,2.052520685742484,2.052520685742484
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,2.1893044216077273,2.1893044216077273
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,2.052520685742484,2.052520685742484
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,2.1893044216077207,2.1893044216077207
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,-21.629084215370455,-21.629084215370455
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,2.7380999485616986,2.7380999485616986
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,tls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,2.738099948561706,2.738099948561706
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,throughput_records_per_sec,Throughput records/s,-0.001999439702750234,0.001999439702750234
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,throughput_mb_per_sec,Throughput MB/s,0.0,0.0
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,avg_latency_ms,Average latency ms,51.325301204819276,51.325301204819276
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,max_latency_ms,Maximum latency ms,66.51583710407239,66.51583710407239
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,-0.001999439702750234,0.001999439702750234
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,-0.001999439702750234,0.001999439702750234
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,51.325301204819276,51.325301204819276
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,51.325301204819276,51.325301204819276
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,97.1238938053077,97.1238938053077
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,548.6225087924971,548.6225087924971
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,28.77906976744128,28.77906976744128
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,65.10235191637632,65.10235191637632
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,-41.1996611349353,-41.1996611349353
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,broker_cpu_percent_mean,Broker CPU mean %,-64.94479895188059,-64.94479895188059
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,-24.9069069069069,-24.9069069069069
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,-21.1877010531882,-21.1877010531882
