sweep_value,run_count,throughput_records_per_sec_mean,throughput_records_per_sec_min,throughput_records_per_sec_max,throughput_mb_per_sec_mean,throughput_mb_per_sec_min,throughput_mb_per_sec_max,avg_latency_ms_mean,avg_latency_ms_min,avg_latency_ms_max,max_latency_ms_mean,max_latency_ms_min,max_latency_ms_max
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod12-complz4-trial3,1,999.165156,999.165156,999.165156,0.96,0.96,0.96,61.466785800000004,61.466785800000004,61.466785800000004,10476,10476.0,10476.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod12-compnone-trial1,1,997.790202,997.790202,997.790202,0.96,0.96,0.96,59.154375,59.154375,59.154375,9820,9820.0,9820.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod12-compnone-trial2,1,998.18138,998.18138,998.18138,0.96,0.96,0.96,60.683606100000006,60.683606100000006,60.683606100000006,9836,9836.0,9836.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod12-compnone-trial3,1,998.538461,998.538461,998.538461,0.96,0.96,0.96,62.288096100000004,62.288096100000004,62.288096100000004,10507,10507.0,10507.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-complz4-trial1,1,999.660189,999.660189,999.660189,0.96,0.96,0.96,17.9316286,17.9316286,17.9316286,4961,4961.0,4961.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-complz4-trial2,1,999.333528,999.333528,999.333528,0.96,0.96,0.96,18.543307100000003,18.543307100000003,18.543307100000003,5012,5012.0,5012.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-complz4-trial3,1,999.512432,999.512432,999.512432,0.96,0.96,0.96,20.141594700000002,20.141594700000002,20.141594700000002,4757,4757.0,4757.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial1,1,999.482667,999.482667,999.482667,0.96,0.96,0.96,18.0250836,18.0250836,18.0250836,4721,4721.0,4721.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial2,1,999.572671,999.572671,999.572671,0.96,0.96,0.96,19.8283092,19.8283092,19.8283092,5033,5033.0,5033.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial3,1,999.341561,999.341561,999.341561,0.96,0.96,0.96,17.3983371,17.3983371,17.3983371,4782,4782.0,4782.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial1,1,999.720078,999.720078,999.720078,0.98,0.98,0.98,4.4,4.4,4.4,667,667.0,667.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial2,1,999.680102,999.680102,999.680102,0.98,0.98,0.98,4.26,4.26,4.26,594,594.0,594.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial3,1,999.48027,999.48027,999.48027,0.98,0.98,0.98,4.45,4.45,4.45,751,751.0,751.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial1,1,999.750062,999.750062,999.750062,0.98,0.98,0.98,4.87,4.87,4.87,675,675.0,675.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial2,1,999.650122,999.650122,999.650122,0.98,0.98,0.98,4.61,4.61,4.61,635,635.0,635.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-compnone-trial3,1,999.610152,999.610152,999.610152,0.98,0.98,0.98,4.24,4.24,4.24,658,658.0,658.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-complz4-trial1,1,998.89114,998.89114,998.89114,0.96,0.96,0.96,94.10149080000001,94.10149080000001,94.10149080000001,10615,10615.0,10615.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-complz4-trial2,1,998.889563,998.889563,998.889563,0.96,0.96,0.96,97.9369664,97.9369664,97.9369664,10312,10312.0,10312.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-complz4-trial3,1,998.920038,998.920038,998.920038,0.96,0.96,0.96,91.54009699999999,91.54009699999999,91.54009699999999,9972,9972.0,9972.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-compnone-trial1,1,998.191907,998.191907,998.191907,0.96,0.96,0.96,89.5232554,89.5232554,89.5232554,9681,9681.0,9681.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-compnone-trial2,1,997.935543,997.935543,997.935543,0.96,0.96,0.96,90.09738130000001,90.09738130000001,90.09738130000001,10179,10179.0,10179.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod12-compnone-trial3,1,998.1068419999999,998.1068419999999,998.1068419999999,0.96,0.96,0.96,79.1122575,79.1122575,79.1122575,9973,9973.0,9973.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial1,1,999.595686,999.595686,999.595686,0.96,0.96,0.96,24.6233038,24.6233038,24.6233038,5056,5056.0,5056.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial2,1,999.416493,999.416493,999.416493,0.96,0.96,0.96,25.4566967,25.4566967,25.4566967,4904,4904.0,4904.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial3,1,999.612881,999.612881,999.612881,0.96,0.96,0.96,28.160044700000004,28.160044700000004,28.160044700000004,4925,4925.0,4925.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial1,1,999.4271180000001,999.4271180000001,999.4271180000001,0.96,0.96,0.96,23.443246999999996,23.443246999999996,23.443246999999996,4659,4659.0,4659.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial2,1,999.719521,999.719521,999.719521,0.96,0.96,0.96,21.4099719,21.4099719,21.4099719,4966,4966.0,4966.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial3,1,999.731051,999.731051,999.731051,0.96,0.96,0.96,23.051652200000003,23.051652200000003,23.051652200000003,4796,4796.0,4796.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial1,1,999.530221,999.530221,999.530221,0.98,0.98,0.98,5.6,5.6,5.6,798,798.0,798.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial2,1,999.430325,999.430325,999.430325,0.98,0.98,0.98,5.7,5.7,5.7,696,696.0,696.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial3,1,999.580176,999.580176,999.580176,0.98,0.98,0.98,5.27,5.27,5.27,652,652.0,652.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial1,1,999.690096,999.690096,999.690096,0.98,0.98,0.98,7.21,7.21,7.21,864,864.0,864.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial2,1,999.780048,999.780048,999.780048,0.98,0.98,0.98,6.17,6.17,6.17,772,772.0,772.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial3,1,999.70009,999.70009,999.70009,0.98,0.98,0.98,5.36,5.36,5.36,683,683.0,683.0
