producer_index=2
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.01 MB/sec), 7122.0 ms avg latency, 7122.0 ms max latency.
287 records sent, 55.7 records/sec (5.43 MB/sec), 614.1 ms avg latency, 1782.0 ms max latency.
288 records sent, 57.3 records/sec (5.60 MB/sec), 127.8 ms avg latency, 453.0 ms max latency.
299 records sent, 59.8 records/sec (5.84 MB/sec), 63.7 ms avg latency, 170.0 ms max latency.
364 records sent, 72.5 records/sec (7.08 MB/sec), 46.8 ms avg latency, 180.0 ms max latency.
440 records sent, 87.9 records/sec (8.59 MB/sec), 30.6 ms avg latency, 124.0 ms max latency.
410 records sent, 81.7 records/sec (7.98 MB/sec), 32.8 ms avg latency, 137.0 ms max latency.
393 records sent, 78.1 records/sec (7.63 MB/sec), 33.7 ms avg latency, 124.0 ms max latency.
359 records sent, 71.8 records/sec (7.01 MB/sec), 34.1 ms avg latency, 116.0 ms max latency.
276 records sent, 55.2 records/sec (5.39 MB/sec), 24.9 ms avg latency, 78.0 ms max latency.
300 records sent, 60.0 records/sec (5.86 MB/sec), 28.7 ms avg latency, 84.0 ms max latency.
350 records sent, 70.0 records/sec (6.84 MB/sec), 36.2 ms avg latency, 175.0 ms max latency.
353 records sent, 70.4 records/sec (6.87 MB/sec), 34.2 ms avg latency, 191.0 ms max latency.
367 records sent, 73.3 records/sec (7.16 MB/sec), 32.7 ms avg latency, 119.0 ms max latency.
358 records sent, 71.6 records/sec (6.99 MB/sec), 30.8 ms avg latency, 87.0 ms max latency.
374 records sent, 74.8 records/sec (7.30 MB/sec), 31.9 ms avg latency, 141.0 ms max latency.
365 records sent, 71.7 records/sec (7.00 MB/sec), 95.6 ms avg latency, 534.0 ms max latency.
376 records sent, 74.7 records/sec (7.30 MB/sec), 30.0 ms avg latency, 119.0 ms max latency.
386 records sent, 76.7 records/sec (7.49 MB/sec), 33.0 ms avg latency, 115.0 ms max latency.
370 records sent, 73.8 records/sec (7.21 MB/sec), 29.7 ms avg latency, 100.0 ms max latency.
370 records sent, 73.9 records/sec (7.22 MB/sec), 31.4 ms avg latency, 123.0 ms max latency.
383 records sent, 76.5 records/sec (7.47 MB/sec), 31.1 ms avg latency, 159.0 ms max latency.
370 records sent, 73.9 records/sec (7.22 MB/sec), 28.8 ms avg latency, 121.0 ms max latency.
383 records sent, 76.1 records/sec (7.43 MB/sec), 30.6 ms avg latency, 111.0 ms max latency.
8334 records sent, 66.849552 records/sec (6.53 MB/sec), 60.32 ms avg latency, 7122.00 ms max latency, 28 ms 50th, 152 ms 95th, 904 ms 99th, 1507 ms 99.9th.
