producer_index=5
producer_count=6
producer_records=16666
producer_throughput=166
50 records sent, 10.0 records/sec (0.97 MB/sec), 233.7 ms avg latency, 4239.0 ms max latency.
634 records sent, 126.3 records/sec (12.33 MB/sec), 229.7 ms avg latency, 715.0 ms max latency.
665 records sent, 132.9 records/sec (12.98 MB/sec), 69.8 ms avg latency, 319.0 ms max latency.
713 records sent, 142.2 records/sec (13.89 MB/sec), 28.2 ms avg latency, 119.0 ms max latency.
717 records sent, 143.1 records/sec (13.98 MB/sec), 24.8 ms avg latency, 105.0 ms max latency.
658 records sent, 130.9 records/sec (12.78 MB/sec), 28.7 ms avg latency, 120.0 ms max latency.
693 records sent, 138.5 records/sec (13.52 MB/sec), 30.3 ms avg latency, 136.0 ms max latency.
780 records sent, 156.0 records/sec (15.23 MB/sec), 23.7 ms avg latency, 92.0 ms max latency.
715 records sent, 142.9 records/sec (13.96 MB/sec), 23.4 ms avg latency, 87.0 ms max latency.
689 records sent, 137.7 records/sec (13.45 MB/sec), 24.3 ms avg latency, 118.0 ms max latency.
825 records sent, 164.8 records/sec (16.09 MB/sec), 34.5 ms avg latency, 208.0 ms max latency.
804 records sent, 160.5 records/sec (15.67 MB/sec), 27.0 ms avg latency, 132.0 ms max latency.
766 records sent, 153.1 records/sec (14.95 MB/sec), 21.3 ms avg latency, 122.0 ms max latency.
783 records sent, 156.0 records/sec (15.24 MB/sec), 21.8 ms avg latency, 121.0 ms max latency.
751 records sent, 149.3 records/sec (14.58 MB/sec), 22.7 ms avg latency, 109.0 ms max latency.
725 records sent, 144.9 records/sec (14.15 MB/sec), 985.4 ms avg latency, 2308.0 ms max latency.
643 records sent, 128.3 records/sec (12.53 MB/sec), 19.5 ms avg latency, 104.0 ms max latency.
732 records sent, 146.3 records/sec (14.28 MB/sec), 25.5 ms avg latency, 170.0 ms max latency.
720 records sent, 143.9 records/sec (14.06 MB/sec), 21.2 ms avg latency, 127.0 ms max latency.
827 records sent, 164.8 records/sec (16.09 MB/sec), 25.5 ms avg latency, 139.0 ms max latency.
825 records sent, 164.6 records/sec (16.07 MB/sec), 30.2 ms avg latency, 205.0 ms max latency.
739 records sent, 147.5 records/sec (14.40 MB/sec), 19.8 ms avg latency, 92.0 ms max latency.
1045 records sent, 209.0 records/sec (20.41 MB/sec), 19.4 ms avg latency, 69.0 ms max latency.
16666 records sent, 143.937955 records/sec (14.06 MB/sec), 77.45 ms avg latency, 4239.00 ms max latency, 21 ms 50th, 252 ms 95th, 1743 ms 99th, 2132 ms 99.9th.
