producer_index=4
producer_count=6
producer_records=16667
producer_throughput=167
833 records sent, 166.3 records/sec (0.16 MB/sec), 81.6 ms avg latency, 4464.0 ms max latency.
840 records sent, 167.8 records/sec (0.16 MB/sec), 19.1 ms avg latency, 103.0 ms max latency.
838 records sent, 167.5 records/sec (0.16 MB/sec), 8.0 ms avg latency, 27.0 ms max latency.
835 records sent, 166.9 records/sec (0.16 MB/sec), 9.6 ms avg latency, 40.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 10.0 ms avg latency, 59.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 8.3 ms avg latency, 31.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 9.2 ms avg latency, 38.0 ms max latency.
832 records sent, 166.1 records/sec (0.16 MB/sec), 8.1 ms avg latency, 37.0 ms max latency.
841 records sent, 168.0 records/sec (0.16 MB/sec), 8.1 ms avg latency, 42.0 ms max latency.
837 records sent, 167.2 records/sec (0.16 MB/sec), 6.9 ms avg latency, 23.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 6.9 ms avg latency, 27.0 ms max latency.
836 records sent, 167.2 records/sec (0.16 MB/sec), 6.7 ms avg latency, 21.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 6.7 ms avg latency, 32.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 6.5 ms avg latency, 28.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.3 ms avg latency, 25.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 6.3 ms avg latency, 22.0 ms max latency.
837 records sent, 167.2 records/sec (0.16 MB/sec), 6.3 ms avg latency, 21.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 6.2 ms avg latency, 24.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 6.4 ms avg latency, 16.0 ms max latency.
16667 records sent, 166.915366 records/sec (0.16 MB/sec), 11.68 ms avg latency, 4464.00 ms max latency, 7 ms 50th, 35 ms 95th, 108 ms 99th, 274 ms 99.9th.
