producer_index=5
producer_count=6
producer_records=16666
producer_throughput=1666
1 records sent, 0.1 records/sec (0.01 MB/sec), 1245.0 ms avg latency, 1245.0 ms max latency.
160 records sent, 31.4 records/sec (3.07 MB/sec), 3993.3 ms avg latency, 7508.0 ms max latency.
590 records sent, 117.1 records/sec (11.43 MB/sec), 3011.0 ms avg latency, 5642.0 ms max latency.
812 records sent, 161.8 records/sec (15.81 MB/sec), 1573.3 ms avg latency, 2226.0 ms max latency.
836 records sent, 167.2 records/sec (16.33 MB/sec), 315.7 ms avg latency, 1146.0 ms max latency.
725 records sent, 144.9 records/sec (14.15 MB/sec), 28.6 ms avg latency, 182.0 ms max latency.
712 records sent, 141.9 records/sec (13.86 MB/sec), 37.9 ms avg latency, 114.0 ms max latency.
791 records sent, 158.2 records/sec (15.45 MB/sec), 31.3 ms avg latency, 108.0 ms max latency.
820 records sent, 163.7 records/sec (15.99 MB/sec), 28.0 ms avg latency, 106.0 ms max latency.
829 records sent, 165.8 records/sec (16.19 MB/sec), 27.6 ms avg latency, 116.0 ms max latency.
814 records sent, 162.5 records/sec (15.87 MB/sec), 22.8 ms avg latency, 82.0 ms max latency.
846 records sent, 169.2 records/sec (16.52 MB/sec), 22.9 ms avg latency, 106.0 ms max latency.
821 records sent, 163.9 records/sec (16.01 MB/sec), 24.7 ms avg latency, 111.0 ms max latency.
837 records sent, 167.2 records/sec (16.33 MB/sec), 21.0 ms avg latency, 134.0 ms max latency.
856 records sent, 171.2 records/sec (16.72 MB/sec), 21.7 ms avg latency, 92.0 ms max latency.
635 records sent, 126.8 records/sec (12.39 MB/sec), 942.0 ms avg latency, 2268.0 ms max latency.
1048 records sent, 209.4 records/sec (20.45 MB/sec), 242.5 ms avg latency, 2061.0 ms max latency.
867 records sent, 173.3 records/sec (16.92 MB/sec), 18.8 ms avg latency, 66.0 ms max latency.
870 records sent, 174.0 records/sec (16.99 MB/sec), 21.4 ms avg latency, 102.0 ms max latency.
882 records sent, 176.0 records/sec (17.19 MB/sec), 22.9 ms avg latency, 98.0 ms max latency.
886 records sent, 177.1 records/sec (17.30 MB/sec), 20.3 ms avg latency, 89.0 ms max latency.
863 records sent, 172.5 records/sec (16.85 MB/sec), 21.5 ms avg latency, 132.0 ms max latency.
16666 records sent, 146.187853 records/sec (14.28 MB/sec), 307.20 ms avg latency, 7508.00 ms max latency, 23 ms 50th, 1966 ms 95th, 4458 ms 99th, 5394 ms 99.9th.
