producer_index=1
producer_count=12
producer_records=8334
producer_throughput=84
1 records sent, 0.1 records/sec (0.01 MB/sec), 19344.0 ms avg latency, 19344.0 ms max latency.
43 records sent, 8.0 records/sec (0.78 MB/sec), 7153.7 ms avg latency, 8766.0 ms max latency.
90 records sent, 17.8 records/sec (1.74 MB/sec), 8687.8 ms avg latency, 10727.0 ms max latency.
156 records sent, 30.5 records/sec (2.98 MB/sec), 10783.8 ms avg latency, 12314.0 ms max latency.
184 records sent, 36.6 records/sec (3.58 MB/sec), 8892.1 ms avg latency, 12079.0 ms max latency.
282 records sent, 55.8 records/sec (5.45 MB/sec), 5560.9 ms avg latency, 7755.0 ms max latency.
336 records sent, 66.5 records/sec (6.50 MB/sec), 2980.5 ms avg latency, 4550.0 ms max latency.
372 records sent, 73.8 records/sec (7.21 MB/sec), 1129.3 ms avg latency, 2441.0 ms max latency.
274 records sent, 54.5 records/sec (5.33 MB/sec), 137.0 ms avg latency, 515.0 ms max latency.
296 records sent, 59.1 records/sec (5.78 MB/sec), 106.9 ms avg latency, 292.0 ms max latency.
262 records sent, 52.3 records/sec (5.11 MB/sec), 81.0 ms avg latency, 248.0 ms max latency.
258 records sent, 51.2 records/sec (5.00 MB/sec), 88.3 ms avg latency, 273.0 ms max latency.
291 records sent, 58.1 records/sec (5.68 MB/sec), 88.0 ms avg latency, 382.0 ms max latency.
295 records sent, 58.8 records/sec (5.74 MB/sec), 51.7 ms avg latency, 172.0 ms max latency.
283 records sent, 56.6 records/sec (5.53 MB/sec), 77.5 ms avg latency, 386.0 ms max latency.
311 records sent, 61.5 records/sec (6.00 MB/sec), 69.5 ms avg latency, 270.0 ms max latency.
313 records sent, 62.6 records/sec (6.11 MB/sec), 73.4 ms avg latency, 257.0 ms max latency.
308 records sent, 61.5 records/sec (6.01 MB/sec), 53.0 ms avg latency, 175.0 ms max latency.
325 records sent, 64.9 records/sec (6.34 MB/sec), 64.0 ms avg latency, 199.0 ms max latency.
308 records sent, 61.3 records/sec (5.98 MB/sec), 63.8 ms avg latency, 246.0 ms max latency.
277 records sent, 54.7 records/sec (5.34 MB/sec), 74.0 ms avg latency, 674.0 ms max latency.
352 records sent, 70.3 records/sec (6.87 MB/sec), 684.2 ms avg latency, 2148.0 ms max latency.
334 records sent, 66.7 records/sec (6.52 MB/sec), 54.1 ms avg latency, 167.0 ms max latency.
314 records sent, 62.8 records/sec (6.13 MB/sec), 47.0 ms avg latency, 189.0 ms max latency.
322 records sent, 64.1 records/sec (6.26 MB/sec), 55.8 ms avg latency, 211.0 ms max latency.
304 records sent, 60.3 records/sec (5.89 MB/sec), 54.2 ms avg latency, 263.0 ms max latency.
306 records sent, 60.8 records/sec (5.94 MB/sec), 58.1 ms avg latency, 261.0 ms max latency.
330 records sent, 65.1 records/sec (6.36 MB/sec), 54.3 ms avg latency, 188.0 ms max latency.
332 records sent, 66.2 records/sec (6.46 MB/sec), 54.5 ms avg latency, 209.0 ms max latency.
338 records sent, 67.6 records/sec (6.60 MB/sec), 54.2 ms avg latency, 206.0 ms max latency.
8334 records sent, 49.587072 records/sec (4.84 MB/sec), 972.02 ms avg latency, 19344.00 ms max latency, 65 ms 50th, 7491 ms 95th, 10851 ms 99th, 11762 ms 99.9th.
