producer_index=12
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.01 MB/sec), 17790.0 ms avg latency, 17790.0 ms max latency.
57 records sent, 11.4 records/sec (1.11 MB/sec), 6835.0 ms avg latency, 8453.0 ms max latency.
102 records sent, 19.9 records/sec (1.94 MB/sec), 9499.5 ms avg latency, 11241.0 ms max latency.
150 records sent, 29.0 records/sec (2.83 MB/sec), 11589.1 ms avg latency, 13495.0 ms max latency.
233 records sent, 46.3 records/sec (4.53 MB/sec), 8062.1 ms avg latency, 11629.0 ms max latency.
377 records sent, 75.1 records/sec (7.33 MB/sec), 4165.9 ms avg latency, 6703.0 ms max latency.
430 records sent, 85.7 records/sec (8.36 MB/sec), 2308.4 ms avg latency, 3391.0 ms max latency.
470 records sent, 93.3 records/sec (9.11 MB/sec), 1005.4 ms avg latency, 2103.0 ms max latency.
336 records sent, 67.0 records/sec (6.55 MB/sec), 144.5 ms avg latency, 458.0 ms max latency.
329 records sent, 65.7 records/sec (6.41 MB/sec), 80.4 ms avg latency, 341.0 ms max latency.
337 records sent, 67.1 records/sec (6.56 MB/sec), 88.7 ms avg latency, 356.0 ms max latency.
351 records sent, 70.1 records/sec (6.84 MB/sec), 94.4 ms avg latency, 429.0 ms max latency.
401 records sent, 80.2 records/sec (7.83 MB/sec), 137.3 ms avg latency, 557.0 ms max latency.
356 records sent, 71.0 records/sec (6.93 MB/sec), 65.1 ms avg latency, 228.0 ms max latency.
355 records sent, 70.6 records/sec (6.90 MB/sec), 80.0 ms avg latency, 337.0 ms max latency.
361 records sent, 72.0 records/sec (7.03 MB/sec), 70.1 ms avg latency, 278.0 ms max latency.
348 records sent, 69.3 records/sec (6.77 MB/sec), 51.5 ms avg latency, 173.0 ms max latency.
389 records sent, 77.2 records/sec (7.54 MB/sec), 61.6 ms avg latency, 246.0 ms max latency.
384 records sent, 76.7 records/sec (7.49 MB/sec), 104.7 ms avg latency, 501.0 ms max latency.
368 records sent, 73.3 records/sec (7.16 MB/sec), 61.2 ms avg latency, 276.0 ms max latency.
355 records sent, 70.9 records/sec (6.93 MB/sec), 47.4 ms avg latency, 156.0 ms max latency.
363 records sent, 71.6 records/sec (6.99 MB/sec), 47.0 ms avg latency, 145.0 ms max latency.
393 records sent, 77.9 records/sec (7.60 MB/sec), 59.8 ms avg latency, 193.0 ms max latency.
381 records sent, 76.0 records/sec (7.42 MB/sec), 69.6 ms avg latency, 411.0 ms max latency.
360 records sent, 71.8 records/sec (7.01 MB/sec), 56.5 ms avg latency, 259.0 ms max latency.
8333 records sent, 58.137345 records/sec (5.68 MB/sec), 1023.18 ms avg latency, 17790.00 ms max latency, 75 ms 50th, 7314 ms 95th, 11478 ms 99th, 12787 ms 99.9th.
