producer_index=10
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.00 MB/sec), 18748.0 ms avg latency, 18748.0 ms max latency.
84 records sent, 16.6 records/sec (0.16 MB/sec), 7552.8 ms avg latency, 9340.0 ms max latency.
192 records sent, 37.9 records/sec (0.37 MB/sec), 10694.9 ms avg latency, 12451.0 ms max latency.
281 records sent, 55.7 records/sec (0.54 MB/sec), 13407.3 ms avg latency, 15208.0 ms max latency.
501 records sent, 100.0 records/sec (0.98 MB/sec), 16195.8 ms avg latency, 17435.0 ms max latency.
826 records sent, 164.0 records/sec (1.60 MB/sec), 18240.6 ms avg latency, 19226.0 ms max latency.
862 records sent, 171.5 records/sec (1.67 MB/sec), 17471.1 ms avg latency, 20185.0 ms max latency.
996 records sent, 198.0 records/sec (1.93 MB/sec), 12149.5 ms avg latency, 13863.0 ms max latency.
1050 records sent, 209.5 records/sec (2.05 MB/sec), 10587.3 ms avg latency, 11671.0 ms max latency.
1140 records sent, 224.9 records/sec (2.20 MB/sec), 9628.4 ms avg latency, 10347.0 ms max latency.
1344 records sent, 267.5 records/sec (2.61 MB/sec), 9012.6 ms avg latency, 9630.0 ms max latency.
8333 records sent, 113.633884 records/sec (1.11 MB/sec), 11879.44 ms avg latency, 20185.00 ms max latency, 10443 ms 50th, 18985 ms 95th, 19801 ms 99th, 20082 ms 99.9th.
