producer_index=4
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.01 MB/sec), 18565.0 ms avg latency, 18565.0 ms max latency.
50 records sent, 10.0 records/sec (0.98 MB/sec), 9085.6 ms avg latency, 10431.0 ms max latency.
123 records sent, 24.2 records/sec (2.36 MB/sec), 11039.2 ms avg latency, 12155.0 ms max latency.
162 records sent, 31.4 records/sec (3.07 MB/sec), 11308.8 ms avg latency, 12833.0 ms max latency.
246 records sent, 48.5 records/sec (4.73 MB/sec), 9514.2 ms avg latency, 13201.0 ms max latency.
310 records sent, 61.6 records/sec (6.01 MB/sec), 5812.5 ms avg latency, 8352.0 ms max latency.
323 records sent, 64.2 records/sec (6.27 MB/sec), 2689.6 ms avg latency, 4281.0 ms max latency.
306 records sent, 60.9 records/sec (5.94 MB/sec), 493.1 ms avg latency, 1772.0 ms max latency.
289 records sent, 57.7 records/sec (5.64 MB/sec), 132.8 ms avg latency, 432.0 ms max latency.
271 records sent, 54.1 records/sec (5.29 MB/sec), 79.1 ms avg latency, 209.0 ms max latency.
332 records sent, 66.4 records/sec (6.48 MB/sec), 84.5 ms avg latency, 320.0 ms max latency.
289 records sent, 57.6 records/sec (5.62 MB/sec), 88.1 ms avg latency, 238.0 ms max latency.
221 records sent, 44.2 records/sec (4.31 MB/sec), 94.2 ms avg latency, 270.0 ms max latency.
201 records sent, 39.9 records/sec (3.90 MB/sec), 55.2 ms avg latency, 200.0 ms max latency.
321 records sent, 64.0 records/sec (6.25 MB/sec), 56.0 ms avg latency, 249.0 ms max latency.
298 records sent, 59.4 records/sec (5.80 MB/sec), 70.8 ms avg latency, 312.0 ms max latency.
318 records sent, 63.6 records/sec (6.21 MB/sec), 53.2 ms avg latency, 155.0 ms max latency.
331 records sent, 66.1 records/sec (6.46 MB/sec), 61.0 ms avg latency, 291.0 ms max latency.
320 records sent, 63.8 records/sec (6.23 MB/sec), 56.4 ms avg latency, 202.0 ms max latency.
332 records sent, 66.1 records/sec (6.46 MB/sec), 63.4 ms avg latency, 247.0 ms max latency.
309 records sent, 61.5 records/sec (6.01 MB/sec), 65.3 ms avg latency, 346.0 ms max latency.
308 records sent, 60.0 records/sec (5.86 MB/sec), 752.3 ms avg latency, 2090.0 ms max latency.
338 records sent, 66.7 records/sec (6.52 MB/sec), 69.6 ms avg latency, 255.0 ms max latency.
345 records sent, 68.4 records/sec (6.68 MB/sec), 38.1 ms avg latency, 115.0 ms max latency.
313 records sent, 62.4 records/sec (6.09 MB/sec), 52.2 ms avg latency, 161.0 ms max latency.
308 records sent, 61.1 records/sec (5.97 MB/sec), 55.3 ms avg latency, 223.0 ms max latency.
335 records sent, 66.9 records/sec (6.53 MB/sec), 51.9 ms avg latency, 266.0 ms max latency.
326 records sent, 65.0 records/sec (6.35 MB/sec), 51.3 ms avg latency, 221.0 ms max latency.
319 records sent, 63.4 records/sec (6.19 MB/sec), 47.0 ms avg latency, 172.0 ms max latency.
324 records sent, 64.7 records/sec (6.32 MB/sec), 46.6 ms avg latency, 139.0 ms max latency.
8334 records sent, 50.090757 records/sec (4.89 MB/sec), 1136.75 ms avg latency, 18565.00 ms max latency, 64 ms 50th, 9022 ms 95th, 11719 ms 99th, 12782 ms 99.9th.
