producer_index=4
producer_count=12
producer_records=8334
producer_throughput=84
1 records sent, 0.1 records/sec (0.00 MB/sec), 19622.0 ms avg latency, 19622.0 ms max latency.
480 records sent, 93.5 records/sec (0.91 MB/sec), 7216.1 ms avg latency, 8952.0 ms max latency.
1027 records sent, 194.9 records/sec (1.90 MB/sec), 8589.9 ms avg latency, 9918.0 ms max latency.
1435 records sent, 285.8 records/sec (2.79 MB/sec), 6027.3 ms avg latency, 11313.0 ms max latency.
440 records sent, 87.7 records/sec (0.86 MB/sec), 54.6 ms avg latency, 226.0 ms max latency.
421 records sent, 84.1 records/sec (0.82 MB/sec), 33.1 ms avg latency, 110.0 ms max latency.
423 records sent, 84.2 records/sec (0.82 MB/sec), 23.4 ms avg latency, 70.0 ms max latency.
421 records sent, 84.0 records/sec (0.82 MB/sec), 21.8 ms avg latency, 73.0 ms max latency.
418 records sent, 83.6 records/sec (0.82 MB/sec), 19.5 ms avg latency, 52.0 ms max latency.
425 records sent, 84.7 records/sec (0.83 MB/sec), 19.0 ms avg latency, 86.0 ms max latency.
422 records sent, 83.6 records/sec (0.82 MB/sec), 18.7 ms avg latency, 61.0 ms max latency.
425 records sent, 84.6 records/sec (0.83 MB/sec), 21.8 ms avg latency, 86.0 ms max latency.
421 records sent, 84.0 records/sec (0.82 MB/sec), 18.3 ms avg latency, 72.0 ms max latency.
421 records sent, 84.0 records/sec (0.82 MB/sec), 21.2 ms avg latency, 195.0 ms max latency.
422 records sent, 84.3 records/sec (0.82 MB/sec), 16.5 ms avg latency, 44.0 ms max latency.
420 records sent, 83.5 records/sec (0.82 MB/sec), 16.7 ms avg latency, 58.0 ms max latency.
8334 records sent, 83.691504 records/sec (0.82 MB/sec), 2529.50 ms avg latency, 19622.00 ms max latency, 27 ms 50th, 9625 ms 95th, 10583 ms 99th, 11284 ms 99.9th.
