producer_index=11
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 812.0 ms avg latency, 812.0 ms max latency.
361 records sent, 71.4 records/sec (6.97 MB/sec), 575.7 ms avg latency, 7312.0 ms max latency.
336 records sent, 66.9 records/sec (6.54 MB/sec), 118.9 ms avg latency, 303.0 ms max latency.
386 records sent, 77.0 records/sec (7.52 MB/sec), 83.9 ms avg latency, 197.0 ms max latency.
429 records sent, 85.6 records/sec (8.36 MB/sec), 41.0 ms avg latency, 138.0 ms max latency.
455 records sent, 90.9 records/sec (8.88 MB/sec), 27.2 ms avg latency, 109.0 ms max latency.
445 records sent, 88.8 records/sec (8.68 MB/sec), 27.5 ms avg latency, 107.0 ms max latency.
451 records sent, 89.4 records/sec (8.73 MB/sec), 29.7 ms avg latency, 131.0 ms max latency.
456 records sent, 91.0 records/sec (8.88 MB/sec), 25.9 ms avg latency, 114.0 ms max latency.
445 records sent, 88.6 records/sec (8.65 MB/sec), 26.9 ms avg latency, 95.0 ms max latency.
443 records sent, 88.1 records/sec (8.61 MB/sec), 28.7 ms avg latency, 126.0 ms max latency.
440 records sent, 87.8 records/sec (8.57 MB/sec), 28.0 ms avg latency, 93.0 ms max latency.
435 records sent, 86.5 records/sec (8.45 MB/sec), 24.9 ms avg latency, 88.0 ms max latency.
288 records sent, 57.5 records/sec (5.62 MB/sec), 499.5 ms avg latency, 2177.0 ms max latency.
564 records sent, 112.5 records/sec (10.98 MB/sec), 416.4 ms avg latency, 1986.0 ms max latency.
438 records sent, 87.1 records/sec (8.51 MB/sec), 25.5 ms avg latency, 106.0 ms max latency.
417 records sent, 83.2 records/sec (8.12 MB/sec), 24.9 ms avg latency, 217.0 ms max latency.
454 records sent, 90.7 records/sec (8.86 MB/sec), 24.1 ms avg latency, 83.0 ms max latency.
442 records sent, 88.2 records/sec (8.61 MB/sec), 25.4 ms avg latency, 140.0 ms max latency.
466 records sent, 93.1 records/sec (9.10 MB/sec), 27.2 ms avg latency, 142.0 ms max latency.
8333 records sent, 79.792022 records/sec (7.79 MB/sec), 100.08 ms avg latency, 7312.00 ms max latency, 26 ms 50th, 576 ms 95th, 1526 ms 99th, 1960 ms 99.9th.
