run_id=security-overhead-final-factorial-tls-b5-rf5-isr3-msg10240-tps1000-batch16384-acksall-prod1-complz4-trial3
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-tls-b5-rf5-isr3-msg10240-tps1000-batch16384-acksall-prod1-complz4-trial3/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4995 records sent, 999.0 records/sec (9.76 MB/sec), 378.7 ms avg latency, 1173.0 ms max latency.
5004 records sent, 1000.8 records/sec (9.77 MB/sec), 4.9 ms avg latency, 215.0 ms max latency.
5003 records sent, 1000.6 records/sec (9.77 MB/sec), 4.1 ms avg latency, 28.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 4.1 ms avg latency, 37.0 ms max latency.
5002 records sent, 1000.4 records/sec (9.77 MB/sec), 4.3 ms avg latency, 36.0 ms max latency.
5001 records sent, 1000.0 records/sec (9.77 MB/sec), 4.1 ms avg latency, 25.0 ms max latency.
4996 records sent, 999.0 records/sec (9.76 MB/sec), 3.9 ms avg latency, 26.0 ms max latency.
5006 records sent, 1001.2 records/sec (9.78 MB/sec), 4.1 ms avg latency, 37.0 ms max latency.
5003 records sent, 1000.4 records/sec (9.77 MB/sec), 3.9 ms avg latency, 26.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 6.3 ms avg latency, 93.0 ms max latency.
5001 records sent, 1000.0 records/sec (9.77 MB/sec), 4.4 ms avg latency, 62.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 3.8 ms avg latency, 28.0 ms max latency.
4997 records sent, 997.8 records/sec (9.74 MB/sec), 4.3 ms avg latency, 45.0 ms max latency.
5013 records sent, 1002.4 records/sec (9.79 MB/sec), 9.4 ms avg latency, 115.0 ms max latency.
5003 records sent, 1000.6 records/sec (9.77 MB/sec), 5.8 ms avg latency, 72.0 ms max latency.
5002 records sent, 1000.4 records/sec (9.77 MB/sec), 4.4 ms avg latency, 59.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 5.1 ms avg latency, 69.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 3.6 ms avg latency, 15.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 4.1 ms avg latency, 53.0 ms max latency.
100000 records sent, 999.640130 records/sec (9.76 MB/sec), 23.36 ms avg latency, 1173.00 ms max latency, 4 ms 50th, 19 ms 95th, 881 ms 99th, 943 ms 99.9th.
