producer_index=6
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 8862.0 ms avg latency, 8862.0 ms max latency.
199 records sent, 39.1 records/sec (3.81 MB/sec), 400.6 ms avg latency, 930.0 ms max latency.
227 records sent, 45.1 records/sec (4.41 MB/sec), 154.9 ms avg latency, 414.0 ms max latency.
177 records sent, 35.4 records/sec (3.46 MB/sec), 126.9 ms avg latency, 330.0 ms max latency.
240 records sent, 48.0 records/sec (4.69 MB/sec), 89.8 ms avg latency, 283.0 ms max latency.
336 records sent, 66.9 records/sec (6.53 MB/sec), 159.9 ms avg latency, 668.0 ms max latency.
282 records sent, 56.4 records/sec (5.51 MB/sec), 47.4 ms avg latency, 271.0 ms max latency.
404 records sent, 80.2 records/sec (7.83 MB/sec), 61.6 ms avg latency, 238.0 ms max latency.
368 records sent, 73.2 records/sec (7.15 MB/sec), 80.8 ms avg latency, 390.0 ms max latency.
313 records sent, 62.5 records/sec (6.10 MB/sec), 40.1 ms avg latency, 168.0 ms max latency.
343 records sent, 68.1 records/sec (6.65 MB/sec), 71.2 ms avg latency, 341.0 ms max latency.
346 records sent, 69.1 records/sec (6.74 MB/sec), 50.0 ms avg latency, 288.0 ms max latency.
310 records sent, 62.0 records/sec (6.05 MB/sec), 40.3 ms avg latency, 164.0 ms max latency.
278 records sent, 55.6 records/sec (5.43 MB/sec), 59.2 ms avg latency, 263.0 ms max latency.
280 records sent, 55.7 records/sec (5.44 MB/sec), 41.9 ms avg latency, 198.0 ms max latency.
296 records sent, 58.9 records/sec (5.75 MB/sec), 40.0 ms avg latency, 163.0 ms max latency.
305 records sent, 60.6 records/sec (5.92 MB/sec), 67.8 ms avg latency, 298.0 ms max latency.
293 records sent, 58.3 records/sec (5.69 MB/sec), 41.1 ms avg latency, 134.0 ms max latency.
279 records sent, 55.2 records/sec (5.39 MB/sec), 38.7 ms avg latency, 124.0 ms max latency.
282 records sent, 56.0 records/sec (5.47 MB/sec), 43.1 ms avg latency, 182.0 ms max latency.
287 records sent, 56.3 records/sec (5.50 MB/sec), 44.6 ms avg latency, 217.0 ms max latency.
297 records sent, 59.3 records/sec (5.79 MB/sec), 49.9 ms avg latency, 243.0 ms max latency.
243 records sent, 48.5 records/sec (4.74 MB/sec), 50.4 ms avg latency, 189.0 ms max latency.
328 records sent, 65.0 records/sec (6.35 MB/sec), 37.7 ms avg latency, 142.0 ms max latency.
286 records sent, 56.9 records/sec (5.56 MB/sec), 37.3 ms avg latency, 176.0 ms max latency.
309 records sent, 61.8 records/sec (6.03 MB/sec), 51.3 ms avg latency, 300.0 ms max latency.
291 records sent, 57.9 records/sec (5.66 MB/sec), 37.1 ms avg latency, 155.0 ms max latency.
315 records sent, 63.0 records/sec (6.15 MB/sec), 34.6 ms avg latency, 162.0 ms max latency.
267 records sent, 53.3 records/sec (5.21 MB/sec), 34.1 ms avg latency, 217.0 ms max latency.
8333 records sent, 54.418881 records/sec (5.31 MB/sec), 68.07 ms avg latency, 8862.00 ms max latency, 39 ms 50th, 214 ms 95th, 502 ms 99th, 797 ms 99.9th.
