producer_index=5
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 18395.0 ms avg latency, 18395.0 ms max latency.
84 records sent, 16.6 records/sec (1.62 MB/sec), 7045.4 ms avg latency, 8238.0 ms max latency.
127 records sent, 25.4 records/sec (2.48 MB/sec), 9001.9 ms avg latency, 10722.0 ms max latency.
167 records sent, 32.3 records/sec (3.16 MB/sec), 9870.6 ms avg latency, 12763.0 ms max latency.
162 records sent, 31.6 records/sec (3.09 MB/sec), 7933.8 ms avg latency, 9307.0 ms max latency.
180 records sent, 35.9 records/sec (3.51 MB/sec), 7780.9 ms avg latency, 8769.0 ms max latency.
327 records sent, 65.2 records/sec (6.36 MB/sec), 5597.8 ms avg latency, 8274.0 ms max latency.
510 records sent, 101.4 records/sec (9.90 MB/sec), 2068.8 ms avg latency, 3332.0 ms max latency.
423 records sent, 84.6 records/sec (8.26 MB/sec), 204.9 ms avg latency, 1066.0 ms max latency.
351 records sent, 69.2 records/sec (6.75 MB/sec), 55.1 ms avg latency, 166.0 ms max latency.
386 records sent, 76.5 records/sec (7.47 MB/sec), 75.6 ms avg latency, 231.0 ms max latency.
405 records sent, 80.6 records/sec (7.87 MB/sec), 52.0 ms avg latency, 228.0 ms max latency.
420 records sent, 83.6 records/sec (8.16 MB/sec), 39.8 ms avg latency, 137.0 ms max latency.
400 records sent, 79.6 records/sec (7.77 MB/sec), 46.7 ms avg latency, 226.0 ms max latency.
412 records sent, 82.3 records/sec (8.03 MB/sec), 33.8 ms avg latency, 84.0 ms max latency.
425 records sent, 84.4 records/sec (8.24 MB/sec), 41.5 ms avg latency, 174.0 ms max latency.
405 records sent, 80.4 records/sec (7.85 MB/sec), 40.1 ms avg latency, 178.0 ms max latency.
441 records sent, 88.1 records/sec (8.60 MB/sec), 33.5 ms avg latency, 152.0 ms max latency.
403 records sent, 80.5 records/sec (7.86 MB/sec), 28.8 ms avg latency, 125.0 ms max latency.
406 records sent, 81.2 records/sec (7.92 MB/sec), 28.1 ms avg latency, 89.0 ms max latency.
408 records sent, 81.3 records/sec (7.94 MB/sec), 30.3 ms avg latency, 153.0 ms max latency.
406 records sent, 81.1 records/sec (7.92 MB/sec), 25.9 ms avg latency, 92.0 ms max latency.
427 records sent, 85.3 records/sec (8.33 MB/sec), 24.0 ms avg latency, 71.0 ms max latency.
8333 records sent, 61.879019 records/sec (6.04 MB/sec), 1115.61 ms avg latency, 18395.00 ms max latency, 39 ms 50th, 7967 ms 95th, 10079 ms 99th, 12035 ms 99.9th.
