4999 records sent, 999.0 records/sec (0.98 MB/sec), 103.9 ms avg latency, 1281.0 ms max latency.
5007 records sent, 1000.4 records/sec (0.98 MB/sec), 5.0 ms avg latency, 14.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 4.9 ms avg latency, 11.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 5.0 ms avg latency, 11.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 5.0 ms avg latency, 37.0 ms max latency.
5001 records sent, 999.8 records/sec (0.98 MB/sec), 5.0 ms avg latency, 29.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 4.8 ms avg latency, 9.0 ms max latency.
5007 records sent, 1000.2 records/sec (0.98 MB/sec), 4.8 ms avg latency, 10.0 ms max latency.
5006 records sent, 999.0 records/sec (0.98 MB/sec), 4.8 ms avg latency, 19.0 ms max latency.
5011 records sent, 1001.2 records/sec (0.98 MB/sec), 4.9 ms avg latency, 13.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 4.8 ms avg latency, 22.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.8 ms avg latency, 10.0 ms max latency.
5007 records sent, 1000.2 records/sec (0.98 MB/sec), 4.8 ms avg latency, 17.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.9 ms avg latency, 14.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.9 ms avg latency, 12.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.9 ms avg latency, 24.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.8 ms avg latency, 10.0 ms max latency.
5004 records sent, 999.8 records/sec (0.98 MB/sec), 4.9 ms avg latency, 20.0 ms max latency.
5005 records sent, 1000.4 records/sec (0.98 MB/sec), 5.1 ms avg latency, 46.0 ms max latency.
100000 records sent, 999.670109 records/sec (0.98 MB/sec), 9.84 ms avg latency, 1281.00 ms max latency, 5 ms 50th, 7 ms 95th, 361 ms 99th, 445 ms 99.9th.
