"run_id","benchmark_type","security_mode","baseline_name","sweep_name","sweep_variable","sweep_value","trial_index","trial_count","broker_count","partitions","replication_factor","min_insync_replicas","num_records","record_size_bytes","throughput_limit_records_per_sec","producer_count","consumer_count","batch_size","linger_ms","acks","compression_type","records_sent","records_consumed","throughput_records_per_sec","throughput_mb_per_sec","data_consumed_mb","avg_latency_ms","max_latency_ms","rebalance_time_ms","fetch_time_ms","producer_count_observed","producer_throughput_records_per_sec_min","producer_throughput_records_per_sec_max","producer_avg_latency_ms_min","producer_avg_latency_ms_max","interval_summary_count","interval_avg_latency_ms_p95","interval_avg_latency_ms_p99","interval_max_latency_ms_p95","interval_max_latency_ms_p99","telemetry_host_count","benchmark_client_cpu_percent_mean","broker_cpu_percent_mean","broker_cpu_percent_max_mean","benchmark_client_memory_used_percent_mean","broker_memory_used_percent_mean","benchmark_client_network_rx_bytes_delta","benchmark_client_network_tx_bytes_delta","broker_network_rx_bytes_delta_mean","broker_network_tx_bytes_delta_mean","broker_network_rx_bytes_delta_total","broker_network_tx_bytes_delta_total","benchmark_client_disk_read_sectors_delta","benchmark_client_disk_write_sectors_delta","broker_disk_read_sectors_delta_mean","broker_disk_write_sectors_delta_mean","broker_disk_read_sectors_delta_total","broker_disk_write_sectors_delta_total"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial2","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial2","2","3","3","6","3","3","100000","1024","1000","12","1","131072","5","1","none","100000","null","998.0368920000001","0.9599999999999999","null","369.50782940000005","14321.0","null","null","12","82.798434","83.828721","304.97","402.57","214","6209.799999999937","14167.710000000001","13433.3","14167.710000000001","4","94.17134831460675","13.208868848367397","27.673333333333336","20.672359550561808","23.044093496740658","21614900","140588265","145603474.33333334","110636562.33333333","436810423","331909687","0","49840","0.0","266381.3333333333","0","799144"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial3","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod12-compnone-trial3","3","3","3","6","3","3","100000","1024","1000","12","1","131072","5","1","none","100000","null","998.458128","0.9599999999999999","null","380.02542259999996","14804.0","null","null","12","82.79103","83.887787","305.73","471.71","214","6135.809999999939","14320.77","13277.499999999998","14320.77","4","94.24239130434782","13.484051063519814","29.116666666666664","20.79293478260869","23.05185633984071","21740436","140799555","146078132.0","111131010.33333333","438234396","333393031","0","55704","0.0","261880.0","0","785640"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial1","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial1","1","3","3","6","3","3","100000","1024","1000","6","1","131072","5","1","lz4","100000","null","999.709742","0.9600000000000001","null","106.6216385","7384.0","null","null","6","165.934865","166.957166","97.88","115.46","114","2995.589999999966","7167.320000000001","3567.199999999971","7167.320000000001","4","72.8986607142857","14.531466016487895","27.14","17.802232142857125","23.0178653014051","23022544","144425702","149606862.66666666","114172366.66666667","448820588","342517100","0","50240","0.0","271666.6666666667","0","815000"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial2","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial2","2","3","3","6","3","3","100000","1024","1000","6","1","131072","5","1","lz4","100000","null","999.7161140000001","0.9600000000000001","null","109.6467015","7475.0","null","null","6","165.95965","166.960511","101.71","117.15","114","899.55","7248.100000000001","3590.4499999999707","7345.280000000001","4","71.90818181818182","15.109949702285283","29.486666666666668","17.44327272727276","23.026771662763466","23099159","144558142","149749694.33333334","114304584.0","449249083","342913752","0","46736","0.0","274240.0","0","822720"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial3","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial3","3","3","3","6","3","3","100000","1024","1000","6","1","131072","5","1","lz4","100000","null","999.707951","0.9600000000000001","null","104.20333880000001","7504.0","null","null","6","165.951388","166.965529","95.58","112.28","114","873.5449999999996","7203.1100000000015","3505.7999999999715","7359.540000000001","4","69.4918348623853","14.64534112640297","28.76","17.471376146788966","23.090004262413583","23280044","144886855","150051692.0","114592893.33333333","450155076","343778680","0","43416","0.0","270578.6666666667","0","811736"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial1","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial1","1","3","3","6","3","3","100000","1024","1000","6","1","131072","5","1","none","100000","null","999.7130100000002","0.9600000000000001","null","93.80488379999998","7026.0","null","null","6","165.944778","166.960511","80.41","100.63","114","2795.309999999968","6966.4400000000005","3342.9999999999727","6966.4400000000005","4","68.20418181818182","15.50021461480767","29.78333333333333","16.827727272727238","23.00285760205723","23643291","144362230","149580869.0","114484475.66666667","448742607","343453427","0","39632","0.0","273162.6666666667","0","819488"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial2","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial2","2","3","3","6","3","3","100000","1024","1000","6","1","131072","5","1","none","100000","null","999.6861930000001","0.9600000000000001","null","90.70976610000001","7086.0","null","null","6","165.954693","166.955494","70.92","107.77","114","929.5199999999985","6955.92","3419.049999999971","6955.92","4","69.36551401869158","15.50198004075206","30.67","17.18345794392523","23.006706731808208","23573521","144237334","149050187.33333334","113919390.33333333","447150562","341758171","0","39984","0.0","268698.6666666667","0","806096"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial3","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial3","3","3","3","6","3","3","100000","1024","1000","6","1","131072","5","1","none","100000","null","999.5980179999999","0.9600000000000001","null","91.8666364","7215.0","null","null","6","165.921649","166.962184","79.12","102.64","114","2806.8199999999674","7046.150000000001","3330.199999999972","7046.150000000001","4","68.14914285714288","14.947226115015388","28.653333333333332","16.959619047619068","23.029104508290846","23751807","144547586","149350221.33333334","114214686.33333333","448050664","342644059","0","47552","0.0","267120.0","0","801360"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial1","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial1","1","3","3","6","3","3","100000","1024","1000","1","1","131072","5","all","lz4","100000","null","999.650122","0.98","null","7.47","1084.0","null","null","1","999.650122","999.650122","7.47","7.47","19","10.359999999999888","48.23200000000002","132.69999999999774","893.7400000000004","4","15.603944954128455","6.139071740046542","25.906666666666666","10.351009174311908","23.096752262775055","4972436","112176633","113394947.66666667","78786215.66666667","340184843","236358647","0","31096","0.0","259549.33333333334","0","778648"
"security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial2","producer","tls","security-overhead-final-factorial","security-overhead-final-factorial","factorial_config","security-overhead-final-factorial-tls-b3-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial2","2","3","3","6","3","3","100000","1024","1000","1","1","131072","5","all","lz4","100000","null","999.730073","0.98","null","7.18","1038.0","null","null","1","999.730073","999.730073","7.18","7.18","19","9.689999999999902","42.738000000000014","126.29999999999784","855.6600000000003","4","15.822660550458725","6.105952992968557","25.003333333333334","10.377798165137623","23.111633598810908","4979646","112186969","113397635.66666667","78788365.0","340192907","236365095","0","32824","0.0","255696.0","0","767088"
