producer_index=4
producer_count=6
producer_records=16667
producer_throughput=167
824 records sent, 164.7 records/sec (0.16 MB/sec), 95.7 ms avg latency, 4269.0 ms max latency.
850 records sent, 169.8 records/sec (0.17 MB/sec), 18.1 ms avg latency, 91.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 8.6 ms avg latency, 32.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 8.9 ms avg latency, 47.0 ms max latency.
837 records sent, 167.2 records/sec (0.16 MB/sec), 8.5 ms avg latency, 33.0 ms max latency.
837 records sent, 167.1 records/sec (0.16 MB/sec), 9.8 ms avg latency, 64.0 ms max latency.
837 records sent, 167.3 records/sec (0.16 MB/sec), 9.7 ms avg latency, 65.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 9.5 ms avg latency, 61.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 9.2 ms avg latency, 51.0 ms max latency.
833 records sent, 166.5 records/sec (0.16 MB/sec), 8.2 ms avg latency, 38.0 ms max latency.
843 records sent, 168.3 records/sec (0.16 MB/sec), 7.0 ms avg latency, 40.0 ms max latency.
835 records sent, 166.7 records/sec (0.16 MB/sec), 6.5 ms avg latency, 17.0 ms max latency.
839 records sent, 167.7 records/sec (0.16 MB/sec), 6.9 ms avg latency, 22.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 6.5 ms avg latency, 18.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.4 ms avg latency, 22.0 ms max latency.
836 records sent, 167.1 records/sec (0.16 MB/sec), 6.1 ms avg latency, 11.0 ms max latency.
835 records sent, 167.0 records/sec (0.16 MB/sec), 6.2 ms avg latency, 14.0 ms max latency.
836 records sent, 167.0 records/sec (0.16 MB/sec), 6.4 ms avg latency, 16.0 ms max latency.
835 records sent, 166.9 records/sec (0.16 MB/sec), 6.2 ms avg latency, 22.0 ms max latency.
16667 records sent, 166.945460 records/sec (0.16 MB/sec), 12.49 ms avg latency, 4269.00 ms max latency, 7 ms 50th, 32 ms 95th, 166 ms 99th, 288 ms 99.9th.
