4993 records sent, 996.2 records/sec (0.97 MB/sec), 89.5 ms avg latency, 1255.0 ms max latency.
5017 records sent, 1003.0 records/sec (0.98 MB/sec), 5.5 ms avg latency, 23.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 5.6 ms avg latency, 23.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 5.3 ms avg latency, 24.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 5.2 ms avg latency, 12.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 5.2 ms avg latency, 25.0 ms max latency.
5006 records sent, 1000.4 records/sec (0.98 MB/sec), 5.1 ms avg latency, 13.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 5.2 ms avg latency, 28.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 5.2 ms avg latency, 28.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 5.0 ms avg latency, 16.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 5.1 ms avg latency, 28.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 5.0 ms avg latency, 29.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 5.1 ms avg latency, 18.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 5.3 ms avg latency, 41.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 5.1 ms avg latency, 12.0 ms max latency.
5005 records sent, 1000.4 records/sec (0.98 MB/sec), 5.1 ms avg latency, 26.0 ms max latency.
5003 records sent, 999.8 records/sec (0.98 MB/sec), 5.1 ms avg latency, 21.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 5.1 ms avg latency, 20.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 5.1 ms avg latency, 27.0 ms max latency.
100000 records sent, 999.600160 records/sec (0.98 MB/sec), 9.39 ms avg latency, 1255.00 ms max latency, 5 ms 50th, 8 ms 95th, 278 ms 99th, 390 ms 99.9th.
