producer_index=8
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.0 records/sec (0.00 MB/sec), 19879.0 ms avg latency, 19879.0 ms max latency.
70 records sent, 13.9 records/sec (1.36 MB/sec), 6775.4 ms avg latency, 8203.0 ms max latency.
96 records sent, 18.5 records/sec (1.81 MB/sec), 8505.6 ms avg latency, 10254.0 ms max latency.
156 records sent, 30.2 records/sec (2.95 MB/sec), 11011.0 ms avg latency, 12417.0 ms max latency.
144 records sent, 28.4 records/sec (2.78 MB/sec), 9522.9 ms avg latency, 11498.0 ms max latency.
162 records sent, 31.3 records/sec (3.05 MB/sec), 8717.3 ms avg latency, 9555.0 ms max latency.
262 records sent, 51.9 records/sec (5.07 MB/sec), 6932.0 ms avg latency, 9013.0 ms max latency.
372 records sent, 74.3 records/sec (7.25 MB/sec), 3035.4 ms avg latency, 5247.0 ms max latency.
368 records sent, 72.6 records/sec (7.09 MB/sec), 540.6 ms avg latency, 1895.0 ms max latency.
301 records sent, 59.6 records/sec (5.82 MB/sec), 72.2 ms avg latency, 233.0 ms max latency.
303 records sent, 60.1 records/sec (5.87 MB/sec), 100.4 ms avg latency, 385.0 ms max latency.
279 records sent, 55.5 records/sec (5.42 MB/sec), 62.0 ms avg latency, 211.0 ms max latency.
269 records sent, 53.3 records/sec (5.21 MB/sec), 53.5 ms avg latency, 182.0 ms max latency.
298 records sent, 59.5 records/sec (5.81 MB/sec), 80.9 ms avg latency, 371.0 ms max latency.
315 records sent, 62.4 records/sec (6.09 MB/sec), 90.9 ms avg latency, 452.0 ms max latency.
326 records sent, 65.2 records/sec (6.37 MB/sec), 60.8 ms avg latency, 218.0 ms max latency.
315 records sent, 62.7 records/sec (6.12 MB/sec), 70.6 ms avg latency, 239.0 ms max latency.
322 records sent, 63.9 records/sec (6.24 MB/sec), 51.6 ms avg latency, 199.0 ms max latency.
332 records sent, 65.6 records/sec (6.41 MB/sec), 55.8 ms avg latency, 230.0 ms max latency.
307 records sent, 60.5 records/sec (5.91 MB/sec), 100.9 ms avg latency, 512.0 ms max latency.
360 records sent, 71.1 records/sec (6.94 MB/sec), 586.4 ms avg latency, 1616.0 ms max latency.
332 records sent, 66.4 records/sec (6.48 MB/sec), 55.6 ms avg latency, 179.0 ms max latency.
320 records sent, 63.9 records/sec (6.24 MB/sec), 45.2 ms avg latency, 204.0 ms max latency.
341 records sent, 67.1 records/sec (6.55 MB/sec), 49.7 ms avg latency, 245.0 ms max latency.
329 records sent, 65.7 records/sec (6.41 MB/sec), 50.8 ms avg latency, 249.0 ms max latency.
332 records sent, 65.6 records/sec (6.40 MB/sec), 39.2 ms avg latency, 104.0 ms max latency.
320 records sent, 63.8 records/sec (6.23 MB/sec), 55.6 ms avg latency, 202.0 ms max latency.
326 records sent, 65.1 records/sec (6.36 MB/sec), 43.1 ms avg latency, 167.0 ms max latency.
429 records sent, 85.7 records/sec (8.37 MB/sec), 37.5 ms avg latency, 157.0 ms max latency.
8333 records sent, 50.905648 records/sec (4.97 MB/sec), 1145.69 ms avg latency, 19879.00 ms max latency, 59 ms 50th, 8692 ms 95th, 10927 ms 99th, 12094 ms 99.9th.
