1908 records sent, 381.5 records/sec (37.26 MB/sec), 527.2 ms avg latency, 1391.0 ms max latency.
5147 records sent, 1029.4 records/sec (100.53 MB/sec), 16.8 ms avg latency, 64.0 ms max latency.
5519 records sent, 1103.1 records/sec (107.73 MB/sec), 14.6 ms avg latency, 68.0 ms max latency.
5885 records sent, 1177.0 records/sec (114.94 MB/sec), 11.7 ms avg latency, 48.0 ms max latency.
6546 records sent, 1308.9 records/sec (127.83 MB/sec), 18.2 ms avg latency, 98.0 ms max latency.
5004 records sent, 1000.8 records/sec (97.73 MB/sec), 7.9 ms avg latency, 50.0 ms max latency.
5002 records sent, 1000.4 records/sec (97.70 MB/sec), 7.6 ms avg latency, 28.0 ms max latency.
4999 records sent, 999.8 records/sec (97.64 MB/sec), 8.3 ms avg latency, 56.0 ms max latency.
4997 records sent, 998.8 records/sec (97.54 MB/sec), 7.8 ms avg latency, 36.0 ms max latency.
5004 records sent, 1000.6 records/sec (97.71 MB/sec), 8.0 ms avg latency, 50.0 ms max latency.
5000 records sent, 1000.0 records/sec (97.66 MB/sec), 8.5 ms avg latency, 40.0 ms max latency.
5005 records sent, 1001.0 records/sec (97.75 MB/sec), 7.8 ms avg latency, 37.0 ms max latency.
4951 records sent, 990.2 records/sec (96.70 MB/sec), 50.5 ms avg latency, 545.0 ms max latency.
5056 records sent, 1011.0 records/sec (98.73 MB/sec), 40.9 ms avg latency, 505.0 ms max latency.
5001 records sent, 1000.2 records/sec (97.68 MB/sec), 7.7 ms avg latency, 27.0 ms max latency.
4999 records sent, 999.8 records/sec (97.64 MB/sec), 8.0 ms avg latency, 38.0 ms max latency.
5004 records sent, 1000.8 records/sec (97.73 MB/sec), 8.6 ms avg latency, 47.0 ms max latency.
4986 records sent, 997.0 records/sec (97.36 MB/sec), 9.1 ms avg latency, 55.0 ms max latency.
5028 records sent, 1005.2 records/sec (98.16 MB/sec), 8.9 ms avg latency, 56.0 ms max latency.
100000 records sent, 999.650122 records/sec (97.62 MB/sec), 23.52 ms avg latency, 1391.00 ms max latency, 8 ms 50th, 47 ms 95th, 447 ms 99th, 1086 ms 99.9th.
