producer_index=5
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.00 MB/sec), 15860.0 ms avg latency, 15860.0 ms max latency.
120 records sent, 23.6 records/sec (0.23 MB/sec), 5821.5 ms avg latency, 8201.0 ms max latency.
240 records sent, 47.5 records/sec (0.46 MB/sec), 9301.2 ms avg latency, 10908.0 ms max latency.
330 records sent, 65.7 records/sec (0.64 MB/sec), 12094.6 ms avg latency, 13651.0 ms max latency.
548 records sent, 109.0 records/sec (1.06 MB/sec), 14876.0 ms avg latency, 16482.0 ms max latency.
904 records sent, 180.0 records/sec (1.76 MB/sec), 17050.6 ms avg latency, 18208.0 ms max latency.
1006 records sent, 197.7 records/sec (1.93 MB/sec), 14416.3 ms avg latency, 18457.0 ms max latency.
1134 records sent, 226.0 records/sec (2.21 MB/sec), 10357.0 ms avg latency, 11439.0 ms max latency.
1218 records sent, 243.0 records/sec (2.37 MB/sec), 9202.2 ms avg latency, 9875.0 ms max latency.
1716 records sent, 342.8 records/sec (3.35 MB/sec), 7583.4 ms avg latency, 8665.0 ms max latency.
8333 records sent, 130.376281 records/sec (1.27 MB/sec), 10445.69 ms avg latency, 18457.00 ms max latency, 9626 ms 50th, 17440 ms 95th, 18177 ms 99th, 18347 ms 99.9th.
