run_id=plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod1-compnone-trial3
producer_count=1
----- /var/lib/kafka-client/results/plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod1-compnone-trial3/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4995 records sent, 998.0 records/sec (0.97 MB/sec), 6.2 ms avg latency, 483.0 ms max latency.
5004 records sent, 1000.6 records/sec (0.98 MB/sec), 3.8 ms avg latency, 9.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 3.8 ms avg latency, 7.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 3.7 ms avg latency, 7.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 3.8 ms avg latency, 7.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 3.7 ms avg latency, 10.0 ms max latency.
5005 records sent, 1000.4 records/sec (0.98 MB/sec), 3.7 ms avg latency, 7.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 3.7 ms avg latency, 7.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 3.7 ms avg latency, 7.0 ms max latency.
5004 records sent, 1000.4 records/sec (0.98 MB/sec), 3.7 ms avg latency, 7.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 3.7 ms avg latency, 10.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 3.7 ms avg latency, 20.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 3.7 ms avg latency, 7.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 3.7 ms avg latency, 7.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 3.7 ms avg latency, 20.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 3.7 ms avg latency, 6.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 3.7 ms avg latency, 8.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 3.7 ms avg latency, 7.0 ms max latency.
5006 records sent, 1000.4 records/sec (0.98 MB/sec), 3.7 ms avg latency, 7.0 ms max latency.
100000 records sent, 999.720078 records/sec (0.98 MB/sec), 3.84 ms avg latency, 483.00 ms max latency, 4 ms 50th, 6 ms 95th, 6 ms 99th, 27 ms 99.9th.
