producer_index=5
producer_count=12
producer_records=8333
producer_throughput=83
[2026-04-24 18:00:04,335] WARN [Producer clientId=perf-producer-client] Bootstrap broker 10.20.1.238:9094 (id: -2 rack: null) disconnected (org.apache.kafka.clients.NetworkClient)
1 records sent, 0.1 records/sec (0.01 MB/sec), 17920.0 ms avg latency, 17920.0 ms max latency.
50 records sent, 9.9 records/sec (0.97 MB/sec), 6786.0 ms avg latency, 8452.0 ms max latency.
90 records sent, 17.8 records/sec (1.73 MB/sec), 9773.1 ms avg latency, 12871.0 ms max latency.
162 records sent, 31.9 records/sec (3.11 MB/sec), 11499.4 ms avg latency, 14193.0 ms max latency.
142 records sent, 27.3 records/sec (2.67 MB/sec), 9142.9 ms avg latency, 11782.0 ms max latency.
151 records sent, 30.1 records/sec (2.94 MB/sec), 8963.3 ms avg latency, 9775.0 ms max latency.
179 records sent, 34.4 records/sec (3.36 MB/sec), 8300.3 ms avg latency, 9869.0 ms max latency.
340 records sent, 67.5 records/sec (6.59 MB/sec), 5432.7 ms avg latency, 8575.0 ms max latency.
417 records sent, 83.1 records/sec (8.12 MB/sec), 2322.7 ms avg latency, 3600.0 ms max latency.
474 records sent, 94.7 records/sec (9.25 MB/sec), 1151.7 ms avg latency, 2378.0 ms max latency.
331 records sent, 65.9 records/sec (6.44 MB/sec), 108.5 ms avg latency, 341.0 ms max latency.
385 records sent, 77.0 records/sec (7.52 MB/sec), 109.1 ms avg latency, 486.0 ms max latency.
206 records sent, 41.1 records/sec (4.01 MB/sec), 102.2 ms avg latency, 325.0 ms max latency.
312 records sent, 61.9 records/sec (6.04 MB/sec), 58.5 ms avg latency, 217.0 ms max latency.
392 records sent, 78.4 records/sec (7.66 MB/sec), 125.9 ms avg latency, 527.0 ms max latency.
381 records sent, 76.1 records/sec (7.43 MB/sec), 184.1 ms avg latency, 760.0 ms max latency.
340 records sent, 67.9 records/sec (6.64 MB/sec), 62.5 ms avg latency, 194.0 ms max latency.
348 records sent, 69.3 records/sec (6.77 MB/sec), 56.3 ms avg latency, 181.0 ms max latency.
407 records sent, 80.6 records/sec (7.87 MB/sec), 115.2 ms avg latency, 575.0 ms max latency.
352 records sent, 70.4 records/sec (6.88 MB/sec), 86.7 ms avg latency, 1082.0 ms max latency.
394 records sent, 77.9 records/sec (7.61 MB/sec), 53.8 ms avg latency, 194.0 ms max latency.
352 records sent, 70.4 records/sec (6.88 MB/sec), 49.8 ms avg latency, 158.0 ms max latency.
397 records sent, 79.2 records/sec (7.73 MB/sec), 47.8 ms avg latency, 183.0 ms max latency.
366 records sent, 73.0 records/sec (7.13 MB/sec), 41.9 ms avg latency, 129.0 ms max latency.
363 records sent, 72.2 records/sec (7.05 MB/sec), 56.9 ms avg latency, 199.0 ms max latency.
411 records sent, 82.2 records/sec (8.03 MB/sec), 42.3 ms avg latency, 144.0 ms max latency.
8333 records sent, 56.046920 records/sec (5.47 MB/sec), 1330.37 ms avg latency, 17920.00 ms max latency, 72 ms 50th, 8932 ms 95th, 11629 ms 99th, 13188 ms 99.9th.
