producer_index=1
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.00 MB/sec), 18359.0 ms avg latency, 18359.0 ms max latency.
83 records sent, 16.5 records/sec (0.16 MB/sec), 7251.7 ms avg latency, 8924.0 ms max latency.
198 records sent, 38.7 records/sec (0.38 MB/sec), 10885.6 ms avg latency, 12384.0 ms max latency.
270 records sent, 53.8 records/sec (0.53 MB/sec), 13685.6 ms avg latency, 15571.0 ms max latency.
549 records sent, 109.8 records/sec (1.07 MB/sec), 16509.8 ms avg latency, 17686.0 ms max latency.
766 records sent, 152.0 records/sec (1.48 MB/sec), 18687.7 ms avg latency, 20114.0 ms max latency.
802 records sent, 159.3 records/sec (1.56 MB/sec), 18238.5 ms avg latency, 20994.0 ms max latency.
935 records sent, 186.9 records/sec (1.83 MB/sec), 12953.9 ms avg latency, 14661.0 ms max latency.
978 records sent, 194.6 records/sec (1.90 MB/sec), 11454.7 ms avg latency, 12304.0 ms max latency.
1001 records sent, 199.4 records/sec (1.95 MB/sec), 10667.3 ms avg latency, 11301.0 ms max latency.
1464 records sent, 292.3 records/sec (2.85 MB/sec), 9388.6 ms avg latency, 10559.0 ms max latency.
8334 records sent, 114.570875 records/sec (1.12 MB/sec), 12072.71 ms avg latency, 20994.00 ms max latency, 11128 ms 50th, 19505 ms 95th, 20364 ms 99th, 20699 ms 99.9th.
