producer_index=9
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 8684.0 ms avg latency, 8684.0 ms max latency.
213 records sent, 42.5 records/sec (4.15 MB/sec), 611.6 ms avg latency, 1458.0 ms max latency.
216 records sent, 43.0 records/sec (4.20 MB/sec), 176.0 ms avg latency, 488.0 ms max latency.
232 records sent, 45.9 records/sec (4.48 MB/sec), 106.3 ms avg latency, 325.0 ms max latency.
281 records sent, 55.9 records/sec (5.46 MB/sec), 64.6 ms avg latency, 250.0 ms max latency.
287 records sent, 57.2 records/sec (5.59 MB/sec), 60.8 ms avg latency, 222.0 ms max latency.
311 records sent, 62.2 records/sec (6.07 MB/sec), 44.9 ms avg latency, 198.0 ms max latency.
357 records sent, 71.0 records/sec (6.93 MB/sec), 53.5 ms avg latency, 264.0 ms max latency.
340 records sent, 66.2 records/sec (6.46 MB/sec), 39.4 ms avg latency, 185.0 ms max latency.
339 records sent, 67.5 records/sec (6.59 MB/sec), 41.4 ms avg latency, 185.0 ms max latency.
282 records sent, 56.2 records/sec (5.49 MB/sec), 36.9 ms avg latency, 152.0 ms max latency.
300 records sent, 60.0 records/sec (5.85 MB/sec), 40.5 ms avg latency, 183.0 ms max latency.
289 records sent, 57.6 records/sec (5.63 MB/sec), 41.6 ms avg latency, 152.0 ms max latency.
310 records sent, 61.8 records/sec (6.04 MB/sec), 49.0 ms avg latency, 194.0 ms max latency.
309 records sent, 61.3 records/sec (5.98 MB/sec), 43.0 ms avg latency, 160.0 ms max latency.
308 records sent, 61.4 records/sec (5.99 MB/sec), 45.4 ms avg latency, 195.0 ms max latency.
293 records sent, 58.5 records/sec (5.72 MB/sec), 51.4 ms avg latency, 233.0 ms max latency.
353 records sent, 70.4 records/sec (6.87 MB/sec), 66.2 ms avg latency, 246.0 ms max latency.
296 records sent, 58.7 records/sec (5.73 MB/sec), 46.7 ms avg latency, 204.0 ms max latency.
304 records sent, 60.8 records/sec (5.94 MB/sec), 56.4 ms avg latency, 322.0 ms max latency.
278 records sent, 55.5 records/sec (5.42 MB/sec), 48.8 ms avg latency, 186.0 ms max latency.
311 records sent, 62.2 records/sec (6.07 MB/sec), 38.3 ms avg latency, 159.0 ms max latency.
332 records sent, 65.9 records/sec (6.44 MB/sec), 41.8 ms avg latency, 206.0 ms max latency.
302 records sent, 59.7 records/sec (5.83 MB/sec), 44.9 ms avg latency, 234.0 ms max latency.
328 records sent, 65.5 records/sec (6.40 MB/sec), 51.5 ms avg latency, 399.0 ms max latency.
314 records sent, 62.6 records/sec (6.11 MB/sec), 38.8 ms avg latency, 212.0 ms max latency.
301 records sent, 59.6 records/sec (5.82 MB/sec), 32.1 ms avg latency, 116.0 ms max latency.
336 records sent, 66.9 records/sec (6.53 MB/sec), 44.5 ms avg latency, 180.0 ms max latency.
8333 records sent, 56.137538 records/sec (5.48 MB/sec), 67.01 ms avg latency, 8684.00 ms max latency, 36 ms 50th, 182 ms 95th, 733 ms 99th, 1337 ms 99.9th.
