producer_index=4
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.01 MB/sec), 4871.0 ms avg latency, 4871.0 ms max latency.
69 records sent, 13.5 records/sec (1.32 MB/sec), 7232.1 ms avg latency, 18064.0 ms max latency.
84 records sent, 16.3 records/sec (1.59 MB/sec), 10188.0 ms avg latency, 12218.0 ms max latency.
138 records sent, 27.5 records/sec (2.68 MB/sec), 12834.6 ms avg latency, 14355.0 ms max latency.
281 records sent, 55.6 records/sec (5.43 MB/sec), 7539.4 ms avg latency, 13076.0 ms max latency.
322 records sent, 64.0 records/sec (6.25 MB/sec), 4173.3 ms avg latency, 4884.0 ms max latency.
336 records sent, 67.1 records/sec (6.55 MB/sec), 3902.7 ms avg latency, 4416.0 ms max latency.
401 records sent, 79.6 records/sec (7.78 MB/sec), 3237.8 ms avg latency, 4070.0 ms max latency.
462 records sent, 91.8 records/sec (8.97 MB/sec), 2121.3 ms avg latency, 3140.0 ms max latency.
429 records sent, 85.8 records/sec (8.38 MB/sec), 526.0 ms avg latency, 1423.0 ms max latency.
348 records sent, 69.6 records/sec (6.80 MB/sec), 82.1 ms avg latency, 253.0 ms max latency.
374 records sent, 74.5 records/sec (7.28 MB/sec), 115.9 ms avg latency, 444.0 ms max latency.
398 records sent, 79.6 records/sec (7.77 MB/sec), 86.7 ms avg latency, 407.0 ms max latency.
376 records sent, 75.0 records/sec (7.32 MB/sec), 70.1 ms avg latency, 325.0 ms max latency.
359 records sent, 71.6 records/sec (6.99 MB/sec), 57.8 ms avg latency, 181.0 ms max latency.
367 records sent, 73.1 records/sec (7.14 MB/sec), 72.0 ms avg latency, 199.0 ms max latency.
380 records sent, 76.0 records/sec (7.42 MB/sec), 61.2 ms avg latency, 249.0 ms max latency.
421 records sent, 83.5 records/sec (8.15 MB/sec), 151.8 ms avg latency, 580.0 ms max latency.
390 records sent, 77.9 records/sec (7.60 MB/sec), 67.6 ms avg latency, 311.0 ms max latency.
430 records sent, 85.8 records/sec (8.38 MB/sec), 144.4 ms avg latency, 758.0 ms max latency.
393 records sent, 78.2 records/sec (7.64 MB/sec), 55.0 ms avg latency, 274.0 ms max latency.
372 records sent, 74.3 records/sec (7.26 MB/sec), 42.1 ms avg latency, 170.0 ms max latency.
390 records sent, 78.0 records/sec (7.62 MB/sec), 42.6 ms avg latency, 146.0 ms max latency.
395 records sent, 78.9 records/sec (7.70 MB/sec), 55.7 ms avg latency, 203.0 ms max latency.
8334 records sent, 60.069194 records/sec (5.87 MB/sec), 1302.88 ms avg latency, 18064.00 ms max latency, 81 ms 50th, 6702 ms 95th, 12644 ms 99th, 13997 ms 99.9th.
