producer_index=7
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 3298.0 ms avg latency, 3298.0 ms max latency.
62 records sent, 12.0 records/sec (1.18 MB/sec), 5574.5 ms avg latency, 16770.0 ms max latency.
150 records sent, 29.9 records/sec (2.92 MB/sec), 7533.5 ms avg latency, 8585.0 ms max latency.
175 records sent, 34.8 records/sec (3.40 MB/sec), 7854.8 ms avg latency, 9048.0 ms max latency.
147 records sent, 29.0 records/sec (2.83 MB/sec), 7633.6 ms avg latency, 8599.0 ms max latency.
162 records sent, 31.6 records/sec (3.09 MB/sec), 8530.1 ms avg latency, 9273.0 ms max latency.
324 records sent, 63.4 records/sec (6.19 MB/sec), 5634.6 ms avg latency, 9443.0 ms max latency.
382 records sent, 75.4 records/sec (7.36 MB/sec), 2340.2 ms avg latency, 3912.0 ms max latency.
345 records sent, 68.9 records/sec (6.73 MB/sec), 234.7 ms avg latency, 1238.0 ms max latency.
316 records sent, 61.2 records/sec (5.97 MB/sec), 75.0 ms avg latency, 250.0 ms max latency.
290 records sent, 57.9 records/sec (5.66 MB/sec), 75.4 ms avg latency, 311.0 ms max latency.
310 records sent, 62.0 records/sec (6.05 MB/sec), 60.8 ms avg latency, 293.0 ms max latency.
293 records sent, 58.1 records/sec (5.68 MB/sec), 79.9 ms avg latency, 314.0 ms max latency.
300 records sent, 59.5 records/sec (5.81 MB/sec), 80.7 ms avg latency, 354.0 ms max latency.
320 records sent, 64.0 records/sec (6.25 MB/sec), 65.3 ms avg latency, 181.0 ms max latency.
349 records sent, 69.7 records/sec (6.81 MB/sec), 48.9 ms avg latency, 178.0 ms max latency.
344 records sent, 68.5 records/sec (6.69 MB/sec), 54.5 ms avg latency, 172.0 ms max latency.
338 records sent, 67.6 records/sec (6.60 MB/sec), 58.5 ms avg latency, 331.0 ms max latency.
329 records sent, 65.8 records/sec (6.42 MB/sec), 54.7 ms avg latency, 195.0 ms max latency.
336 records sent, 67.2 records/sec (6.56 MB/sec), 71.6 ms avg latency, 235.0 ms max latency.
320 records sent, 63.8 records/sec (6.23 MB/sec), 77.1 ms avg latency, 428.0 ms max latency.
335 records sent, 66.2 records/sec (6.47 MB/sec), 47.0 ms avg latency, 142.0 ms max latency.
337 records sent, 67.4 records/sec (6.58 MB/sec), 58.5 ms avg latency, 236.0 ms max latency.
337 records sent, 66.9 records/sec (6.53 MB/sec), 48.3 ms avg latency, 199.0 ms max latency.
340 records sent, 67.7 records/sec (6.62 MB/sec), 61.8 ms avg latency, 352.0 ms max latency.
326 records sent, 65.1 records/sec (6.36 MB/sec), 51.6 ms avg latency, 227.0 ms max latency.
336 records sent, 67.0 records/sec (6.55 MB/sec), 50.3 ms avg latency, 189.0 ms max latency.
330 records sent, 65.9 records/sec (6.44 MB/sec), 42.6 ms avg latency, 173.0 ms max latency.
8333 records sent, 52.615627 records/sec (5.14 MB/sec), 1025.97 ms avg latency, 16770.00 ms max latency, 58 ms 50th, 7783 ms 95th, 8625 ms 99th, 9136 ms 99.9th.
