run_id=plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial2
producer_count=1
----- /var/lib/kafka-client/results/plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial2/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4995 records sent, 999.0 records/sec (0.98 MB/sec), 10.3 ms avg latency, 503.0 ms max latency.
5006 records sent, 1000.4 records/sec (0.98 MB/sec), 4.5 ms avg latency, 9.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.6 ms avg latency, 27.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 4.5 ms avg latency, 16.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 4.5 ms avg latency, 11.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 4.4 ms avg latency, 8.0 ms max latency.
5004 records sent, 1000.4 records/sec (0.98 MB/sec), 4.4 ms avg latency, 8.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 4.4 ms avg latency, 8.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.4 ms avg latency, 15.0 ms max latency.
5006 records sent, 1000.6 records/sec (0.98 MB/sec), 4.4 ms avg latency, 13.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 4.5 ms avg latency, 11.0 ms max latency.
5007 records sent, 1000.4 records/sec (0.98 MB/sec), 4.4 ms avg latency, 8.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 4.3 ms avg latency, 8.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.3 ms avg latency, 9.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 4.4 ms avg latency, 8.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.5 ms avg latency, 27.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 4.4 ms avg latency, 8.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 4.4 ms avg latency, 27.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.4 ms avg latency, 8.0 ms max latency.
100000 records sent, 999.680102 records/sec (0.98 MB/sec), 4.72 ms avg latency, 503.00 ms max latency, 4 ms 50th, 7 ms 95th, 7 ms 99th, 71 ms 99.9th.
