producer_index=6
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.00 MB/sec), 9557.0 ms avg latency, 9557.0 ms max latency.
1212 records sent, 241.2 records/sec (0.24 MB/sec), 729.1 ms avg latency, 1736.0 ms max latency.
421 records sent, 84.0 records/sec (0.08 MB/sec), 40.2 ms avg latency, 137.0 ms max latency.
418 records sent, 83.5 records/sec (0.08 MB/sec), 21.0 ms avg latency, 80.0 ms max latency.
420 records sent, 83.8 records/sec (0.08 MB/sec), 15.7 ms avg latency, 69.0 ms max latency.
411 records sent, 82.1 records/sec (0.08 MB/sec), 16.1 ms avg latency, 91.0 ms max latency.
418 records sent, 83.3 records/sec (0.08 MB/sec), 19.5 ms avg latency, 117.0 ms max latency.
419 records sent, 83.7 records/sec (0.08 MB/sec), 17.7 ms avg latency, 97.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 17.3 ms avg latency, 83.0 ms max latency.
408 records sent, 81.1 records/sec (0.08 MB/sec), 20.3 ms avg latency, 145.0 ms max latency.
427 records sent, 85.2 records/sec (0.08 MB/sec), 17.7 ms avg latency, 132.0 ms max latency.
415 records sent, 82.9 records/sec (0.08 MB/sec), 16.1 ms avg latency, 65.0 ms max latency.
421 records sent, 84.2 records/sec (0.08 MB/sec), 16.4 ms avg latency, 89.0 ms max latency.
415 records sent, 82.9 records/sec (0.08 MB/sec), 16.4 ms avg latency, 128.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 16.9 ms avg latency, 124.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 17.6 ms avg latency, 115.0 ms max latency.
418 records sent, 83.5 records/sec (0.08 MB/sec), 17.3 ms avg latency, 98.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 15.6 ms avg latency, 115.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 13.3 ms avg latency, 87.0 ms max latency.
8333 records sent, 82.942658 records/sec (0.08 MB/sec), 123.00 ms avg latency, 9557.00 ms max latency, 14 ms 50th, 904 ms 95th, 1538 ms 99th, 1624 ms 99.9th.
