producer_index=3
producer_count=6
producer_records=16667
producer_throughput=167
53 records sent, 10.4 records/sec (1.02 MB/sec), 782.8 ms avg latency, 4402.0 ms max latency.
621 records sent, 123.3 records/sec (12.04 MB/sec), 469.8 ms avg latency, 1191.0 ms max latency.
597 records sent, 119.4 records/sec (11.66 MB/sec), 50.0 ms avg latency, 164.0 ms max latency.
789 records sent, 156.5 records/sec (15.28 MB/sec), 35.8 ms avg latency, 225.0 ms max latency.
953 records sent, 190.3 records/sec (18.58 MB/sec), 32.6 ms avg latency, 154.0 ms max latency.
685 records sent, 136.8 records/sec (13.36 MB/sec), 26.9 ms avg latency, 190.0 ms max latency.
713 records sent, 141.8 records/sec (13.85 MB/sec), 30.0 ms avg latency, 217.0 ms max latency.
731 records sent, 146.0 records/sec (14.26 MB/sec), 24.5 ms avg latency, 118.0 ms max latency.
805 records sent, 160.7 records/sec (15.69 MB/sec), 33.0 ms avg latency, 183.0 ms max latency.
662 records sent, 132.4 records/sec (12.93 MB/sec), 25.7 ms avg latency, 88.0 ms max latency.
768 records sent, 153.4 records/sec (14.98 MB/sec), 25.0 ms avg latency, 103.0 ms max latency.
705 records sent, 140.9 records/sec (13.76 MB/sec), 23.1 ms avg latency, 92.0 ms max latency.
749 records sent, 149.6 records/sec (14.61 MB/sec), 21.7 ms avg latency, 79.0 ms max latency.
689 records sent, 137.7 records/sec (13.45 MB/sec), 23.7 ms avg latency, 182.0 ms max latency.
781 records sent, 155.8 records/sec (15.21 MB/sec), 22.6 ms avg latency, 95.0 ms max latency.
536 records sent, 107.2 records/sec (10.47 MB/sec), 861.1 ms avg latency, 2371.0 ms max latency.
902 records sent, 179.9 records/sec (17.56 MB/sec), 433.2 ms avg latency, 2264.0 ms max latency.
732 records sent, 146.0 records/sec (14.25 MB/sec), 23.1 ms avg latency, 98.0 ms max latency.
705 records sent, 140.6 records/sec (13.73 MB/sec), 22.5 ms avg latency, 80.0 ms max latency.
820 records sent, 164.0 records/sec (16.02 MB/sec), 24.7 ms avg latency, 105.0 ms max latency.
735 records sent, 146.9 records/sec (14.34 MB/sec), 20.9 ms avg latency, 93.0 ms max latency.
746 records sent, 149.2 records/sec (14.57 MB/sec), 18.9 ms avg latency, 88.0 ms max latency.
1035 records sent, 206.6 records/sec (20.18 MB/sec), 20.2 ms avg latency, 103.0 ms max latency.
16667 records sent, 143.066834 records/sec (13.97 MB/sec), 94.09 ms avg latency, 4402.00 ms max latency, 20 ms 50th, 552 ms 95th, 1915 ms 99th, 2286 ms 99.9th.
