producer_index=5
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 4953.0 ms avg latency, 4953.0 ms max latency.
73 records sent, 14.4 records/sec (1.40 MB/sec), 6989.8 ms avg latency, 17799.0 ms max latency.
84 records sent, 16.4 records/sec (1.60 MB/sec), 9684.0 ms avg latency, 11892.0 ms max latency.
156 records sent, 31.1 records/sec (3.04 MB/sec), 11904.7 ms avg latency, 14861.0 ms max latency.
144 records sent, 28.3 records/sec (2.77 MB/sec), 9702.7 ms avg latency, 14991.0 ms max latency.
173 records sent, 33.2 records/sec (3.24 MB/sec), 8414.7 ms avg latency, 9834.0 ms max latency.
209 records sent, 41.3 records/sec (4.04 MB/sec), 7583.2 ms avg latency, 9075.0 ms max latency.
413 records sent, 81.6 records/sec (7.97 MB/sec), 3759.5 ms avg latency, 7395.0 ms max latency.
461 records sent, 92.0 records/sec (8.99 MB/sec), 1818.6 ms avg latency, 2967.0 ms max latency.
443 records sent, 87.9 records/sec (8.59 MB/sec), 430.3 ms avg latency, 1291.0 ms max latency.
374 records sent, 74.7 records/sec (7.29 MB/sec), 98.0 ms avg latency, 682.0 ms max latency.
365 records sent, 72.8 records/sec (7.11 MB/sec), 64.5 ms avg latency, 243.0 ms max latency.
360 records sent, 71.8 records/sec (7.01 MB/sec), 44.1 ms avg latency, 150.0 ms max latency.
379 records sent, 75.3 records/sec (7.35 MB/sec), 59.6 ms avg latency, 194.0 ms max latency.
362 records sent, 72.3 records/sec (7.06 MB/sec), 46.7 ms avg latency, 174.0 ms max latency.
372 records sent, 74.2 records/sec (7.25 MB/sec), 55.6 ms avg latency, 212.0 ms max latency.
415 records sent, 82.7 records/sec (8.08 MB/sec), 58.2 ms avg latency, 258.0 ms max latency.
376 records sent, 75.2 records/sec (7.34 MB/sec), 110.2 ms avg latency, 753.0 ms max latency.
407 records sent, 81.3 records/sec (7.94 MB/sec), 54.4 ms avg latency, 373.0 ms max latency.
402 records sent, 80.1 records/sec (7.83 MB/sec), 52.4 ms avg latency, 233.0 ms max latency.
372 records sent, 74.3 records/sec (7.25 MB/sec), 44.0 ms avg latency, 108.0 ms max latency.
418 records sent, 83.3 records/sec (8.14 MB/sec), 55.9 ms avg latency, 287.0 ms max latency.
416 records sent, 83.2 records/sec (8.12 MB/sec), 37.6 ms avg latency, 165.0 ms max latency.
389 records sent, 77.5 records/sec (7.57 MB/sec), 35.0 ms avg latency, 138.0 ms max latency.
519 records sent, 103.6 records/sec (10.12 MB/sec), 27.6 ms avg latency, 86.0 ms max latency.
8333 records sent, 59.456027 records/sec (5.81 MB/sec), 1264.64 ms avg latency, 17799.00 ms max latency, 51 ms 50th, 8618 ms 95th, 11797 ms 99th, 13955 ms 99.9th.
