"run_id","security_mode","baseline_name","sweep_name","sweep_variable","sweep_value","trial_index","trial_count","broker_count","partitions","replication_factor","min_insync_replicas","num_records","record_size_bytes","throughput_limit_records_per_sec","producer_count","consumer_count","batch_size","linger_ms","acks","compression_type","records_sent","throughput_records_per_sec","throughput_mb_per_sec","avg_latency_ms","max_latency_ms"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-complz4-trial3","3","3","5","6","3","3","100000","1024","1000","6","1","131072","5","1","lz4","100000","999.78285","0.96","11.996646299999998","3496.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial1","1","3","5","6","3","3","100000","1024","1000","6","1","131072","5","1","none","100000","999.704325","0.96","11.644983400000001","3610.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial2","2","3","5","6","3","3","100000","1024","1000","6","1","131072","5","1","none","100000","999.479088","0.96","12.1433586","3405.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acks1-prod6-compnone-trial3","3","3","5","6","3","3","100000","1024","1000","6","1","131072","5","1","none","100000","999.634776","0.96","12.8833375","3735.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial1","1","3","5","6","3","3","100000","1024","1000","1","1","131072","5","all","lz4","100000","999.770053","0.98","5.11","514.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial2","2","3","5","6","3","3","100000","1024","1000","1","1","131072","5","all","lz4","100000","999.760058","0.98","4.98","522.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-complz4-trial3","3","3","5","6","3","3","100000","1024","1000","1","1","131072","5","all","lz4","100000","999.720078","0.98","5.09","541.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial1","1","3","5","6","3","3","100000","1024","1000","1","1","131072","5","all","none","100000","999.780048","0.98","5.02","507.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial2","2","3","5","6","3","3","100000","1024","1000","1","1","131072","5","all","none","100000","999.770053","0.98","4.9","519.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod1-compnone-trial3","3","3","5","6","3","3","100000","1024","1000","1","1","131072","5","all","none","100000","999.780048","0.98","5.06","520.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-complz4-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-complz4-trial1","1","3","5","6","3","3","100000","1024","1000","6","1","131072","5","all","lz4","100000","999.567244","0.96","13.410020300000001","3674.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial1","1","3","5","6","3","3","100000","1024","1000","6","1","131072","5","all","none","100000","999.475398","0.96","12.680020499999998","3462.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial2","2","3","5","6","3","3","100000","1024","1000","6","1","131072","5","all","none","100000","999.595699","0.96","12.236668799999999","3370.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch131072-acksall-prod6-compnone-trial3","3","3","5","6","3","3","100000","1024","1000","6","1","131072","5","all","none","100000","999.68148","0.96","13.438361600000002","3474.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial1","1","3","5","6","3","3","100000","1024","1000","1","1","16384","5","1","lz4","100000","999.690096","0.98","4.07","509.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial2","2","3","5","6","3","3","100000","1024","1000","1","1","16384","5","1","lz4","100000","999.660116","0.98","4.05","501.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial3","3","3","5","6","3","3","100000","1024","1000","1","1","16384","5","1","lz4","100000","999.730073","0.98","4.11","537.0"
