producer_index=2
producer_count=12
producer_records=8334
producer_throughput=84
1 records sent, 0.1 records/sec (0.01 MB/sec), 9453.0 ms avg latency, 9453.0 ms max latency.
226 records sent, 45.1 records/sec (4.41 MB/sec), 932.4 ms avg latency, 2056.0 ms max latency.
196 records sent, 39.0 records/sec (3.81 MB/sec), 135.9 ms avg latency, 306.0 ms max latency.
206 records sent, 41.1 records/sec (4.02 MB/sec), 107.3 ms avg latency, 311.0 ms max latency.
233 records sent, 46.4 records/sec (4.53 MB/sec), 67.7 ms avg latency, 224.0 ms max latency.
277 records sent, 54.9 records/sec (5.36 MB/sec), 72.5 ms avg latency, 280.0 ms max latency.
318 records sent, 63.6 records/sec (6.21 MB/sec), 54.2 ms avg latency, 308.0 ms max latency.
362 records sent, 72.2 records/sec (7.05 MB/sec), 36.0 ms avg latency, 145.0 ms max latency.
329 records sent, 65.6 records/sec (6.41 MB/sec), 42.7 ms avg latency, 239.0 ms max latency.
331 records sent, 65.9 records/sec (6.44 MB/sec), 40.0 ms avg latency, 163.0 ms max latency.
297 records sent, 58.6 records/sec (5.73 MB/sec), 44.9 ms avg latency, 182.0 ms max latency.
323 records sent, 64.2 records/sec (6.27 MB/sec), 60.5 ms avg latency, 209.0 ms max latency.
284 records sent, 56.6 records/sec (5.52 MB/sec), 49.9 ms avg latency, 177.0 ms max latency.
285 records sent, 56.9 records/sec (5.56 MB/sec), 39.7 ms avg latency, 185.0 ms max latency.
297 records sent, 59.1 records/sec (5.77 MB/sec), 37.5 ms avg latency, 142.0 ms max latency.
286 records sent, 57.2 records/sec (5.58 MB/sec), 38.5 ms avg latency, 160.0 ms max latency.
309 records sent, 61.4 records/sec (6.00 MB/sec), 42.9 ms avg latency, 249.0 ms max latency.
281 records sent, 56.0 records/sec (5.47 MB/sec), 35.4 ms avg latency, 128.0 ms max latency.
286 records sent, 56.9 records/sec (5.56 MB/sec), 42.4 ms avg latency, 182.0 ms max latency.
268 records sent, 53.6 records/sec (5.23 MB/sec), 49.3 ms avg latency, 184.0 ms max latency.
293 records sent, 58.0 records/sec (5.66 MB/sec), 49.3 ms avg latency, 263.0 ms max latency.
307 records sent, 60.8 records/sec (5.94 MB/sec), 48.1 ms avg latency, 354.0 ms max latency.
314 records sent, 62.5 records/sec (6.10 MB/sec), 40.3 ms avg latency, 176.0 ms max latency.
307 records sent, 61.2 records/sec (5.98 MB/sec), 43.3 ms avg latency, 212.0 ms max latency.
280 records sent, 55.9 records/sec (5.46 MB/sec), 42.4 ms avg latency, 205.0 ms max latency.
297 records sent, 59.2 records/sec (5.79 MB/sec), 40.4 ms avg latency, 181.0 ms max latency.
303 records sent, 60.6 records/sec (5.91 MB/sec), 37.8 ms avg latency, 128.0 ms max latency.
299 records sent, 59.3 records/sec (5.79 MB/sec), 37.7 ms avg latency, 147.0 ms max latency.
325 records sent, 64.8 records/sec (6.33 MB/sec), 28.7 ms avg latency, 136.0 ms max latency.
8334 records sent, 54.531892 records/sec (5.33 MB/sec), 72.76 ms avg latency, 9453.00 ms max latency, 34 ms 50th, 168 ms 95th, 1109 ms 99th, 1784 ms 99.9th.
