producer_index=4
producer_count=6
producer_records=16667
producer_throughput=167
47 records sent, 9.3 records/sec (0.90 MB/sec), 737.5 ms avg latency, 4068.0 ms max latency.
493 records sent, 98.1 records/sec (9.58 MB/sec), 167.2 ms avg latency, 1031.0 ms max latency.
566 records sent, 113.1 records/sec (11.04 MB/sec), 39.4 ms avg latency, 129.0 ms max latency.
685 records sent, 136.8 records/sec (13.36 MB/sec), 30.1 ms avg latency, 144.0 ms max latency.
640 records sent, 127.9 records/sec (12.49 MB/sec), 27.2 ms avg latency, 110.0 ms max latency.
649 records sent, 129.6 records/sec (12.65 MB/sec), 25.6 ms avg latency, 118.0 ms max latency.
600 records sent, 119.8 records/sec (11.70 MB/sec), 26.4 ms avg latency, 102.0 ms max latency.
652 records sent, 130.2 records/sec (12.71 MB/sec), 28.7 ms avg latency, 118.0 ms max latency.
566 records sent, 113.2 records/sec (11.05 MB/sec), 24.3 ms avg latency, 95.0 ms max latency.
529 records sent, 105.5 records/sec (10.31 MB/sec), 24.6 ms avg latency, 95.0 ms max latency.
637 records sent, 127.0 records/sec (12.40 MB/sec), 24.1 ms avg latency, 88.0 ms max latency.
662 records sent, 131.2 records/sec (12.82 MB/sec), 24.3 ms avg latency, 93.0 ms max latency.
633 records sent, 125.1 records/sec (12.22 MB/sec), 22.6 ms avg latency, 122.0 ms max latency.
631 records sent, 125.9 records/sec (12.30 MB/sec), 22.5 ms avg latency, 125.0 ms max latency.
645 records sent, 129.0 records/sec (12.60 MB/sec), 21.5 ms avg latency, 129.0 ms max latency.
595 records sent, 119.0 records/sec (11.62 MB/sec), 21.2 ms avg latency, 130.0 ms max latency.
611 records sent, 122.1 records/sec (11.92 MB/sec), 24.7 ms avg latency, 164.0 ms max latency.
522 records sent, 104.4 records/sec (10.19 MB/sec), 23.4 ms avg latency, 138.0 ms max latency.
326 records sent, 65.0 records/sec (6.35 MB/sec), 38.4 ms avg latency, 186.0 ms max latency.
371 records sent, 73.8 records/sec (7.21 MB/sec), 36.3 ms avg latency, 154.0 ms max latency.
418 records sent, 83.2 records/sec (8.13 MB/sec), 26.4 ms avg latency, 112.0 ms max latency.
409 records sent, 81.7 records/sec (7.98 MB/sec), 29.5 ms avg latency, 239.0 ms max latency.
367 records sent, 73.4 records/sec (7.17 MB/sec), 29.5 ms avg latency, 183.0 ms max latency.
514 records sent, 102.8 records/sec (10.04 MB/sec), 25.0 ms avg latency, 271.0 ms max latency.
767 records sent, 153.2 records/sec (14.96 MB/sec), 30.6 ms avg latency, 207.0 ms max latency.
862 records sent, 172.3 records/sec (16.83 MB/sec), 17.5 ms avg latency, 94.0 ms max latency.
805 records sent, 160.8 records/sec (15.70 MB/sec), 16.9 ms avg latency, 81.0 ms max latency.
751 records sent, 150.1 records/sec (14.66 MB/sec), 14.9 ms avg latency, 93.0 ms max latency.
16667 records sent, 115.283523 records/sec (11.26 MB/sec), 30.91 ms avg latency, 4068.00 ms max latency, 18 ms 50th, 78 ms 95th, 186 ms 99th, 817 ms 99.9th.
