producer_index=4
producer_count=6
producer_records=16667
producer_throughput=167
1 records sent, 0.1 records/sec (0.01 MB/sec), 9800.0 ms avg latency, 9800.0 ms max latency.
134 records sent, 26.8 records/sec (2.62 MB/sec), 4869.1 ms avg latency, 5918.0 ms max latency.
322 records sent, 64.4 records/sec (6.29 MB/sec), 5487.5 ms avg latency, 6307.0 ms max latency.
398 records sent, 79.3 records/sec (7.74 MB/sec), 5003.1 ms avg latency, 5879.0 ms max latency.
760 records sent, 150.7 records/sec (14.71 MB/sec), 1460.8 ms avg latency, 4069.0 ms max latency.
520 records sent, 103.6 records/sec (10.12 MB/sec), 51.6 ms avg latency, 167.0 ms max latency.
599 records sent, 119.5 records/sec (11.67 MB/sec), 42.6 ms avg latency, 200.0 ms max latency.
589 records sent, 117.5 records/sec (11.47 MB/sec), 37.9 ms avg latency, 159.0 ms max latency.
563 records sent, 112.5 records/sec (10.99 MB/sec), 34.0 ms avg latency, 197.0 ms max latency.
621 records sent, 122.8 records/sec (12.00 MB/sec), 30.5 ms avg latency, 110.0 ms max latency.
631 records sent, 125.8 records/sec (12.29 MB/sec), 31.4 ms avg latency, 135.0 ms max latency.
668 records sent, 133.4 records/sec (13.03 MB/sec), 28.4 ms avg latency, 165.0 ms max latency.
606 records sent, 120.9 records/sec (11.81 MB/sec), 30.5 ms avg latency, 142.0 ms max latency.
611 records sent, 122.1 records/sec (11.93 MB/sec), 25.3 ms avg latency, 89.0 ms max latency.
623 records sent, 124.6 records/sec (12.16 MB/sec), 29.2 ms avg latency, 134.0 ms max latency.
678 records sent, 135.2 records/sec (13.21 MB/sec), 23.5 ms avg latency, 110.0 ms max latency.
657 records sent, 130.6 records/sec (12.76 MB/sec), 29.9 ms avg latency, 190.0 ms max latency.
700 records sent, 140.0 records/sec (13.67 MB/sec), 19.7 ms avg latency, 105.0 ms max latency.
681 records sent, 136.2 records/sec (13.30 MB/sec), 24.8 ms avg latency, 111.0 ms max latency.
624 records sent, 124.5 records/sec (12.16 MB/sec), 38.3 ms avg latency, 265.0 ms max latency.
725 records sent, 144.7 records/sec (14.13 MB/sec), 34.8 ms avg latency, 321.0 ms max latency.
671 records sent, 134.2 records/sec (13.10 MB/sec), 21.2 ms avg latency, 97.0 ms max latency.
695 records sent, 138.9 records/sec (13.56 MB/sec), 22.9 ms avg latency, 87.0 ms max latency.
674 records sent, 134.5 records/sec (13.14 MB/sec), 21.3 ms avg latency, 120.0 ms max latency.
758 records sent, 151.4 records/sec (14.79 MB/sec), 28.0 ms avg latency, 222.0 ms max latency.
896 records sent, 179.0 records/sec (17.48 MB/sec), 21.0 ms avg latency, 94.0 ms max latency.
859 records sent, 171.5 records/sec (16.75 MB/sec), 20.8 ms avg latency, 107.0 ms max latency.
16667 records sent, 116.636458 records/sec (11.39 MB/sec), 357.62 ms avg latency, 9800.00 ms max latency, 23 ms 50th, 3921 ms 95th, 5578 ms 99th, 6084 ms 99.9th.
