producer_index=1
producer_count=1
producer_records=100000
producer_throughput=10000
1836 records sent, 367.1 records/sec (35.85 MB/sec), 284.2 ms avg latency, 1355.0 ms max latency.
4001 records sent, 800.0 records/sec (78.13 MB/sec), 6.7 ms avg latency, 32.0 ms max latency.
4170 records sent, 833.8 records/sec (81.43 MB/sec), 6.0 ms avg latency, 49.0 ms max latency.
4645 records sent, 929.0 records/sec (90.72 MB/sec), 6.0 ms avg latency, 58.0 ms max latency.
5951 records sent, 1190.2 records/sec (116.23 MB/sec), 9.1 ms avg latency, 100.0 ms max latency.
6279 records sent, 1255.8 records/sec (122.64 MB/sec), 8.3 ms avg latency, 70.0 ms max latency.
6220 records sent, 1243.0 records/sec (121.39 MB/sec), 8.4 ms avg latency, 87.0 ms max latency.
6270 records sent, 1254.0 records/sec (122.46 MB/sec), 7.6 ms avg latency, 86.0 ms max latency.
6169 records sent, 1233.3 records/sec (120.44 MB/sec), 7.8 ms avg latency, 85.0 ms max latency.
6208 records sent, 1241.6 records/sec (121.25 MB/sec), 8.4 ms avg latency, 92.0 ms max latency.
5939 records sent, 1187.8 records/sec (116.00 MB/sec), 7.7 ms avg latency, 100.0 ms max latency.
6208 records sent, 1241.6 records/sec (121.25 MB/sec), 14.3 ms avg latency, 236.0 ms max latency.
6301 records sent, 1259.7 records/sec (123.02 MB/sec), 8.9 ms avg latency, 119.0 ms max latency.
6252 records sent, 1250.4 records/sec (122.11 MB/sec), 8.2 ms avg latency, 76.0 ms max latency.
6253 records sent, 1250.6 records/sec (122.13 MB/sec), 8.4 ms avg latency, 98.0 ms max latency.
6255 records sent, 1251.0 records/sec (122.17 MB/sec), 8.5 ms avg latency, 104.0 ms max latency.
6324 records sent, 1264.8 records/sec (123.52 MB/sec), 9.2 ms avg latency, 116.0 ms max latency.
100000 records sent, 1125.353080 records/sec (109.90 MB/sec), 13.51 ms avg latency, 1355.00 ms max latency, 5 ms 50th, 29 ms 95th, 104 ms 99th, 938 ms 99.9th.
