producer_index=8
producer_count=12
producer_records=8333
producer_throughput=83
[2026-05-03 10:33:10,745] WARN [Producer clientId=perf-producer-client] Bootstrap broker 10.20.1.238:9094 (id: -2 rack: null) disconnected (org.apache.kafka.clients.NetworkClient)
1 records sent, 0.0 records/sec (0.00 MB/sec), 6114.0 ms avg latency, 6114.0 ms max latency.
76 records sent, 15.2 records/sec (1.48 MB/sec), 6781.8 ms avg latency, 20477.0 ms max latency.
90 records sent, 18.0 records/sec (1.76 MB/sec), 7653.1 ms avg latency, 9977.0 ms max latency.
162 records sent, 31.8 records/sec (3.10 MB/sec), 10869.6 ms avg latency, 12296.0 ms max latency.
160 records sent, 31.4 records/sec (3.07 MB/sec), 9019.8 ms avg latency, 11234.0 ms max latency.
162 records sent, 32.3 records/sec (3.16 MB/sec), 8079.9 ms avg latency, 8807.0 ms max latency.
186 records sent, 37.1 records/sec (3.62 MB/sec), 7955.5 ms avg latency, 8841.0 ms max latency.
426 records sent, 84.1 records/sec (8.21 MB/sec), 4042.3 ms avg latency, 8005.0 ms max latency.
517 records sent, 102.4 records/sec (10.00 MB/sec), 1528.3 ms avg latency, 2690.0 ms max latency.
408 records sent, 81.0 records/sec (7.91 MB/sec), 110.7 ms avg latency, 446.0 ms max latency.
362 records sent, 72.0 records/sec (7.04 MB/sec), 52.0 ms avg latency, 180.0 ms max latency.
380 records sent, 74.3 records/sec (7.25 MB/sec), 49.0 ms avg latency, 177.0 ms max latency.
403 records sent, 80.6 records/sec (7.87 MB/sec), 56.0 ms avg latency, 189.0 ms max latency.
380 records sent, 75.7 records/sec (7.39 MB/sec), 73.1 ms avg latency, 267.0 ms max latency.
409 records sent, 81.0 records/sec (7.91 MB/sec), 60.3 ms avg latency, 151.0 ms max latency.
402 records sent, 80.0 records/sec (7.81 MB/sec), 50.9 ms avg latency, 171.0 ms max latency.
387 records sent, 76.7 records/sec (7.49 MB/sec), 53.9 ms avg latency, 254.0 ms max latency.
414 records sent, 82.8 records/sec (8.08 MB/sec), 40.4 ms avg latency, 200.0 ms max latency.
403 records sent, 80.6 records/sec (7.87 MB/sec), 53.7 ms avg latency, 201.0 ms max latency.
418 records sent, 83.4 records/sec (8.14 MB/sec), 42.0 ms avg latency, 138.0 ms max latency.
407 records sent, 81.1 records/sec (7.92 MB/sec), 45.9 ms avg latency, 147.0 ms max latency.
398 records sent, 79.4 records/sec (7.76 MB/sec), 43.6 ms avg latency, 210.0 ms max latency.
407 records sent, 80.5 records/sec (7.86 MB/sec), 33.5 ms avg latency, 126.0 ms max latency.
647 records sent, 129.2 records/sec (12.61 MB/sec), 20.7 ms avg latency, 67.0 ms max latency.
8333 records sent, 60.477404 records/sec (5.91 MB/sec), 1204.48 ms avg latency, 20477.00 ms max latency, 49 ms 50th, 8279 ms 95th, 10830 ms 99th, 11967 ms 99.9th.
