producer_index=11
producer_count=12
producer_records=8333
producer_throughput=833
1 records sent, 0.1 records/sec (0.01 MB/sec), 17822.0 ms avg latency, 17822.0 ms max latency.
48 records sent, 9.0 records/sec (0.88 MB/sec), 7398.0 ms avg latency, 9020.0 ms max latency.
96 records sent, 18.4 records/sec (1.79 MB/sec), 10144.0 ms avg latency, 12705.0 ms max latency.
151 records sent, 30.0 records/sec (2.93 MB/sec), 12434.8 ms avg latency, 14284.0 ms max latency.
195 records sent, 37.9 records/sec (3.70 MB/sec), 8828.4 ms avg latency, 12316.0 ms max latency.
318 records sent, 63.0 records/sec (6.15 MB/sec), 5077.2 ms avg latency, 7637.0 ms max latency.
390 records sent, 77.3 records/sec (7.55 MB/sec), 3441.4 ms avg latency, 4305.0 ms max latency.
437 records sent, 86.5 records/sec (8.45 MB/sec), 2602.5 ms avg latency, 3499.0 ms max latency.
457 records sent, 90.9 records/sec (8.88 MB/sec), 1034.7 ms avg latency, 2287.0 ms max latency.
311 records sent, 62.2 records/sec (6.07 MB/sec), 64.7 ms avg latency, 173.0 ms max latency.
347 records sent, 69.3 records/sec (6.77 MB/sec), 125.9 ms avg latency, 371.0 ms max latency.
384 records sent, 76.5 records/sec (7.47 MB/sec), 106.3 ms avg latency, 367.0 ms max latency.
371 records sent, 74.1 records/sec (7.24 MB/sec), 85.6 ms avg latency, 310.0 ms max latency.
366 records sent, 73.0 records/sec (7.13 MB/sec), 86.2 ms avg latency, 274.0 ms max latency.
346 records sent, 69.0 records/sec (6.73 MB/sec), 94.4 ms avg latency, 327.0 ms max latency.
352 records sent, 70.2 records/sec (6.85 MB/sec), 60.9 ms avg latency, 248.0 ms max latency.
367 records sent, 73.3 records/sec (7.16 MB/sec), 57.9 ms avg latency, 193.0 ms max latency.
363 records sent, 72.0 records/sec (7.03 MB/sec), 53.5 ms avg latency, 184.0 ms max latency.
399 records sent, 79.5 records/sec (7.76 MB/sec), 137.7 ms avg latency, 1121.0 ms max latency.
378 records sent, 74.4 records/sec (7.27 MB/sec), 58.3 ms avg latency, 210.0 ms max latency.
384 records sent, 76.7 records/sec (7.49 MB/sec), 63.6 ms avg latency, 257.0 ms max latency.
378 records sent, 75.6 records/sec (7.38 MB/sec), 55.2 ms avg latency, 219.0 ms max latency.
388 records sent, 77.2 records/sec (7.54 MB/sec), 44.7 ms avg latency, 149.0 ms max latency.
384 records sent, 76.8 records/sec (7.50 MB/sec), 44.7 ms avg latency, 148.0 ms max latency.
369 records sent, 73.7 records/sec (7.20 MB/sec), 53.2 ms avg latency, 205.0 ms max latency.
8333 records sent, 57.760156 records/sec (5.64 MB/sec), 1196.13 ms avg latency, 17822.00 ms max latency, 73 ms 50th, 7714 ms 95th, 12426 ms 99th, 13850 ms 99.9th.
