producer_index=6
producer_count=12
producer_records=8333
producer_throughput=83
1 records sent, 0.1 records/sec (0.00 MB/sec), 6895.0 ms avg latency, 6895.0 ms max latency.
999 records sent, 199.0 records/sec (0.19 MB/sec), 374.2 ms avg latency, 816.0 ms max latency.
419 records sent, 83.8 records/sec (0.08 MB/sec), 15.7 ms avg latency, 57.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 9.6 ms avg latency, 35.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 11.5 ms avg latency, 18.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 10.8 ms avg latency, 23.0 ms max latency.
417 records sent, 83.3 records/sec (0.08 MB/sec), 10.5 ms avg latency, 19.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 10.1 ms avg latency, 15.0 ms max latency.
416 records sent, 83.2 records/sec (0.08 MB/sec), 10.2 ms avg latency, 19.0 ms max latency.
416 records sent, 83.2 records/sec (0.08 MB/sec), 9.9 ms avg latency, 15.0 ms max latency.
415 records sent, 82.9 records/sec (0.08 MB/sec), 9.8 ms avg latency, 17.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 9.7 ms avg latency, 19.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 9.1 ms avg latency, 15.0 ms max latency.
417 records sent, 83.1 records/sec (0.08 MB/sec), 8.7 ms avg latency, 15.0 ms max latency.
416 records sent, 83.2 records/sec (0.08 MB/sec), 7.2 ms avg latency, 12.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 6.9 ms avg latency, 15.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 7.0 ms avg latency, 21.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 6.7 ms avg latency, 12.0 ms max latency.
417 records sent, 83.3 records/sec (0.08 MB/sec), 6.1 ms avg latency, 12.0 ms max latency.
8333 records sent, 82.903049 records/sec (0.08 MB/sec), 53.85 ms avg latency, 6895.00 ms max latency, 9 ms 50th, 500 ms 95th, 767 ms 99th, 815 ms 99.9th.
