4997 records sent, 999.0 records/sec (0.98 MB/sec), 9.3 ms avg latency, 502.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 5.1 ms avg latency, 13.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 5.0 ms avg latency, 13.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 5.1 ms avg latency, 25.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 5.0 ms avg latency, 12.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 5.0 ms avg latency, 11.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 5.1 ms avg latency, 25.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 5.0 ms avg latency, 11.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 4.9 ms avg latency, 26.0 ms max latency.
5008 records sent, 1000.6 records/sec (0.98 MB/sec), 5.0 ms avg latency, 19.0 ms max latency.
5007 records sent, 1000.2 records/sec (0.98 MB/sec), 5.0 ms avg latency, 22.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 5.0 ms avg latency, 15.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 5.0 ms avg latency, 18.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.9 ms avg latency, 12.0 ms max latency.
5007 records sent, 1000.0 records/sec (0.98 MB/sec), 4.9 ms avg latency, 15.0 ms max latency.
5006 records sent, 1000.4 records/sec (0.98 MB/sec), 5.1 ms avg latency, 36.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 5.0 ms avg latency, 18.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 5.1 ms avg latency, 29.0 ms max latency.
5004 records sent, 1000.4 records/sec (0.98 MB/sec), 5.1 ms avg latency, 18.0 ms max latency.
100000 records sent, 999.720078 records/sec (0.98 MB/sec), 5.23 ms avg latency, 502.00 ms max latency, 5 ms 50th, 8 ms 95th, 11 ms 99th, 56 ms 99.9th.
