benchmark_type,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,mean_ci_low_pct,mean_ci_high_pct,median_ci_low_pct,median_ci_high_pct
producer,tls,throughput_records_per_sec,Throughput records/s,1728,10.832936573147352,3.7739674717524894,10.168463416149097,11.492673705392345,1.2397859666686009,6.111592021031157
producer,tls,avg_latency_ms,Average latency ms,1728,952.2333067529336,530.3040736788205,901.3655506788434,1004.0364193387578,487.9174110617378,571.04117446411
producer,tls,max_latency_ms,Maximum latency ms,1728,79.30084701129898,79.36203918857996,77.88802031154808,80.68977840563964,77.72025984571661,81.05614228814466
producer,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1727,2.4944346811448974,0.6064738856986687,-0.797299750554818,8.418294544811614,0.4778929550633053,0.8142796002961608
producer,tls,broker_cpu_percent_mean,Broker CPU mean %,1725,-17.06238484935136,-21.05906626711051,-18.40078041145902,-15.74981589442889,-23.010974522661716,-19.064807558684407
producer,mtls,throughput_records_per_sec,Throughput records/s,1728,9.566265273487966,0.1194148688938085,8.900963005259708,10.231551438145157,0.05648716243721095,0.8576103019682296
producer,mtls,avg_latency_ms,Average latency ms,1728,957.8142289136999,576.3060168103005,905.5540208675227,1010.0437931862368,540.5825449738211,619.1764011045829
producer,mtls,max_latency_ms,Maximum latency ms,1728,91.79742033500463,88.03234047907566,90.08527965503045,93.44656302774126,87.1272574548509,89.5393994008491
producer,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1727,-0.5472603047901541,-0.074999473713938,-3.938012494481622,5.314840637228414,-0.1998065951161735,0.06846074452046294
producer,mtls,broker_cpu_percent_mean,Broker CPU mean %,1726,-27.417441821229062,-31.872414065214663,-28.87263580615935,-26.03588574319175,-34.32617917803699,-28.299452784114052
