trial_index,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
1,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,8,-24.541870716769825,-25.18479580598651,11.821819695555575,-36.906232419103375,-36.11331513767785,-13.610342238145863,-11.040195456092029
1,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,8,28.07941168114348,35.5155184653015,34.57457818622524,-26.732040076742695,-4.069286927524207,53.16704459561602,81.32619684805233
1,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,8,-18.04742015082112,-21.87395303740498,6.17375754031296,-23.848700429668245,-22.495836630305455,-12.623839344972524,-8.51217034520019
1,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,8,1.2880315382931202,1.2901338312742232,0.5622334032705276,0.6686920652064623,0.740070561926231,1.8266066210079408,1.914512942365452
1,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,8,2.1454862889785344,2.1206020146115327,1.64201064246831,0.4765044518073944,0.5107186625792195,3.7945388501896344,3.8233457159882285
1,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,8,-24.085071850654174,-22.355049304519113,21.69931337216657,-58.99002894821486,-40.40721177609064,-8.174740492463036,10.27790295929097
1,mtls,broker_cpu_percent_mean,Broker CPU mean %,8,-46.96591458203129,-45.77798734931965,22.11534140448632,-76.12711026937615,-66.47623535573223,-25.951505352181748,-22.564478842388702
1,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,6,-47.81219116241695,-38.56444872710913,39.825092224348275,-100.0,-85.25931195033627,-20.141738415320084,5.080851815852258
1,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,8,2.1141684530901124,0.48669054547803814,2.706217628436705,-0.23837676810524788,0.03860193031899442,4.250102551530769,7.5033043341026895
1,mtls,broker_memory_used_percent_mean,Broker memory %,8,26.679816523709857,27.5373986072173,18.418964597829696,4.0515523125867094,7.931310519912028,39.699290594859,57.80100536248634
1,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,8,1.713669530773731,1.7004838670309836,1.090558066304058,0.6105567490204213,0.6271625983431023,2.7933222928721912,2.847629919046549
1,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,8,1.5836381266376254,1.5620012365167395,0.8115615042490827,0.7500607306950228,0.7801329897684108,2.3660052088416395,2.4905021735713166
1,mtls,data_consumed_mb,Data consumed MB,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mtls,fetch_time_ms,Consumer fetch time ms,8,65.59860246790433,31.545109611366755,63.795665948210626,15.091961852861036,19.65550483300562,88.72125251391876,204.50680272108843
1,mtls,rebalance_time_ms,Consumer rebalance time ms,8,52.09357835068142,47.56349504464157,11.173238965484874,39.7677793904209,42.90238336713996,60.77645845387538,73.0
1,mtls,records_consumed,records consumed,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mtls,throughput_mb_per_sec,Throughput MB/s,8,30.9880731022057,25.55145957712724,16.25700642930929,13.538016554355526,16.931643263292905,42.10108903622484,59.72239910700239
1,mtls,throughput_records_per_sec,Throughput records/s,8,30.988094011396697,25.55141756050012,16.257044343211657,13.538011894475858,16.93163953063282,42.101186610270425,59.72252815295567
