min_insync_replicas,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
3,mtls,avg_latency_ms,Average latency ms,1296,990.2924523385365,594.446957973035,1169.1447440699471,-21.76277763894809,167.5054805488773,1417.897433260789,8222.997076813586
3,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1295,1.2608672923931998,-0.013308978674928206,132.5458707234839,-95.7119233944934,-4.472417564706056,2.639067459558233,4714.106222806124
3,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,19,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
3,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1295,19.94130426519928,8.025078369905957,71.64678797391359,-95.55626662400256,-10.701598991507431,35.47658870261526,1057.1449067431852
3,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1295,2.7960681429154572,2.0549231674217476,16.730535554806938,-76.83337859139063,-8.24076182489683,12.951640916157213,302.51390474285813
3,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1295,36.055874975627276,28.067961091891124,40.01568071014554,-18.749982783902627,19.512290649674338,39.10414157036982,275.1632390852506
3,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1295,2.4532171458598153,0.6158880947785621,4.752697126169817,-20.566594373433677,0.449229381091946,2.0521051054617487,100.90321716795249
3,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,1294,-8.491737031848464,-8.60245779921631,21.374419683322873,-70.40121546339542,-25.196717919679415,5.273169421576965,72.72947836635663
3,mtls,broker_cpu_percent_mean,Broker CPU mean %,1294,-27.117468258826428,-31.340226529513785,32.10420087010652,-86.07757884822443,-51.206758325705685,-7.82937378444135,63.660934247781654
3,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,525,18252.854547358223,-30.809529749282778,408814.3601715426,-100.0,-62.78713629402757,-1.6853209828894777,9374500.0
3,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,525,18252.854547358223,-30.809529749282778,408814.3601715426,-100.0,-62.78713629402757,-1.685320982889489,9374500.0
3,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,1294,4.41614261427278,0.323982928155066,31.771412589755503,-80.74083022514836,-3.3573238963701937,5.097541226635586,297.19367826452736
3,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,1294,4.536636099054836,0.3239829281550691,32.06371693345556,-80.74083022514836,-3.3573238963701857,5.14322208276833,297.19367826452736
3,mtls,broker_memory_used_percent_mean,Broker memory %,1294,-1.0230306450855933,-0.3122379720681351,3.9267480548687677,-46.19869961847966,-3.101976553544215,1.2159122674432172,5.031157533392004
3,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1294,1.871056514428222,0.6635456400208776,3.7972327975065947,-18.456986148750342,0.6092394106424369,1.5644706089156162,101.64008590671949
3,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1294,1.9876818443744877,0.663800031327243,5.631274168143989,-18.45698614875034,0.6092795881944797,1.565645365650046,151.52196158411314
3,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1294,2.0446358267863927,0.8519881011615692,3.9951902656936364,-19.049349994277993,0.7706022791283889,1.5921245669950461,102.0298416613603
3,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1294,2.138473519992408,0.8522109660590511,4.836140113415393,-18.435208167145294,0.7706935981721614,1.5945830319530918,102.37662501430502
3,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,1296,1025.1749490693123,315.6399608320255,1726.321060572351,-58.78039603271405,92.64217379047179,1250.8516047517414,11277.394136807818
3,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,1296,789.2598406374286,172.09615976926716,1221.874181495441,-82.16071658411711,85.91291708596283,990.9431309308825,10788.682018618325
3,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,1296,216.05304873061704,108.99973938258573,276.1454740631734,-71.89466523045523,72.47863651177387,254.17490919058403,3041.7113402061814
3,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,1296,94.18492140320919,91.25235787604322,35.873533589299946,-72.18178509689747,78.23303257695052,107.29964564361525,268.7476013816044
3,mtls,max_latency_ms,Maximum latency ms,1296,94.10313549961575,88.49492973201025,37.802100124745024,-72.24409448818898,75.57811146462184,108.17945469754568,249.7730711043873
3,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,1296,945.1035491993605,568.4271177418154,1146.8554571692089,-21.76277763894809,161.1417071054687,1315.433612090889,8594.298139647259
3,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,1296,1052.692485278376,614.1075486381324,1231.4098411077177,-21.76277763894809,174.51478903012395,1383.886650260592,7354.390855868413
3,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1296,9.41056958432447,0.1402104110033719,14.371361118455699,-23.64891307070046,-0.002999289565026101,17.89758843578049,54.95680861066836
3,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1296,9.76580096350393,0.0938443591898811,14.534516549984835,-23.64891307070046,-0.01822381407489488,19.18435210932274,52.918581719109184
3,mtls,throughput_mb_per_sec,Throughput MB/s,1296,9.64520822432749,0.02048550650414424,14.473789832066196,-23.629893238434168,0.0,18.700822202783073,51.69290489540652
3,mtls,throughput_records_per_sec,Throughput records/s,1296,9.645763044413469,0.09153011369308259,14.473767624899683,-23.64891307070046,-0.00999744782854647,18.6952139148726,51.72516880792233
3,tls,avg_latency_ms,Average latency ms,1296,982.6267087204133,521.853282266171,1163.1265043035942,-20.869041144217896,168.94932644110276,1415.4219511514484,6954.148625292784
3,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1295,3.8721320222335662,0.600932673010845,129.29933418834014,-98.5112542775966,-1.7944980187414021,4.9359347389268535,4603.499892392945
3,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,19,10.258520872089512,-100.0,467.27882459816834,-100.0,-100.0,-100.0,1992.7536231884058
3,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1295,15.621158247643516,-1.2336504161712247,343.7367287494145,-91.692498450093,-18.90286128524106,16.42851509316901,12123.75919117647
3,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1295,8.99365200773842,6.444249341527654,14.228541458365829,-59.474340705611475,-0.4586203843775815,16.689982610832878,306.7734046208456
3,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1295,32.37025388217122,26.163263183758644,52.28765099969413,-12.626930735250031,16.789405943435348,37.86876925165642,1535.6386931622967
3,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1295,2.354119495481878,0.5655472589664722,4.756876676607529,-20.636673150816872,0.4551733956662679,2.039549409637077,107.20478226705427
3,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,1293,-2.3323413259480197,-3.7696969696969687,21.212460346220414,-68.66848887153456,-15.531728959397684,11.620720102030804,71.81419889763042
3,tls,broker_cpu_percent_mean,Broker CPU mean %,1293,-16.18035179389746,-19.29711831469793,29.670361200968955,-83.52359766109423,-35.33018135358165,0.24127754820584055,66.45381362220584
3,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,525,351.832257741295,-29.232910835958688,6709.171470007636,-100.0,-64.6144791053561,-2.0105223600150404,150500.0
3,tls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,525,351.76723507971974,-29.726782965623393,6709.175021569257,-100.0,-64.6144791053561,-2.033339439457776,150500.0
3,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,1293,4.967176264273273,-0.12813788828760103,85.9875677537095,-81.62053207367174,-4.439588339302721,3.5905225868851787,2868.934815928461
3,tls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,1293,5.061284820995407,-0.14137852791789574,86.10187753887355,-81.62053207367174,-4.449862250328721,3.5876381852765586,2868.9348159284605
3,tls,broker_memory_used_percent_mean,Broker memory %,1293,-0.8322333657605494,0.0034857601733027524,4.157030480622469,-44.97872725289428,-1.4876862521851901,1.5825362348581724,5.112722588606834
3,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1293,1.8733796023246039,0.6390187634704193,5.61415643208731,-18.42776514719073,0.5935761833555433,1.53776264247931,181.75657423832382
3,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1293,1.9641164911922795,0.6391949582933826,7.0530111334483525,-32.91868518812351,0.5935761833555242,1.538580633528898,181.75657423832385
3,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1293,2.020745246417825,0.8241750176955798,5.709874797721272,-19.063767502875233,0.7498759842276406,1.5700192951860277,179.53519737688413
3,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1293,2.088701718565116,0.8243675173019587,6.401622135319389,-32.92673948151973,0.7498896439177546,1.5785707301739054,179.53519737688416
3,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,1296,1016.8348642988766,291.1670263963521,1674.6713119721276,-69.14593196047119,88.79967696712609,1256.3047998473362,11501.852695520007
3,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,1296,774.6327295957867,157.22227020026622,1181.891982875682,-82.51558335883902,79.17178446029946,1002.0383334651443,8332.253234948133
3,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,1296,206.17054788298543,100.21633319289694,267.1728510565121,-76.95011913597125,60.4304625231014,225.83186194031168,2522.0250521920657
3,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,1296,81.13103822690198,82.00394750161172,31.360546629233927,-78.20915542598257,62.727452385058356,100.28819706176307,188.83838882850839
3,tls,max_latency_ms,Maximum latency ms,1296,79.97254880039897,79.54507604714449,31.632850618875764,-78.47660139395951,61.807121734801974,99.66726580109767,189.76377952755905
3,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,1296,933.5197748872823,488.7077246607547,1137.418688128437,-20.869041144217896,163.5564242377567,1348.7875698900352,8131.988402995893
3,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,1296,1057.8696875856506,582.3662478944943,1233.9940307719824,-20.869041144217896,180.74531028025316,1451.9868873271312,6494.531036368608
3,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1296,10.715086301817347,3.0827695907601873,13.970214944667118,-24.07268572643079,0.003749904032360272,18.85569516635269,55.49321335244159
