record_size_bytes,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
1024,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,12,-36.56943765956308,-36.13849570058671,2.0467569168926443,-41.17465644598467,-37.318997485197656,-35.57538027144268,-33.028676278938946
1024,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,22.675574374220627,15.926032232002381,34.42657454820436,-26.732040076742695,-4.537677203467497,55.397508499141225,81.32619684805233
1024,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,-22.412782630414736,-22.286427063723362,0.972040004774837,-23.848700429668245,-23.276467737592142,-21.72624468075385,-20.830308079148285
1024,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,1.8688322025695971,1.8400528590256608,0.0630982337628789,1.7999374182950403,1.8186780047505375,1.9064626370591016,2.0056328525290783
1024,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,3.788943706101019,3.797509812816662,0.03300147107229223,3.7218002683971316,3.7818053460848424,3.812161461544987,3.8244261412574874
1024,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,-37.84831120391867,-36.34687367906355,8.833966202518075,-58.99002894821486,-42.24975668443774,-32.63808884664665,-24.617275673259577
1024,mtls,broker_cpu_percent_mean,Broker CPU mean %,12,-67.6105896625581,-66.55258944645914,3.3205103698785723,-76.12711026937615,-68.26310338427795,-65.52397987261217,-64.02779918113971
1024,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,6,551.5789473684209,-95.26315789473685,981.3051685357689,-100.0,-100.0,914.8684210526316,2449.9999999999995
1024,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,7.440053392599225,3.7742138878948923,11.009185181560467,-3.4061974537593085,1.8273081231157557,7.516181948959152,38.59019013882995
1024,mtls,broker_memory_used_percent_mean,Broker memory %,12,40.9224021389628,39.1387016992976,6.8078870806451555,34.50616233901005,35.34284482982016,43.444938001764726,57.80100536248634
1024,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,2.7905857313473574,2.784310537107044,0.04096495770290399,2.7113765651114705,2.768598129376724,2.8085843543535316,2.8777442039533287
