batch_size,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
16384,mtls,avg_latency_ms,Average latency ms,864,484.60821533586665,247.5678413684936,569.4239619749387,-21.76277763894809,112.60877131917857,611.264270637811,3147.5344762453255
16384,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,1.5897818587923007,-0.2308526817149263,161.9414531461385,-95.7119233944934,-5.661610708934102,1.964898438690842,4714.106222806124
16384,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,16,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
16384,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,18.572694199566012,8.019642335045628,69.89280499767752,-84.44041867954911,-9.022723275924633,31.89763856557171,1204.9474689589304
16384,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,3.939504485495086,2.347250159639997,17.600836391423208,-76.83337859139063,-5.497543920693282,12.938139099495555,302.51390474285813
16384,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,25.801160292876713,24.672638926465257,13.83150178880461,-1.6763774542612575,13.002720303064882,35.071842166315804,73.59579607799299
16384,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,2.7214718231519495,1.6610190462668126,3.9883178936438606,-20.566594373433677,0.4804598537965892,2.1008088950058097,16.567996052778927
16384,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,862,-8.019420391864998,-7.466724647902965,18.86295493229478,-50.11464968152867,-22.205477101174154,4.148673469357966,59.24159590554847
16384,mtls,broker_cpu_percent_mean,Broker CPU mean %,862,-25.648229145026054,-27.377800015665606,29.006398214703722,-75.49984036064164,-48.536545002362246,-5.956927940915403,61.77921932560855
16384,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,372,25779.13451429494,-31.791599905643302,485462.0922075382,-100.0,-70.79259280195708,-2.380145121370534,9374500.0
16384,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,372,25779.13451429494,-31.791599905643302,485462.0922075382,-100.0,-70.79259280195708,-2.3801451213705382,9374500.0
16384,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,862,4.349417739975796,0.22135122555599157,31.455619059045972,-78.89804032945186,-3.4098386696808514,3.8912357488810496,297.19367826452736
16384,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,862,4.349417739975795,0.22135122555598963,31.455619059045972,-78.89804032945186,-3.4098386696808447,3.8912357488810576,297.19367826452736
16384,mtls,broker_memory_used_percent_mean,Broker memory %,862,-1.207507016021488,-0.4574438419288741,4.430892789308748,-46.19869961847966,-3.096744627129209,1.0199386361953737,4.8151440952339915
16384,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,862,2.0422291745954624,1.2152709956055872,2.712952951022213,-18.456986148750342,0.6381940475552568,1.623331552532608,12.338754903940611
16384,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,862,2.0422291745954633,1.2152709956055885,2.712952951022212,-18.45698614875034,0.6381940475552531,1.6233315525326182,12.338754903940618
16384,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,862,2.212853828573364,1.3155878286916507,2.9308774145906833,-18.43520816714529,0.8191069479735635,1.7053084931098383,21.962632267418904
