trial_index,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
3,mtls,rebalance_time_ms,Consumer rebalance time ms,8,1035.625,1040.0,49.40631918084973,967.0,995.0,1063.25,1129.0
3,plaintext,rebalance_time_ms,Consumer rebalance time ms,8,662.875,659.5,45.57257261774893,576.0,644.25,697.5,731.0
3,tls,rebalance_time_ms,Consumer rebalance time ms,8,1087.625,1092.0,51.69849490072221,1014.0,1051.0,1109.0,1189.0
1,mtls,fetch_time_ms,Consumer fetch time ms,8,17595.0,17392.0,14712.53410361383,2250.0,3099.5,31678.75,33791.0
1,plaintext,fetch_time_ms,Consumer fetch time ms,8,14237.125,13382.0,12871.619142880782,1176.0,1441.25,26425.0,29360.0
1,tls,fetch_time_ms,Consumer fetch time ms,8,20882.125,18882.5,18729.01232338147,2357.0,2525.75,35933.75,48123.0
2,mtls,fetch_time_ms,Consumer fetch time ms,8,17404.375,16877.5,14939.894644353253,2292.0,2475.0,31618.25,33903.0
2,plaintext,fetch_time_ms,Consumer fetch time ms,8,14297.75,13915.5,13123.324004896778,907.0,1118.5,27248.25,28455.0
2,tls,fetch_time_ms,Consumer fetch time ms,8,19700.125,19003.0,17204.85066367549,2078.0,2535.0,36004.75,39130.0
3,mtls,fetch_time_ms,Consumer fetch time ms,8,17419.375,16508.5,15036.922972615608,2140.0,2422.75,31895.5,34295.0
3,plaintext,fetch_time_ms,Consumer fetch time ms,8,14178.375,13474.5,13113.437830499484,899.0,1133.0,27399.75,28198.0
3,tls,fetch_time_ms,Consumer fetch time ms,8,20295.0,19502.5,17600.29025328844,2412.0,2850.75,37143.5,40434.0
1,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,8,39.888298806727846,37.73321333333333,21.68034357487292,18.20540322580645,18.48657962109575,59.11394736842105,65.88782894736842
1,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,8,49.60427654871216,48.066813775510205,20.819998979859495,28.401417322834646,29.04594861788618,68.36522251564945,74.0882993197279
1,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,8,51.482857397937224,47.972686853105095,25.015585450948375,26.108846153846155,27.797125984251966,69.67425364385917,91.9978878504673
2,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,8,39.922272703624245,37.88568387096774,22.26402666248327,16.798277153558054,18.26004952380952,59.68923486842106,66.66315789473684
2,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,8,50.6208339847437,49.09094377167548,21.620260465000925,28.556190476190476,29.003021855630166,70.4870874210782,76.96868055555555
2,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,8,49.89704488269635,48.2281015625,22.98365678683874,25.79771653543307,27.021636934055117,70.6379944368298,78.79119496855346
3,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,8,40.23831512665649,38.18594193548387,21.90776595770624,18.11193548387097,18.560903324154207,59.964525,66.3050980392157
3,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,8,50.404665967694214,48.42515344982079,22.130159520689443,27.66564516129032,28.798615702479335,71.10194199921753,76.40972222222223
3,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,8,42.74906659965749,27.742109375,21.3402049144478,22.441557863501483,27.032636718750002,67.25345562543676,75.09534591194968
1,mtls,broker_cpu_percent_mean,Broker CPU mean %,8,15.18710399167923,15.054065911082253,9.3731019648015,5.714981317214433,5.812612075819909,24.501825089985225,24.878199610213965
1,plaintext,broker_cpu_percent_mean,Broker CPU mean %,8,25.925208836799037,28.03342145017205,7.162710712578403,16.801545531762603,17.894778591884787,32.63412531606514,33.49067340177673
1,tls,broker_cpu_percent_mean,Broker CPU mean %,8,23.340130818559167,22.35191303830913,10.927136465869687,12.476295199850124,12.59611028064062,32.651290518535674,38.62908539018291
2,mtls,broker_cpu_percent_mean,Broker CPU mean %,8,15.118798805849437,15.181531876916253,9.372295252728437,5.408091359616935,5.836810674200436,24.47809416038024,24.596388915032573
2,plaintext,broker_cpu_percent_mean,Broker CPU mean %,8,25.225136569369248,26.100788473761583,7.337965506037679,16.838670952516374,17.366481740093825,32.316638533383625,33.36255217930892
2,tls,broker_cpu_percent_mean,Broker CPU mean %,8,23.285818644959534,23.02778686799236,10.584537790063536,12.303344776822344,12.698111808808585,32.880536534423086,36.51967938030275
3,mtls,broker_cpu_percent_mean,Broker CPU mean %,8,15.127122298664457,15.079794851683682,9.304692021142923,5.396487555738741,5.9680945125178075,24.316518420078665,24.877562755148727
3,plaintext,broker_cpu_percent_mean,Broker CPU mean %,8,25.035268339563466,24.597400182940085,7.826041963267041,16.82923414880344,17.344489884180867,33.209007468781245,33.33863064293725
3,tls,broker_cpu_percent_mean,Broker CPU mean %,8,20.40151832611445,14.518075807899564,9.3178950237669,12.287528931923646,12.46547546313249,32.105395692263656,32.779548919791765
1,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,8,42.519999999999996,36.98,19.883406146835107,20.228,24.983999999999998,61.745,73.412
1,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,8,53.6345,55.925,12.244041806119418,37.392,40.7315,65.63100000000001,68.576
1,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,8,48.595,47.842,15.343645231821545,31.546,33.748000000000005,63.11749999999999,66.44800000000001
2,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,8,42.670249999999996,42.233999999999995,17.780197311545784,22.662,25.391000000000002,60.1735,62.338
2,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,8,53.21225,54.368,13.280919864132155,34.958,40.159,65.51950000000001,70.726
2,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,8,50.5205,54.542,16.150123335442366,29.421999999999997,33.036,63.994,70.15
3,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,8,44.57,44.598,18.9341592102739,22.424,26.520000000000003,62.6285,67.49
3,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,8,52.276250000000005,53.207,14.447059785212351,34.64,38.1225,66.02,69.434
3,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,8,48.052499999999995,47.587,16.50387341656497,30.332,31.597,64.2705,66.488
1,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,8,9.071303046931845,8.714607526881721,1.0596731335681484,7.970645161290323,8.091180952380952,10.310680921052631,10.37125
1,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,8,11.043517140103933,10.950670774647888,0.6485879012929062,10.290393700787403,10.436866666666667,11.481659226190475,12.050748299319729
1,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,8,11.761570124342036,11.13980667794586,1.935591593306252,10.264409448818895,10.374746517262265,12.11548132155836,16.392093457943925
2,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,8,9.027698599344351,8.965633870967743,0.9580629636549352,7.90144,8.164172685928305,9.92593157894737,10.227105263157895
2,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,8,11.009246708375803,10.846110921598726,0.6247775417036979,10.361666666666666,10.43197895144628,11.564543462643678,11.997676056338028
2,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,8,11.278026692481316,11.1761640625,0.9350501288239887,10.21,10.425673136072835,12.187703378214946,12.472767295597484
3,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,8,9.117005274268113,9.098202150537634,0.987075822097139,8.047723577235772,8.099254032258065,10.071548202614379,10.343866666666669
3,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,8,11.022987460809876,10.981170474910394,0.5992540163796847,10.345241935483871,10.462417355371901,11.541979166666668,11.893239436619718
3,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,8,10.78640714464279,10.438749999999999,0.8896300658439484,9.36668150346192,10.2783203125,11.596926974143955,12.194088050314464
1,mtls,broker_memory_used_percent_mean,Broker memory %,8,22.425340113481198,22.369542877794515,0.65977769771732,21.747308618559785,21.78215205753748,22.972184178541074,23.384032624474436
1,plaintext,broker_memory_used_percent_mean,Broker memory %,8,18.14269901966246,17.802901966807646,3.05678684962364,13.78147659364008,15.592590314331737,21.26789474961956,22.06502740606704
