benchmark_type,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,trial_index,comparison_mode,metric,metric_label,pct_change_vs_plaintext,penalty_pct_vs_plaintext,rank_type
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,tls,throughput_records_per_sec,Throughput records/s,-51.593918637401174,51.593918637401174,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-49.31581832482255,49.31581832482255,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,tls,throughput_records_per_sec,Throughput records/s,-45.52585709095366,45.52585709095366,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,tls,throughput_records_per_sec,Throughput records/s,-44.64522981376572,44.64522981376572,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-43.525519877460304,43.525519877460304,highest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,2,tls,throughput_records_per_sec,Throughput records/s,-24.07096668158571,24.07096668158571,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,2,tls,throughput_records_per_sec,Throughput records/s,-25.83782705877103,25.83782705877103,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,1,tls,throughput_records_per_sec,Throughput records/s,-25.84672592305221,25.84672592305221,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-25.92865812708616,25.92865812708616,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,3,tls,throughput_records_per_sec,Throughput records/s,-26.507137027479022,26.507137027479022,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,3,tls,throughput_records_per_sec,Throughput records/s,-26.7717952466218,26.7717952466218,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,1,tls,throughput_records_per_sec,Throughput records/s,-28.565883513062456,28.565883513062456,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,2,tls,throughput_records_per_sec,Throughput records/s,-28.64554937644937,28.64554937644937,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,1,tls,throughput_records_per_sec,Throughput records/s,-29.13478198523765,29.13478198523765,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,3,tls,throughput_records_per_sec,Throughput records/s,-29.237092958966542,29.237092958966542,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,throughput_records_per_sec,Throughput records/s,-59.72252815295567,59.72252815295567,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,2,mtls,throughput_records_per_sec,Throughput records/s,-55.780933055761054,55.780933055761054,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,mtls,throughput_records_per_sec,Throughput records/s,-53.42624865830011,53.42624865830011,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,mtls,throughput_records_per_sec,Throughput records/s,-52.77037040664273,52.77037040664273,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,mtls,throughput_records_per_sec,Throughput records/s,-50.88422537683407,50.88422537683407,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,3,mtls,throughput_records_per_sec,Throughput records/s,-48.5677503132927,48.5677503132927,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,mtls,throughput_records_per_sec,Throughput records/s,-47.88806763843094,47.88806763843094,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,mtls,throughput_records_per_sec,Throughput records/s,-46.27507165392192,46.27507165392192,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,mtls,throughput_records_per_sec,Throughput records/s,-44.031429306762526,44.031429306762526,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,mtls,throughput_records_per_sec,Throughput records/s,-39.17350702141588,39.17350702141588,highest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,3,mtls,throughput_records_per_sec,Throughput records/s,-11.111112039644437,11.111112039644437,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,1,mtls,throughput_records_per_sec,Throughput records/s,-13.538011894475858,13.538011894475858,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,2,mtls,throughput_records_per_sec,Throughput records/s,-13.670055572924605,13.670055572924605,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,2,mtls,throughput_records_per_sec,Throughput records/s,-15.53369835601217,15.53369835601217,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,1,mtls,throughput_records_per_sec,Throughput records/s,-16.362187725472175,16.362187725472175,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,2,mtls,throughput_records_per_sec,Throughput records/s,-16.58175345711014,16.58175345711014,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,1,mtls,throughput_records_per_sec,Throughput records/s,-17.1214567990197,17.1214567990197,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,3,mtls,throughput_records_per_sec,Throughput records/s,-17.466310151542004,17.466310151542004,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,2,mtls,throughput_records_per_sec,Throughput records/s,-17.466836327012565,17.466836327012565,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,3,mtls,throughput_records_per_sec,Throughput records/s,-18.458537795913138,18.458537795913138,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,3,tls,throughput_mb_per_sec,Throughput MB/s,-59.14091455781645,59.14091455781645,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,tls,throughput_mb_per_sec,Throughput MB/s,-58.67258413871564,58.67258413871564,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,tls,throughput_mb_per_sec,Throughput MB/s,-54.560804429486765,54.560804429486765,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,throughput_mb_per_sec,Throughput MB/s,-53.637541859262974,53.637541859262974,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,2,tls,throughput_mb_per_sec,Throughput MB/s,-51.83084902078134,51.83084902078134,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,tls,throughput_mb_per_sec,Throughput MB/s,-51.59395447461458,51.59395447461458,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,tls,throughput_mb_per_sec,Throughput MB/s,-49.31595176957417,49.31595176957417,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,tls,throughput_mb_per_sec,Throughput MB/s,-45.52591713658697,45.52591713658697,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,tls,throughput_mb_per_sec,Throughput MB/s,-44.64523009651789,44.64523009651789,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,throughput_mb_per_sec,Throughput MB/s,-43.525516147663744,43.525516147663744,highest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,2,tls,throughput_mb_per_sec,Throughput MB/s,-24.07095795443271,24.07095795443271,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,2,tls,throughput_mb_per_sec,Throughput MB/s,-25.837823863366182,25.837823863366182,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,1,tls,throughput_mb_per_sec,Throughput MB/s,-25.846735611392923,25.846735611392923,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,2,tls,throughput_mb_per_sec,Throughput MB/s,-25.928649833382327,25.928649833382327,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,3,tls,throughput_mb_per_sec,Throughput MB/s,-26.50714411426019,26.50714411426019,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,3,tls,throughput_mb_per_sec,Throughput MB/s,-26.771784763157143,26.771784763157143,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,1,tls,throughput_mb_per_sec,Throughput MB/s,-28.565895175006478,28.565895175006478,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,2,tls,throughput_mb_per_sec,Throughput MB/s,-28.645536245653503,28.645536245653503,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,1,tls,throughput_mb_per_sec,Throughput MB/s,-29.134777054685397,29.134777054685397,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,3,tls,throughput_mb_per_sec,Throughput MB/s,-29.237090239966868,29.237090239966868,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,throughput_mb_per_sec,Throughput MB/s,-59.72239910700239,59.72239910700239,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,2,mtls,throughput_mb_per_sec,Throughput MB/s,-55.780851286586895,55.780851286586895,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,mtls,throughput_mb_per_sec,Throughput MB/s,-53.426167281781915,53.426167281781915,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,mtls,throughput_mb_per_sec,Throughput MB/s,-52.770346478979,52.770346478979,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,mtls,throughput_mb_per_sec,Throughput MB/s,-50.884231856236326,50.884231856236326,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,3,mtls,throughput_mb_per_sec,Throughput MB/s,-48.56778184138828,48.56778184138828,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,mtls,throughput_mb_per_sec,Throughput MB/s,-47.888169504338876,47.888169504338876,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,mtls,throughput_mb_per_sec,Throughput MB/s,-46.27510161606504,46.27510161606504,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,mtls,throughput_mb_per_sec,Throughput MB/s,-44.03150376823908,44.03150376823908,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,mtls,throughput_mb_per_sec,Throughput MB/s,-39.17337476288768,39.17337476288768,highest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,3,mtls,throughput_mb_per_sec,Throughput MB/s,-11.11110794171752,11.11110794171752,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,1,mtls,throughput_mb_per_sec,Throughput MB/s,-13.538016554355526,13.538016554355526,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,2,mtls,throughput_mb_per_sec,Throughput MB/s,-13.670045738019873,13.670045738019873,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,2,mtls,throughput_mb_per_sec,Throughput MB/s,-15.533692306132924,15.533692306132924,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,1,mtls,throughput_mb_per_sec,Throughput MB/s,-16.362178547777976,16.362178547777976,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,2,mtls,throughput_mb_per_sec,Throughput MB/s,-16.58173876019286,16.58173876019286,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,1,mtls,throughput_mb_per_sec,Throughput MB/s,-17.121464835131217,17.121464835131217,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,3,mtls,throughput_mb_per_sec,Throughput MB/s,-17.466323998582066,17.466323998582066,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,2,mtls,throughput_mb_per_sec,Throughput MB/s,-17.46682772314062,17.46682772314062,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,3,mtls,throughput_mb_per_sec,Throughput MB/s,-18.458535391013978,18.458535391013978,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,tls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,tls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,tls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,tls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,1,tls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,tls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,tls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,tls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,tls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,tls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,tls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,tls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,tls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
