replication_factor,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
5,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,143.10185185185185,0.0,3773.146678834069,0.0,0.0,0.0,110904.0
3,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,46676.7037037037,44480.0,27378.186049419943,6168.0,32432.0,56674.0,645224.0
3,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,42069.194444444445,40084.0,26218.87461316198,6176.0,30366.0,50932.0,462888.0
3,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,45558.12962962963,40784.0,78205.70387021043,6208.0,30748.0,53556.0,2127912.0
5,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,52029.52777777778,50444.0,42950.651154025414,6152.0,37898.0,60900.0,887600.0
5,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,863,46456.93626882966,46160.0,22036.969454608115,6776.0,34796.0,56100.0,403352.0
5,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,43398.148148148146,41652.0,33406.39910279301,6256.0,30602.0,52532.0,709376.0
3,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,6172.588271604939,0.0,16760.376936771467,0.0,0.0,12120.4,310042.6666666667
3,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,862,7913.288167053364,0.0,19057.884943867888,0.0,0.0,16106.666666666666,394941.3333333333
3,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,863,6439.013673232909,0.0,15500.618302531217,0.0,0.0,14521.599999999999,271946.6666666667
5,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,6847.594907407408,1.6,26552.109101225837,0.0,0.0,6458.4,310771.2
