throughput_limit_records_per_sec,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1000,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,106.41196759259259,24.725,268.3627800368217,2.34,8.0075,65.345,1792.5
1000,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,672.0900347222223,279.65,1119.2046424387117,5.52,20.9825,827.8100000000001,6390.92
10000,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,2562.579270833334,980.105,2917.1665985315685,8.42,227.03,4437.1975,11795.72
10000,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,860.8641782407408,82.42,1789.534438288847,2.75,30.415,409.27500000000003,9049.27
10000,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,2625.3493865740743,1028.025,2988.606721350031,8.84,240.2325,4503.049999999999,11985.65
1000,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,889.2943287037037,382.175,1392.0877017455366,6.04,21.2675,1181.36,8099.11
1000,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,158.51225694444443,36.43,384.55807423415166,2.34,8.0075,111.09,2781.47
1000,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,888.8035300925926,373.525,1446.42989173485,5.52,20.9825,1207.48,8986.88
10000,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,3215.3085648148144,1510.7649999999999,3534.5607157412596,8.42,268.69,5743.370000000001,13905.85
10000,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,1024.25875,128.64499999999998,1962.3235329951544,2.75,36.1275,652.3299999999999,9582.54
10000,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,3250.818344907407,1565.5349999999999,3579.8737975028685,8.84,273.1175,5448.2075,13959.67
1000,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,4804.441550925921,3834.1699999999996,4960.931107321216,8.299999999999908,47.70999999999915,7733.833749999996,19189.3
1000,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,1633.1939409722113,258.07500000000005,2558.0556045577323,4.379999999999996,17.36999999999978,1897.21875,9314.659999999998
1000,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,4995.212505787031,3753.4074999999984,5241.595185618461,7.389999999999932,53.08249999999935,8542.035,18530.95
10000,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,7923.067719907407,8404.925,6755.736085124041,53.825,538.3499999999999,12222.44125,31667.5
10000,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,3179.9493518518516,727.5874999999996,3993.315728372034,4.01,117.80875,5356.835,12560.27
10000,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,7713.301267361111,7860.4475,6458.782332424357,62.27499999999999,550.625,13074.5075,20172.654999999995
1000,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8637.233305555555,8454.179000000004,7217.642787694622,39.26000000000001,297.5255000000001,16582.489999999998,21146.95
1000,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,3637.771087962962,759.7749999999987,4166.135708815493,5.676,66.70900000000002,9070.25,11166.539999999995
1000,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8386.203222222222,8223.775000000001,6913.264640723881,30.35800000000001,292.53700000000003,15627.824999999999,20651.47
10000,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,9257.107366898146,9067.545,7508.6227747985495,135.11900000000009,556.934,17841.987500000003,32155.5
10000,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,4433.175072916666,3878.8949999999877,4313.006596831814,4.082,171.2845,9382.790000000003,13154.794999999998
10000,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8887.518614583334,8687.240000000002,7106.512157461698,158.61900000000009,572.71775,16336.130000000001,21524.352000000003
1000,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,7589.6081597222155,6757.324999999999,6562.658284347301,127.59999999999778,374.5999999999985,14927.675,20431.5
1000,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,2559.3377314814684,1432.5,2759.1812690894917,80.99999999999872,301.9249999999988,4193.6625,10166.4
