security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
mtls,broker_cpu_percent_mean,Broker CPU mean %,1728,22.346185061466983,18.69871833324859,13.997194911541579,3.2207672442534174,10.115389142158584,32.671855576133446,58.35175110594206
plaintext,broker_cpu_percent_mean,Broker CPU mean %,1726,28.70570996367531,27.460493637412952,9.749507336312305,8.56043141109655,20.804516307479663,35.81272937841842,56.61478827598951
tls,broker_cpu_percent_mean,Broker CPU mean %,1727,24.957212211291665,21.5254248033184,13.847588437345767,3.2852559333624813,13.3878357376359,35.06666110760915,59.82172628523237
mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,1728,50.42944868827161,47.117999999999995,21.476272035553052,10.088,30.705833333333334,70.0995,97.168
plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,1726,53.52255813055233,51.733999999999995,15.799957687769412,18.358,41.0125,64.408,95.458
tls,broker_cpu_percent_max_mean,Broker CPU max mean %,1727,52.43058463617062,49.656,20.402196474267495,11.28,33.956,70.78266666666667,97.842
mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1728,19.021196938693727,16.482274340770793,9.799292383961872,7.583043478260869,10.876831949193942,24.59103064516129,49.64408602150537
plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1727,17.859211824481953,15.732708333333331,7.4571194570656765,8.925108401084012,11.366105919003115,22.541954408701688,39.27390804597701
tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1728,19.873025380769892,16.90553389830509,9.757785366697787,8.407913931186195,11.54425649724747,25.257898800157356,50.044405940594054
mtls,broker_memory_used_percent_mean,Broker memory %,1728,23.2158987323919,23.429881915236955,0.9667457400306827,12.408526294990724,23.05007682754222,23.67456391164119,24.93820518145855
plaintext,broker_memory_used_percent_mean,Broker memory %,1726,23.410033893811722,23.436470263588497,0.7068041476664831,12.832862211760968,23.099285938192295,23.905856642172473,24.83018833071431
tls,broker_memory_used_percent_mean,Broker memory %,1727,23.31140496646791,23.629103132139512,1.1072399397016148,12.689896058735837,23.20687448076717,23.86303365051681,25.11084886931466
mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1728,22353732.717013888,24212878.5,15225785.671609664,645808.0,5056492.5,38095217.75,85183486.0
plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1727,18037848.867400117,19856947.0,12389298.539929956,325067.0,3334093.5,30509477.5,37888000.0
tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1728,21988449.80439815,23443179.5,15106528.641332561,589965.0,4988900.75,37786121.5,59602216.0
mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1728,3869639761.5416665,1071525379.0,4656658687.282936,104877612.0,139629155.0,10396900391.0,20803907662.0
plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1727,3842220710.076433,1055652666.0,4623883521.70034,104343590.0,124356218.0,10350966692.5,10388416306.0
tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1728,3863538456.242477,1069988289.5,4641988756.534555,104768322.0,138612373.5,10397542255.5,10440344176.0
mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1728,3471515720.3038197,1053900244.8666667,4304438222.512952,63100372.8,133980451.15,6852977268.983334,20865416273.0
plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1726,3441761622.12893,1039095534.2,4260789924.0445557,62721307.8,116363490.75,7366912781.25,10359020931.4
tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1727,3469432871.391024,1045630270.8,4291839288.445459,63015116.4,137612820.2,7416037511.4,10424855738.0
mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1728,2584458691.2304783,791620709.1,3257674005.1330953,42488890.4,102540251.15,4454232000.466667,16778933534.6
plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1726,2557702982.457416,830835041.8,3218570024.6243725,42081991.0,93089905.18333332,4284879432.7000003,8316650711.2
tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1727,2583095401.9594097,836531347.0,3246947566.2731028,42380876.4,108053047.16666666,4671939206.3,8372580494.8
mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1728,15437073069.965857,4243904887.0,19545477368.28833,314611641.0,561433846.5,31226427209.0,104327081365.0
plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1726,15307545540.413673,4203429242.0,19345060283.001003,313046022.0,547322321.25,31036967746.5,51795104657.0
