consumer_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
6,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,12,49.87120477932234,47.85845408450704,21.33002535036225,27.66564516129032,29.003021855630166,69.40086853622567,75.82347222222222
6,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,12,46.68601876174099,27.77094488188976,24.681790477487098,22.441557863501483,27.1437109375,68.09328025477707,91.9978878504673
1,mtls,broker_cpu_percent_mean,Broker CPU mean %,12,15.21146911275354,15.211928188417762,9.383982937623804,5.704070511194252,5.839292264304235,24.49305656121153,24.877562755148727
1,plaintext,broker_cpu_percent_mean,Broker CPU mean %,12,26.129643520158705,28.062358961870977,7.162261351252108,17.43877301114062,17.92348881670682,33.209007468781245,33.49067340177673
1,tls,broker_cpu_percent_mean,Broker CPU mean %,12,22.67333286724326,22.67874097837231,10.046147045133072,12.287528931923646,12.502128335548198,32.759029669131884,33.38408392490087
6,mtls,broker_cpu_percent_mean,Broker CPU mean %,12,15.07721428470854,15.079794851683682,9.315678826095786,5.396487555738741,5.8989430583404285,24.29290606366967,24.878199610213965
6,plaintext,broker_cpu_percent_mean,Broker CPU mean %,12,24.66076564366246,24.539979733296025,7.671214328507183,16.801545531762603,16.975542540058278,32.22066080961691,33.33863064293725
6,tls,broker_cpu_percent_mean,Broker CPU mean %,12,22.011645659178843,14.518075807899564,10.714304092237384,12.303344776822344,12.674754276245904,32.478578286469975,38.62908539018291
1,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,42.5045,38.117,17.238234057369876,22.95,25.6225,62.3615,62.75
1,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,12,54.30633333333333,55.925,10.801291337407557,38.898,42.7635,65.166,68.576
1,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,49.08266666666666,54.495,14.233530326505633,31.018,33.741,61.986,66.44800000000001
6,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,44.00233333333333,43.331,20.415375216297697,20.228,24.4545,61.552,73.412
6,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,12,51.775666666666666,50.971000000000004,15.409483937569819,34.64,36.993,66.66250000000001,70.726
6,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,49.02933333333334,48.095,17.66548145080934,29.421999999999997,31.4715,66.182,70.15
