producer_count,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
1,mtls,avg_latency_ms,Average latency ms,576,429.4711774745388,174.85267506572433,628.7224164629123,-21.76277763894809,71.48430857207944,472.6539120777405,3286.4433811802237
1,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,575,-11.347176078385294,-7.188247965753947,25.50941265842854,-59.91660356038808,-32.16828209078088,1.7672794942414214,242.13168697487419
1,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,8,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
1,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,575,27.26252204768242,8.025078369905957,83.85391192722403,-95.55626662400256,-14.205815363042362,50.31943105110897,858.8318284424379
1,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,575,-7.988211533392825,-8.111433342121448,8.804339836918098,-25.706185743074762,-15.475929051224709,-1.5045883742299573,20.08906580310537
1,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,575,27.11487339778473,23.828932851972546,12.93755087528465,-7.480605996621621,17.476697154834632,38.382015260310894,66.14077120209785
1,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,575,1.3027549785393713,0.5374220367639283,1.1594265973734499,0.339430679343892,0.4489651299859493,2.0493148872642486,3.7172859257552515
1,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,-6.968271678331902,-4.041687598859174,24.03286449247098,-70.40121546339542,-26.429511840304134,7.561235140619837,72.72947836635663
1,mtls,broker_cpu_percent_mean,Broker CPU mean %,576,-22.92202972255133,-24.6558880281492,35.79506343427236,-78.19759517500917,-57.97798500023766,2.7741984651017204,63.660934247781654
1,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,235,118.1810760100774,-31.318416937327072,1425.4952159522807,-100.0,-80.57378760363193,-2.654706955775008,15587.5
1,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,235,118.1810760100774,-31.318416937327076,1425.4952159522804,-100.0,-80.57378760363194,-2.6547069557750107,15587.5
1,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,576,5.115182134271765,0.7001657632077926,28.376638513711367,-78.75998406099413,-2.0673501840544026,5.721644473438031,224.3741058655221
1,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,576,5.385874094875898,0.7001657632077974,29.09867884571277,-78.75998406099413,-2.067350184054408,5.786857827820623,224.37410586552215
1,mtls,broker_memory_used_percent_mean,Broker memory %,576,-0.9834874140572292,-0.19727434145488382,4.619822861881002,-46.19869961847966,-2.6081434080472485,1.1358055789621968,5.031157533392004
1,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,576,1.2012214424144563,0.6612790066715827,1.344892402773213,-6.619211371826528,0.6099683308791394,1.5789389600393433,12.338754903940611
