broker_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
5,mtls,records_consumed,records consumed,24,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
5,plaintext,records_consumed,records consumed,24,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
5,tls,records_consumed,records consumed,24,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
5,mtls,throughput_records_per_sec,Throughput records/s,24,15488.130570833333,12606.2976,12644.757057824809,2833.2625,3058.8085499999997,28734.24835,32185.3878
5,plaintext,throughput_records_per_sec,Throughput records/s,24,28734.78255,22860.9686,25714.14912108261,3327.8978,3574.594675,53498.92005,65530.7995
5,tls,throughput_records_per_sec,Throughput records/s,24,14819.159816666666,13205.1013,12343.155826727223,1975.5818,2617.680175,26772.723375,31565.6566
5,mtls,throughput_mb_per_sec,Throughput MB/s,24,160.30145,154.05839999999998,133.28065328994364,21.5055,28.218925,291.71465,311.6225
5,plaintext,throughput_mb_per_sec,Throughput MB/s,24,201.74299999999997,194.49245000000002,149.63819544804562,40.8604,52.56847500000001,346.093975,378.9974
5,tls,throughput_mb_per_sec,Throughput MB/s,24,138.84515416666667,111.87684999999999,113.43192976555359,23.0757,26.532275,251.60287499999998,271.554
5,mtls,data_consumed_mb,Data consumed MB,24,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
5,plaintext,data_consumed_mb,Data consumed MB,24,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
5,tls,data_consumed_mb,Data consumed MB,24,4931.64065,4931.64065,4833.98435,97.6563,97.6563,9765.625,9765.625
5,mtls,rebalance_time_ms,Consumer rebalance time ms,24,1012.5833333333334,1019.5,59.896380432283955,923.0,962.25,1039.25,1152.0
5,plaintext,rebalance_time_ms,Consumer rebalance time ms,24,653.5416666666666,650.5,37.27373870732881,576.0,631.5,675.5,731.0
5,tls,rebalance_time_ms,Consumer rebalance time ms,24,1164.2083333333333,1089.0,287.19084525315606,1014.0,1065.25,1144.5,2495.0
5,mtls,fetch_time_ms,Consumer fetch time ms,24,17472.916666666668,16895.0,14897.322278731466,2140.0,2489.0,31678.75,34295.0
5,plaintext,fetch_time_ms,Consumer fetch time ms,24,14237.75,13445.0,13036.737703026014,899.0,1177.5,27338.5,29360.0
5,tls,fetch_time_ms,Consumer fetch time ms,24,20292.416666666668,19003.0,17862.9185556669,2078.0,2592.5,37143.5,48123.0
5,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,24,40.01629554566953,37.815975268817205,21.952592148872988,16.798277153558054,18.49147309330236,59.91034736842105,66.66315789473684
