compression_type,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
lz4,mtls,avg_latency_ms,Average latency ms,864,1036.8861792419436,606.2799414171793,1213.7140812936077,-21.76277763894809,178.12461497703111,1480.8777221473601,8222.997076813586
lz4,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,-3.1206674834407835,-0.07917102862299355,20.46767851340621,-93.04913380898391,-5.080952958830784,2.059545499971456,388.3084274577897
lz4,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,13,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
lz4,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,18.05786998354025,8.390918135532862,75.2652944936528,-95.55626662400256,-10.075244316956342,34.106880633663565,1531.3777385678577
lz4,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,3.9086299563633635,2.628749307369646,17.511865233889953,-72.2462513624757,-6.340272108691107,13.973334999669834,302.51390474285813
lz4,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,37.16940896481424,27.879179731939644,49.96928283774044,-18.749982783902627,17.258996045477403,40.173727133692246,921.9783832552105
lz4,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,2.4880351843386883,0.6143630984505513,5.1625678017747845,-20.566594373433677,0.4567979517119185,2.0391109146534263,100.90321716795249
lz4,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,863,-8.798937985056964,-7.553895044232588,20.351841975429856,-70.40121546339542,-25.9597902634439,4.74341191611739,51.78819969742813
lz4,mtls,broker_cpu_percent_mean,Broker CPU mean %,863,-27.447782420524113,-31.318120956663233,30.62814774130162,-86.07757884822443,-51.09265070544416,-6.654797618095152,63.660934247781654
lz4,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,369,0.4216713812083919,-31.412639405204462,249.75448974874587,-100.0,-76.6401555933734,0.40841584158415845,3015.0
lz4,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,369,0.42167138120839565,-31.412639405204462,249.7544897487459,-100.0,-76.6401555933734,0.40841584158415845,3015.0
lz4,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,863,4.970774881956073,0.47727167415782407,30.03343970957675,-78.75998406099413,-3.0991557746738962,5.131694112976801,237.80795594688394
lz4,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,863,4.970774881956073,0.47727167415782407,30.03343970957675,-78.75998406099413,-3.0991557746738922,5.131694112976797,237.80795594688388
lz4,mtls,broker_memory_used_percent_mean,Broker memory %,863,-0.7560622332955109,-0.18475342729448466,3.2481421897239193,-39.12450261063145,-2.773598698285878,1.122109392086037,4.8151440952339915
lz4,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,863,1.9079495533636355,0.6665555394105555,4.2782052801756345,-18.456986148750342,0.6178804536447192,1.513290253668931,101.64008590671949
