consumer_count,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
1,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,12,-25.827191045976065,-26.164589518527414,11.505841677141026,-41.17465644598467,-36.06455857951675,-14.364008693515384,-11.040195456092029
1,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,30.3741347346478,22.376251683002927,43.59426149707131,-26.732040076742695,-8.482621318769956,63.747356282068154,110.32847951236032
1,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,-18.347398354015173,-21.578983286697735,5.250437456221143,-23.848700429668245,-22.438439135613635,-12.856094090495919,-8.68471813316703
1,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,1.303120552321168,1.2765796850758557,0.582612026089918,0.6686920652064623,0.7370158660221569,1.9034617672513652,1.9529045252406674
1,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,2.142877469572,2.1224168109164614,1.6380152900320752,0.4765044518073944,0.5082005922309624,3.7882015445797266,3.804687475401604
1,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,-24.364688446866463,-24.191096618187643,18.362265940548415,-58.99002894821486,-37.61393396341435,-6.400772657037855,-4.05149815840994
1,mtls,broker_cpu_percent_mean,Broker CPU mean %,12,-47.392401733837055,-45.94934507660608,21.918272139506822,-76.12711026937615,-66.99911703907814,-26.08946172458166,-24.01136102073783
1,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,323.3518808121968,-34.5626566395477,742.2131221613428,-100.0,-92.89473684210526,324.90283330876514,2449.9999999999995
1,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,3.753646794675921,1.1487121910269165,5.838310443314653,-0.23837676810524788,0.07130134596890132,4.393769370971265,20.96711460298321
1,mtls,broker_memory_used_percent_mean,Broker memory %,12,28.183977115307943,30.077467234897618,18.66825256415174,6.737481019238099,8.609860871014675,43.444938001764726,57.80100536248634
1,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,1.7198023375698224,1.6989159793534971,1.0950064594151157,0.6105567490204213,0.6262969458908507,2.8085843543535316,2.8777442039533287
1,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,1.5979327261790157,1.5676120664694035,0.825519497443035,0.7500607306950228,0.7780563331767866,2.397848905927411,2.509125411486357
