record_size_bytes,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
1024,mtls,avg_latency_ms,Average latency ms,576,849.2563558331877,579.1306125129813,853.0857874177445,16.28614916286148,164.8331887747738,1093.1689803578397,3787.5973277296553
1024,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,-7.198684008179362,-0.44397648467030437,21.548658433238828,-59.91660356038808,-10.9016902931778,2.8444396631401982,242.13168697487419
1024,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,4,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
1024,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,576,26.891043885718982,9.318513703768406,82.14465896087566,-94.29667651786178,-7.740927900684387,39.485141006421564,1204.9474689589304
1024,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,-4.8296280504968045,-4.913101296555957,10.580988779821983,-25.706185743074762,-13.833934253122605,2.7269803108887594,25.20522782320342
1024,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,59.829016695025594,41.59091000378727,59.609228874074276,6.723389254754923,36.977607481279684,53.89476215391326,275.1632390852506
1024,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,576,5.470756247702,2.5794292741055074,5.601242006141692,0.18248726156915734,0.9011124085211271,12.111117272964268,16.567996052778927
1024,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,-26.182404866832467,-28.94830785258807,15.349790150289985,-70.40121546339542,-35.98414108067435,-18.102043174135595,34.27622307227702
1024,mtls,broker_cpu_percent_mean,Broker CPU mean %,576,-57.517116499635875,-58.764789986252694,11.728803896672012,-83.64753262644447,-66.38598819162627,-48.22140826289952,-8.700843681132625
1024,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,90,104344.89757775122,-100.0,982635.94180298,-100.0,-100.0,-99.85969582642832,9374500.0
1024,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,90,104344.89757775122,-100.0,982635.94180298,-100.0,-100.0,-99.85969582642832,9374500.0
1024,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,576,7.613416505920597,-0.3000795067154891,39.881327372821794,-78.89804032945186,-5.433652501645369,11.803562287376847,297.19367826452736
1024,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,576,7.613416505920595,-0.30007950671548905,39.881327372821794,-78.89804032945186,-5.433652501645375,11.803562287376842,297.19367826452736
1024,mtls,broker_memory_used_percent_mean,Broker memory %,576,-2.520764057344527,-2.2731537930165033,4.941661786222724,-46.19869961847966,-3.552561309060496,-0.6251513824100012,5.031157533392004
1024,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,576,3.713683748182151,1.8483505707250614,3.6889708273565525,-1.1067362395395666,0.8455749198226087,7.932064518121546,13.319822179965197
1024,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,576,3.7136837481821505,1.8483505707250591,3.688970827356553,-1.1067362395395772,0.8455749198226108,7.932064518121544,13.319822179965183
1024,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,576,3.929520969386805,2.1590287521053,3.7258550346370574,-1.9570711374052128,0.977899342548256,8.060328425571448,12.47643829904629
1024,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,576,3.9295209693868065,2.159028752105306,3.725855034637058,-1.9570711374052228,0.9778993425482516,8.06032842557146,12.476438299046285
1024,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,797.4248573223597,132.5011694902393,1526.365125266047,-58.78039603271405,81.32331943093051,596.7354759852121,10598.083832335224
1024,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,845.8532807281213,266.5122849895197,1257.1316976692772,-50.45330895568089,80.38865358202939,791.1261937088875,5529.732892744049
1024,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,114.8523964261377,95.0002325592169,65.8091332104798,-47.96835670622141,78.0276105643894,140.91478170377113,372.78510473234786
1024,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,84.83421274687251,82.22071327050583,19.541078912020637,4.152491028568763,73.26656531225906,91.87462728778014,176.69039145907473
1024,mtls,max_latency_ms,Maximum latency ms,576,84.54173354934682,81.65553270923536,20.127559450534843,4.368932038834951,71.58981797090415,93.5709996340902,176.69039145907473
1024,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,764.4836572159579,550.8355588287834,758.6428663673527,16.28614916286148,157.3418951883671,983.1544220009507,3288.55880824528
1024,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,1012.8257929383783,668.5494407447352,1100.7157673944332,16.28614916286148,181.2914512764911,1309.465209348516,9135.841546626232
1024,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,12.377460775666874,0.028154461129575654,18.08576382973441,-0.6875249095575977,-0.004254909201545745,31.41321887768844,54.95680861066836
1024,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,11.956171985402177,0.009959021743827658,17.306754538407954,-0.6875249095575977,-0.034025114845744366,31.810555723752827,49.41328485488041
1024,mtls,throughput_mb_per_sec,Throughput MB/s,576,12.075784957428674,0.0,17.521576612620617,-0.7246376811594233,0.0,31.58032804992544,51.38705416116248
1024,mtls,throughput_records_per_sec,Throughput records/s,576,12.079547474107699,0.013587002362203402,17.52477341238697,-0.6875249095575977,-0.013106449669472444,31.599691043050147,51.241876559741264
1024,tls,avg_latency_ms,Average latency ms,576,804.7335076269036,496.571842703936,890.4331509894275,21.879815100154083,167.35139976342455,1016.5147355854868,5625.722543352602
1024,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,-2.7655527315985307,0.6841772487491141,19.590069721145685,-71.15099167457484,-5.8133136928143365,4.958688327804556,224.55796287331933
1024,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,4,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
1024,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,576,43.87451192728013,8.830408122956968,509.62272223123665,-91.17713140111647,-8.04038198338624,28.924892121101312,12123.75919117647
1024,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,576,2.4670728361836987,-0.36488734934935696,7.778209662748482,-22.05796209330724,-3.732168677937268,8.556929097210613,22.4513840107413
1024,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,576,51.326047304060495,39.24200864348633,76.9603562989023,7.4453521200088035,29.91595449796404,43.27841572693612,1535.6386931622967
1024,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,576,5.139683731127909,2.2910119645811617,6.6677287456413055,0.07287558199494784,0.6662236373733876,10.480942018726667,107.20478226705427
1024,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,576,-19.08781722108809,-21.798122311447344,19.025896687295347,-68.66848887153456,-30.795681944864505,-10.451163177848688,71.81419889763042
1024,tls,broker_cpu_percent_mean,Broker CPU mean %,576,-43.386765584309074,-40.94402632768681,15.097744022335183,-83.52359766109423,-47.83300400544704,-33.77085933433439,7.258356592294179
1024,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,90,2324.571804230596,-100.0,16354.961796817997,-100.0,-100.0,-91.26183020896363,150500.0
1024,tls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,90,2324.571804230596,-100.0,16354.961796817997,-100.0,-100.0,-91.26183020896363,150500.0
1024,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,576,11.96460269540055,-0.711096013739319,124.76182194834131,-81.62053207367174,-6.864310505367385,8.583880094468704,2868.934815928461
1024,tls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,576,11.964602695400549,-0.7110960137393234,124.76182194834128,-81.62053207367174,-6.864310505367381,8.583880094468707,2868.9348159284605
