throughput_limit_records_per_sec,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
1000,mtls,avg_latency_ms,Average latency ms,864,751.4460528927223,536.1076661690613,779.2125074088184,16.28614916286148,194.7772506342586,995.0710002222332,4875.605435380519
1000,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,863,-8.589251895529184,-1.046102466448717,22.906586651828345,-59.91660356038808,-15.137709988791759,0.49994136085226915,388.3084274577897
1000,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,21,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
1000,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,863,14.34032641438298,7.605985037406484,37.40888835206341,-95.55626662400256,-10.256965495763904,33.3191287384456,254.54931972789115
1000,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,863,1.7561927881462898,0.24440390524604183,17.18507153039577,-25.706185743074762,-9.529055258582046,11.653748083534115,302.51390474285813
1000,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,863,25.490814000068696,26.69264840584635,13.190814865784379,-18.749982783902627,12.523804329916214,37.098743934953795,51.58225391221433
1000,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,863,3.9610851944741268,1.6079943588443488,5.126957346805766,-20.566594373433677,0.4854486121170644,3.617369946484594,16.567996052778927
1000,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,863,-11.44707970283489,-13.142023729748905,20.64299344340078,-50.11464968152867,-29.148366726721157,2.9796774783836293,51.78819969742813
1000,mtls,broker_cpu_percent_mean,Broker CPU mean %,863,-26.552972229656223,-35.42502281355384,28.440018356233644,-71.24218379042661,-46.91420989441651,-8.974687888034612,63.660934247781654
1000,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,397,24110.59873097905,-37.006179651291106,469971.65281844855,-100.0,-85.27421652421653,-6.24852906566251,9374500.0
1000,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,397,24110.59873097905,-37.006179651291106,469971.65281844855,-100.0,-85.27421652421653,-6.248529065662509,9374500.0
