record_size_bytes,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
102400,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,12,61.73498726350189,61.900494736842106,4.488570109298059,56.681466666666665,57.3749,66.14939950980391,66.66315789473684
102400,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,12,71.56131014690222,71.79245207355243,3.897068871189121,66.36054421768708,67.80294301184927,74.6594542624521,76.96868055555555
102400,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,12,68.76977481067077,68.66745222929936,15.551897088570225,22.441557863501483,67.67452637340764,75.11888285168378,91.9978878504673
1024,mtls,broker_cpu_percent_mean,Broker CPU mean %,12,5.796908495891203,5.8314152744813725,0.2054090995581471,5.396487555738741,5.712253615709388,5.947802137696579,6.053845904283787
1024,plaintext,broker_cpu_percent_mean,Broker CPU mean %,12,18.09014643993076,17.453807519383624,2.018069948851311,16.801545531762603,16.975542540058278,17.696951556845434,23.939210467190858
1024,tls,broker_cpu_percent_mean,Broker CPU mean %,12,12.634979671301878,12.569200977632665,0.31067630016673004,12.287528931923646,12.442787102341795,12.703019065506211,13.362338739346644
102400,mtls,broker_cpu_percent_mean,Broker CPU mean %,12,24.491774901570878,24.45797075403665,0.2425120259371949,24.105743799083577,24.340410699646696,24.63752669261904,24.878199610213965
102400,plaintext,broker_cpu_percent_mean,Broker CPU mean %,12,32.70026272389041,32.873647605559,0.6511242674754708,31.611117438965422,32.17103870070163,33.242598007562684,33.49067340177673
102400,tls,broker_cpu_percent_mean,Broker CPU mean %,12,32.04999885512023,32.722712457775,5.231853676903271,15.914310098599367,32.15471229174955,33.29520326694265,38.62908539018291
1024,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,24.851666666666663,25.316000000000003,2.257804218458476,20.228,22.878,26.4275,28.632
1024,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,12,40.655166666666666,38.759,5.929848309377081,34.64,36.993,42.1065,55.962
1024,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,33.5215,32.301,4.786254981715872,29.421999999999997,30.8925,33.922,48.428
102400,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,61.655166666666666,61.998999999999995,5.720098335887438,47.602,60.3425,62.6285,73.412
102400,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,12,65.42683333333333,66.048,3.9168087740177224,55.888,64.61500000000001,67.7705,70.726
102400,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,64.5905,64.809,3.01901066852482,60.562,62.056999999999995,66.458,70.15
1024,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,8.097554774228254,8.080087096774193,0.12757810193087793,7.90144,8.022304147465437,8.154724782386072,8.353870967741937
1024,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,10.436679198311506,10.430133333333334,0.09569195966836443,10.290393700787403,10.36611914600551,10.494078982731976,10.64775
1024,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,10.353859741728499,10.354138703815869,0.09291971008742807,10.21,10.27208661417323,10.4364453125,10.477578125
102400,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,10.046449839467952,10.117109563123496,0.3120265008153585,9.300666666666666,9.860183333333335,10.307716666666666,10.37125
102400,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,11.61382167454824,11.561493055555555,0.2801544782950029,11.194335664335664,11.393020833333333,11.896120053655263,12.050748299319729
