record_size_bytes,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1024,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,2094.75979578993,609.7494035,3538.3758836014135,82.623568,165.93279975,1032.81557875,9979.044008
10240,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,1316.1616571944444,255.95504949999997,2275.761482267338,82.55481,148.46096025,999.690096,9207.255317
10240,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,1467.8401809496527,390.856858,2542.272954449357,82.490249,165.883664,999.660116,9968.102073
10240,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,1283.330386416667,250.88509599999998,2213.348355588254,82.497599,160.16815,999.660116,9074.410163
102400,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,446.4918154982639,132.9524225,512.5039907593439,46.860941,60.0990355,999.592666,1616.475114
102400,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,456.48964366666667,145.604012,517.3094351697215,50.812735,66.8404595,999.61265,1840.298865
102400,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,435.99555478472223,128.876079,500.030423424366,45.522584,57.63474225,999.570185,1625.091411
1024,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,2107.1533820520835,643.596495,3534.810257710166,83.716725,166.947132,1101.8776197500001,9980.03992
1024,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,2232.4165331631943,888.4513825,3490.0912184316308,83.656221,166.950477,1633.8750249999998,9976.057462
1024,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,2107.1381804114585,629.1841535,3534.028517159224,83.668818,166.953821,1091.2046515,9979.044008
10240,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,1325.5113109444444,276.86082799999997,2272.2379501501696,83.65874,155.57624575,999.690096,9207.255317
10240,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,1474.8856163993055,407.0444445,2539.7906646640727,83.627679,166.938353,999.660116,9968.102073
10240,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,1293.6514031041668,273.42561950000004,2209.5283252508766,83.605028,166.35272675000002,999.660116,9074.410163
102400,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,448.11543317534716,135.214564,511.4010574942327,48.559757,63.064411750000005,999.592666,1616.475114
102400,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,457.6515546996527,147.95271200000002,516.5294862660677,52.335732,68.679692,999.61265,1840.298865
102400,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,437.5175295,130.568471,498.9944205335846,46.943834,60.58652,999.570185,1625.091411
1024,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,1752.7670138888889,406.865,2249.3658862423285,6.04,144.3775,3644.7974999999997,7978.59
1024,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,371.70019097222223,41.17,739.4969891086993,4.07,11.387500000000001,117.36749999999999,2827.56
1024,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,1749.3002777777776,363.735,2259.026077923661,5.52,124.2125,3715.8,7538.56
10240,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,2639.70921875,1450.585,3077.71237452671,12.35,207.3075,4108.735000000001,11795.72
10240,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,1033.8325520833334,83.87,2069.556644234053,3.05,15.1875,702.5825,9049.27
10240,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,2729.2175173611113,1376.15,3203.464882068166,10.63,215.89,4335.66,11985.65
102400,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,445.1149305555556,265.465,424.32219215129265,7.74,83.6275,821.4725000000001,1543.8
102400,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,45.38147569444445,35.235,36.651534586961986,2.34,17.205,66.84,191.63
102400,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,467.6413368055555,278.675,447.2987415503019,7.69,101.7175,876.835,1577.11
1024,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,2276.653298611111,528.455,2907.3575433865526,6.04,181.6325,4835.587500000001,10109.73
1024,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,540.9907465277778,67.22999999999999,1013.8120436211453,4.07,14.62,326.2625,3959.15
1024,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,2211.631927083333,439.765,2867.6714644873464,5.52,148.0725,4818.155,9491.36
10240,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,3239.494305555556,1906.6100000000001,3661.3756960532633,12.35,207.3075,4788.129999999999,13905.85
10240,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,1169.8885069444445,149.61,2216.4872524647512,3.05,17.462500000000002,812.0899999999999,9582.54
10240,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,3331.408159722222,1694.55,3782.792869701383,10.63,215.89,4869.615,13959.67
102400,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,640.7567361111111,380.355,627.4385416606332,7.74,83.6275,1251.6875,2097.83
