broker_count,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
3,mtls,avg_latency_ms,Average latency ms,432,1256.5910817963204,636.6695903748132,1521.227540727125,-21.76277763894809,171.26220561160736,1883.2279095573465,8222.997076813586
3,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,432,13.340480430581263,1.4358512608224934,227.76633018469167,-59.16925416385725,-0.9774968354417124,8.168613121602988,4714.106222806124
3,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,10,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
3,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,432,3.5482472367432334,-3.2456389961741845,59.580623158606905,-94.29667651786178,-13.755833135907867,13.84372851505526,858.8318284424379
3,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,432,12.016468331688465,9.144463434053339,18.49447586915704,-8.103100185235636,1.6765013434616007,19.56717661572374,302.51390474285813
3,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,432,33.282464391726144,27.36130210201025,35.565317542510506,-18.749982783902627,17.829408210442608,38.36198466231778,230.07195439709355
3,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,432,2.306477470824718,0.5450133717496826,3.7568313998460194,0.18248726156915734,0.44005349410039174,1.9163882839374373,13.687577063075857
3,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,430,-2.931495658363546,-4.17614619247809,26.871791854206922,-68.38126540673788,-24.295193222376117,18.32085887357798,72.72947836635663
3,mtls,broker_cpu_percent_mean,Broker CPU mean %,430,-13.654106897576085,-10.646064381214519,43.21582264783853,-83.64753262644447,-49.19884584538413,27.41236452450935,63.660934247781654
3,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,178,156.49757807239726,-22.872487519152276,1632.5319508060159,-100.0,-62.33224721573849,2.164857657882531,15587.5
3,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,178,156.49757807239726,-22.87248751915228,1632.5319508060156,-100.0,-62.33224721573849,2.1648576578825285,15587.5
3,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,430,2.246215944570339,-0.6125960256983527,30.89868404314999,-78.89804032945186,-5.21201655284002,2.0960011862647083,297.19367826452736
3,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,430,2.2462159445703382,-0.6125960256983588,30.89868404314999,-78.89804032945186,-5.2120165528400175,2.0960011862647105,297.19367826452736
3,mtls,broker_memory_used_percent_mean,Broker memory %,430,1.2171541562714623,1.2543861339232665,1.4460104946572037,-7.635843321018325,-0.04910711185401157,2.242527428860077,5.031157533392004
3,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,430,1.9403527905772047,0.6333272068509059,2.692296965732297,-0.004913110548934877,0.5851854613608067,1.5946160187014733,12.338754903940611
3,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,430,1.9403527905772049,0.633327206850906,2.692296965732296,-0.004913110548934877,0.5851854613608082,1.5946160187014695,12.338754903940618
